frame,image,marker_id,center_u,center_v,corner0_u,corner0_v,corner1_u,corner1_v,corner2_u,corner2_v,corner3_u,corner3_v,pnp_success,tvec_x_m,tvec_y_m,tvec_z_m,distance_m,rvec_x,rvec_y,rvec_z,route_x,route_y,route_z,route_roll,route_pitch,route_yaw
6,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/03_moving_camera_sequence/images/frame_0006.png,1,766.0,297.25,714.0,286.0,794.0,282.0,821.0,308.0,735.0,313.0,True,0.24989730705683222,-0.1258201674484183,1.8468056547575862,1.8678786108994345,1.9521334949806317,-0.15624774489196663,0.10030384307868047,-3.66,0.0,2.2,0.0,0.42,-0.24
6,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/03_moving_camera_sequence/images/frame_0006.png,5,645.5,174.5,632.0,162.0,657.0,161.0,659.0,187.0,634.0,188.0,True,0.03641666049443519,-1.218948534302135,6.107879023535377,6.228430610401175,3.1508525917506356,-0.13081885097506088,0.38051812746731756,-3.66,0.0,2.2,0.0,0.42,-0.24
6,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/03_moving_camera_sequence/images/frame_0006.png,7,329.25,136.75,314.0,123.0,343.0,123.0,344.0,150.0,316.0,151.0,True,-1.9189380816112436,-1.3785054531498073,5.7414457485474735,6.208606923371414,-2.596595296655427,0.023756262788837013,-0.651879285591959,-3.66,0.0,2.2,0.0,0.42,-0.24
6,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/03_moving_camera_sequence/images/frame_0006.png,6,403.25,135.0,389.0,122.0,416.0,121.0,418.0,148.0,390.0,149.0,True,-1.484951865640857,-1.4113641000540256,5.830223442094444,6.179687374854747,3.124507387044789,-0.08936688802310762,0.12277588608917483,-3.66,0.0,2.2,0.0,0.42,-0.24
7,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/03_moving_camera_sequence/images/frame_0007.png,14,353.0,415.75,331.0,426.0,335.0,409.0,374.0,406.0,372.0,422.0,True,-1.2641351397719045,0.24493669388689426,4.095480719392312,4.293133349726345,1.3570112595945716,-1.6686177672125195,1.11336700182099,-3.52,0.0,2.2,0.0,0.43999999999999995,-0.27999999999999997
7,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/03_moving_camera_sequence/images/frame_0007.png,2,632.5,341.0,605.0,317.0,656.0,313.0,660.0,365.0,609.0,369.0,True,-0.02488813404311002,-0.06193186230851541,3.0326948480300167,3.033429250213849,3.1456641444522346,-0.11892086782679337,-0.2838455051976383,-3.52,0.0,2.2,0.0,0.43999999999999995,-0.27999999999999997
7,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/03_moving_camera_sequence/images/frame_0007.png,1,751.75,300.25,696.0,288.0,780.0,282.0,811.0,312.0,720.0,319.0,True,0.2083445474304828,-0.11293010138303425,1.7364177703332404,1.7525145737971644,1.9761191048813318,-0.1972168491953271,0.12200375076125149,-3.52,0.0,2.2,0.0,0.43999999999999995,-0.27999999999999997
7,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/03_moving_camera_sequence/images/frame_0007.png,5,612.0,159.5,598.0,147.0,624.0,146.0,626.0,172.0,600.0,173.0,True,-0.18108018457118524,-1.297998979023742,6.0169939663626995,6.15806851001482,3.094145472225297,-0.11567196061965346,0.23817939359224743,-3.52,0.0,2.2,0.0,0.43999999999999995,-0.27999999999999997
7,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/03_moving_camera_sequence/images/frame_0007.png,7,282.0,122.5,266.0,109.0,296.0,108.0,298.0,136.0,268.0,137.0,True,-2.1285340490424645,-1.4123260687393546,5.526883275895034,6.0886583799505525,3.0614180785734946,-0.13342184023445314,0.2707888467298029,-3.52,0.0,2.2,0.0,0.43999999999999995,-0.27999999999999997
7,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/03_moving_camera_sequence/images/frame_0007.png,6,359.5,120.5,344.0,107.0,373.0,106.0,375.0,134.0,346.0,135.0,True,-1.6934189978441914,-1.446074578461578,5.611942793937877,6.0376072670523815,3.116098178200491,-0.1144635328755462,0.21998355291931943,-3.52,0.0,2.2,0.0,0.43999999999999995,-0.27999999999999997
