frame,num_detected,detected_ids,image,debug_image,route_x,route_y,route_z,route_roll,route_pitch,route_yaw
0,0,,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/03_moving_camera_sequence/images/frame_0000.png,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/03_moving_camera_sequence/debug_images/frame_0000_debug.png,-4.5,0.0,2.2,0.0,0.3,0.0
1,0,,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/03_moving_camera_sequence/images/frame_0001.png,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/03_moving_camera_sequence/debug_images/frame_0001_debug.png,-4.36,0.0,2.2,0.0,0.32,-0.04000000000000001
2,3,5;6;7,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/03_moving_camera_sequence/images/frame_0002.png,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/03_moving_camera_sequence/debug_images/frame_0002_debug.png,-4.22,0.0,2.2,0.0,0.33999999999999997,-0.08000000000000002
3,4,5;6;7;14,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/03_moving_camera_sequence/images/frame_0003.png,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/03_moving_camera_sequence/debug_images/frame_0003_debug.png,-4.08,0.0,2.2,0.0,0.36,-0.12
4,3,5;6;7,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/03_moving_camera_sequence/images/frame_0004.png,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/03_moving_camera_sequence/debug_images/frame_0004_debug.png,-3.94,0.0,2.2,0.0,0.38,-0.16000000000000003
5,4,2;5;6;7,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/03_moving_camera_sequence/images/frame_0005.png,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/03_moving_camera_sequence/debug_images/frame_0005_debug.png,-3.8,0.0,2.2,0.0,0.4,-0.2
6,6,1;2;5;6;7;14,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/03_moving_camera_sequence/images/frame_0006.png,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/03_moving_camera_sequence/debug_images/frame_0006_debug.png,-3.66,0.0,2.2,0.0,0.42,-0.24
7,6,1;2;5;6;7;14,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/03_moving_camera_sequence/images/frame_0007.png,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/03_moving_camera_sequence/debug_images/frame_0007_debug.png,-3.52,0.0,2.2,0.0,0.43999999999999995,-0.27999999999999997
8,6,1;2;5;6;7;14,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/03_moving_camera_sequence/images/frame_0008.png,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/03_moving_camera_sequence/debug_images/frame_0008_debug.png,-3.38,0.0,2.2,0.0,0.46,-0.32000000000000006
9,6,1;2;5;6;7;14,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/03_moving_camera_sequence/images/frame_0009.png,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/03_moving_camera_sequence/debug_images/frame_0009_debug.png,-3.24,0.0,2.2,0.0,0.48,-0.36000000000000004
10,6,1;2;5;6;7;14,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/03_moving_camera_sequence/images/frame_0010.png,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/03_moving_camera_sequence/debug_images/frame_0010_debug.png,-3.1,0.0,2.2,0.0,0.5,-0.4
11,6,1;2;5;6;7;14,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/03_moving_camera_sequence/images/frame_0011.png,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/03_moving_camera_sequence/debug_images/frame_0011_debug.png,-3.0483870967741935,0.0,2.2,0.0,0.5064516129032258,-0.5
12,5,1;2;5;6;14,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/03_moving_camera_sequence/images/frame_0012.png,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/03_moving_camera_sequence/debug_images/frame_0012_debug.png,-2.9967741935483874,0.0,2.2,0.0,0.5129032258064516,-0.6000000000000001
13,4,1;2;5;14,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/03_moving_camera_sequence/images/frame_0013.png,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/03_moving_camera_sequence/debug_images/frame_0013_debug.png,-2.945161290322581,0.0,2.2,0.0,0.5193548387096774,-0.7
14,3,1;2;5,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/03_moving_camera_sequence/images/frame_0014.png,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/03_moving_camera_sequence/debug_images/frame_0014_debug.png,-2.893548387096774,0.0,2.2,0.0,0.5258064516129032,-0.8
15,3,1;2;5,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/03_moving_camera_sequence/images/frame_0015.png,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/03_moving_camera_sequence/debug_images/frame_0015_debug.png,-2.8419354838709676,0.0,2.2,0.0,0.532258064516129,-0.9
