model,image_name,source_type,camera_id,qw,qx,qy,qz,tx,ty,tz
0,moving_frame_000226.png,moving,5,0.09979554626701569,0.052149240034904246,0.9532254277731361,0.280504170300143,-1.25835405586844,-1.1893543106217328,5.16832443003725
0,moving_frame_000230.png,moving,5,0.06172181727864957,0.04279813913829061,0.9617914026289123,0.2632793846605353,-0.7381918701804936,-1.1155223120393634,5.622781698951392
0,moving_frame_000229.png,moving,5,0.06281765193904403,0.045808004921124336,0.9600210574546341,0.26891474212786814,-0.7170224410226694,-1.1661410776323806,5.547210043661281
0,moving_frame_000231.png,moving,5,0.05443444148191662,0.04295652621675827,0.9626946780765196,0.2615541726661744,-0.6937439730626682,-1.1025090476170858,5.65507200087051
0,moving_frame_000228.png,moving,5,0.06871602286219154,0.047665560668149864,0.958498313293457,0.27255657383705056,-0.8195710338659353,-1.1754135178504488,5.4402409617864125
0,moving_frame_000227.png,moving,5,0.07869200909960652,0.04980782233306372,0.9565968568564844,0.27613258045837347,-0.9882924118654902,-1.181602225855459,5.3205934839757445
0,moving_frame_000225.png,moving,5,0.13452644503659766,0.05454644213926035,0.9482030801598629,0.28255661381590835,-1.6023052064713172,-1.1487717719289852,4.9779715753986
0,moving_frame_000224.png,moving,5,0.17869557993672275,0.05682866126121203,0.9407787401294723,0.2824424810306335,-1.9624395315761727,-1.063498047137643,4.7258192216749695
0,moving_frame_000223.png,moving,5,0.22385206069173533,0.06074846163858437,0.9303184753513947,0.28409050274950337,-2.3151324726857725,-1.0086946809653607,4.427751035862549
0,moving_frame_000222.png,moving,5,0.2619164351541158,0.06741042196676353,0.9169464133910848,0.2933681833049532,-2.616671902783185,-1.0212825207963279,4.080530346187323
0,moving_frame_000221.png,moving,5,0.2915980691904868,0.07321842502292496,0.9044394921980008,0.3026529914508777,-2.825871291383062,-1.0078512049838908,3.7220049371770854
0,moving_frame_000220.png,moving,5,0.31567046331788284,0.08120909771424749,0.8921496665939421,0.3127718232728601,-2.9912844040982067,-0.9851270588285043,3.4273259867472676
0,moving_frame_000219.png,moving,5,0.34851114129912375,0.0900588673802358,0.875506471129878,0.32236284495313566,-3.1919441387819476,-0.943052662447722,3.0788532211667397
0,moving_frame_000218.png,moving,5,0.387117859284261,0.09718524086562026,0.8586597106317116,0.32155605004248905,-3.32761135719585,-0.7830224063326543,2.6664623274349535
0,moving_frame_000217.png,moving,5,0.436495950305002,0.10028901873270808,0.8377272446878451,0.3124523349195447,-3.433685543963776,-0.5590390214799944,2.207053004308869
0,moving_frame_000216.png,moving,5,0.48940464932894073,0.10277860582691532,0.8125535376628007,0.2994601740318061,-3.5489543251314277,-0.33406436821590196,1.7630651554967505
0,moving_frame_000215.png,moving,5,0.541305783576738,0.10242263168124892,0.7846440864719377,0.28430847815441485,-3.6092978349629465,-0.13237492738664813,1.3219774955119965
0,moving_frame_000214.png,moving,5,0.599799299474366,0.09091060336399767,0.7498325713935079,0.26405904154838855,-3.608198451231787,0.07990691939234178,0.8326773354204915
0,moving_frame_000213.png,moving,5,0.6570719357508996,0.08002028266363302,0.7091221866731368,0.24289699458599073,-3.5797259922625115,0.2762066127225334,0.33532158490854447
0,moving_frame_000212.png,moving,5,0.7093304203613086,0.0689723139905759,0.6665672603841487,0.2185892541659021,-3.450329204276714,0.4397159707810788,-0.1502256282020457
0,moving_frame_000211.png,moving,5,0.7558448723685364,0.05885815002072915,0.6226579484579762,0.1937300346163001,-3.200433479580607,0.559740391317858,-0.587520418390353
0,moving_frame_000210.png,moving,5,0.8089919203291308,0.045480903693642376,0.5609423923296009,0.16972681794265498,-2.8849046946986387,0.6570911909564118,-1.06542388178491
0,moving_frame_000209.png,moving,5,0.8429811649697072,0.03837598752669384,0.5153252070496007,0.1494990637661407,-2.635582535652761,0.7169571070623098,-1.3170560046366464
0,moving_frame_000208.png,moving,5,0.8723818646161027,0.032412594851571434,0.469192943534612,0.13325647346844485,-2.4097446327795353,0.728660306820474,-1.48400916657521
0,moving_frame_000207.png,moving,5,0.8959597319019047,0.029392732952240066,0.4266520682795802,0.11983421336422252,-2.2200279907094846,0.7305488178085684,-1.565360373508792
0,moving_frame_000206.png,moving,5,0.9177681834954378,0.02840583017724515,0.3811641979441604,0.10774286232048509,-2.014702446988551,0.7600079213188341,-1.6607705333756844
0,moving_frame_000205.png,moving,5,0.9367206380130282,0.027897659268712915,0.33551886643195983,0.09593360827158018,-1.7733163621928334,0.7725557395838375,-1.7691009156746704
0,moving_frame_000204.png,moving,5,0.9515812187044442,0.026685802627298298,0.29438061781159724,0.08438663403622636,-1.494061486331158,0.7636139539849087,-1.8288049198377272
0,moving_frame_000203.png,moving,5,0.9645708240635983,0.025254114198339235,0.2521272442613055,0.07346569119342967,-1.2146238863538696,0.7432887794160683,-1.850120063877859
0,moving_frame_000202.png,moving,5,0.9745467742158433,0.02262250608506931,0.21370693871461804,0.0638447447261848,-1.011172645115138,0.7189332211726875,-1.8388157229844317
0,moving_frame_000201.png,moving,5,0.9817474229382862,0.01731699436432721,0.18111391796160056,0.05540638935013165,-0.8932239304432988,0.6683600858319348,-1.7691477490376517
0,moving_frame_000200.png,moving,5,0.9879980613702009,0.01311218088619778,0.1462307140825627,0.04800499661531443,-0.8099675431537682,0.5908606300375799,-1.6648305079295287
0,moving_frame_000199.png,moving,5,0.9923229224596212,0.008144894865761407,0.11743855324457124,0.037908633062199736,-0.7432029730109097,0.5400944254513852,-1.5625264052283057
