method,label,anchor_marker_id,parent_frame,child_frame,camera_id,status,estimate_status,quality_status,deployment_eligible,evaluation_status,source,x_m,y_m,z_m,roll_rad,pitch_rad,yaw_rad,qx,qy,qz,qw,m00,m01,m02,m03,m10,m11,m12,m13,m20,m21,m22,m23,m30,m31,m32,m33
ap01,root_cam_edge_1,2,evaluation_anchor_marker_2,cam_edge_0_optical_frame,cam_edge_0,available,available,accepted_legacy_available_aggregate,True,available,method_primary_result,0.8150741280914469,1.9003064324645904,-0.9441211403521432,-1.849624264100196,1.1260005877499617,1.66274984803964,-0.692425173976533,-0.28241682038796145,0.6633215319631945,0.02815427568811715,-0.03950943040809075,0.35375435742055505,-0.9345035363843192,0.8150741280914469,0.4284557065435791,-0.838896152644863,-0.33567685742077835,1.9003064324645904,-0.9026985723036629,-0.41365577438688955,-0.11842376398895649,-0.9441211403521432,0.0,0.0,0.0,1.0
ap01,root_cam_edge_1,2,evaluation_anchor_marker_2,cam_edge_1_optical_frame,cam_edge_1,available,available,gauge_identity,True,available,method_primary_result,-0.9942356514006403,0.012109431367441581,3.508162617167754,-2.9771209971654224,-0.2861652341079708,-0.1930661640188282,-0.9829726116716891,0.08341723947885997,-0.1492876926331231,0.06722792343471133,0.9415094979720093,-0.14392112035778679,0.30470736181368235,-0.9942356514006403,-0.18406632663812408,-0.9770439409367664,0.10726008053651775,0.012109431367441581,0.28227549065840324,-0.15707274936701243,-0.9463871822778698,3.508162617167754,0.0,0.0,0.0,1.0
ap01,root_cam_edge_1,2,evaluation_anchor_marker_2,cam_edge_3_optical_frame,cam_edge_3,available,available,accepted_legacy_available_aggregate,True,available,method_primary_result,0.2801934545070497,0.5088468068758898,2.3993377101228326,-3.0483583810242503,0.46819260990718514,0.1756590041084114,-0.9688704693631672,-0.07446348747567916,0.2347950158586845,0.02482948160706583,0.878652979121759,0.1326312710665713,-0.4586696940236225,0.2801934545070497,0.15595062517734704,-0.9876773717521677,0.013145791551873927,0.5088468068758898,-0.45127413485292134,-0.08308041444285406,-0.8885095947420891,2.3993377101228326,0.0,0.0,0.0,1.0
ap01,root_cam_edge_1,2,evaluation_anchor_marker_2,cam_edge_5_optical_frame,cam_edge_5,available,available,accepted_legacy_available_aggregate,True,available,method_primary_result,-0.9831791529460482,3.9340757820299808,-5.736381111577142,-0.7819327966552401,-0.32324181233856364,-2.9430268609401087,-0.18532340283949314,0.35951691936037206,-0.9140771227677674,0.029425069009577413,-0.9295788033475452,-0.07946023291343657,0.35995738602269084,-0.9831791529460482,-0.1870473625835067,-0.7397635000148188,-0.6463460746352374,3.9340757820299808,0.3176421453735326,-0.6681586903058047,0.6728056421072378,-5.736381111577142,0.0,0.0,0.0,1.0
