residual_evaluation_index,source,solver_iteration,solver_nfev,elapsed_seconds,robust_cost,reprojection_rmse_px,mean_reprojection_error_px,maximum_reprojection_error_px,parameter_step_norm
1,initial_diagnostic,,,0.011099133000243455,11887.809306988856,26.481875603235707,12.790940379452655,110.6092211201943,
2,solver_residual_call,,,0.026560188009170815,11887.809306988856,26.481875603235707,12.790940379452655,110.6092211201943,0.0
3,solver_residual_call,,,0.038805219999630935,11887.809475411816,26.48187575697909,12.790940488792002,110.6092211201943,1.4901161193847656e-08
4,solver_residual_call,,,0.04985728900646791,11887.80929713,26.481875488502645,12.790940298566461,110.6092211201943,2.1073424255447017e-08
5,solver_residual_call,,,0.060700593996443786,11887.8091226043,26.481875409652364,12.790940242112956,110.6092211201943,2.4583488416659414e-08
6,solver_residual_call,,,0.07127597399812657,11887.809230902436,26.481875547293846,12.790940339612337,110.6092211201943,5.580092337987194e-08
7,solver_residual_call,,,0.08196594599576201,11887.809266691225,26.481875547609032,12.79094034003531,110.6092211201943,5.434596909766514e-08
8,solver_residual_call,,,0.0943839690007735,11887.80961557851,26.48187571065073,12.790940456772876,110.6092211201943,1.597511690279473e-07
9,solver_residual_call,,,0.10547258899896406,11887.809307258442,26.481875603268374,12.790940384442795,110.6092211201943,1.6565124327514183e-07
10,solver_residual_call,,,0.11625627300236374,11887.809306997226,26.481875603236723,12.790940379545447,110.6092211201943,4.862085563474268e-08
11,solver_residual_call,,,0.12696777800738346,11887.809306990615,26.48187560323592,12.790940379566624,110.6092211201943,2.1073424255447017e-08
12,solver_residual_call,,,0.13787758100079373,11887.809306988709,26.48187560323569,12.790940379444566,110.6092211201943,2.1073424255447017e-08
13,solver_residual_call,,,0.14819712600728963,11887.809306989504,26.481875603235785,12.79094037946632,110.6092211201943,2.1073424255447017e-08
14,solver_residual_call,,,0.15900347000570036,11887.809306991518,26.48187560323603,12.79094037943418,110.6092211201943,3.155007317648781e-08
15,solver_residual_call,,,0.16938311600824818,11887.809297548954,26.481875603583923,12.790940371091297,110.6092211201943,5.052281656095902e-08
