entity_type,entity_id,source,x_m,y_m,z_m,roll_deg,pitch_deg,yaw_deg,rvec_x,rvec_y,rvec_z
moving_frame,moving_frame_000000,ba_with_moving,0.237916549445596,-1.1546742439661097,1.7667688664226933,-152.45235870645226,13.643561588000608,-2.8793158410156985,-2.6376122766956094,0.14374410699280402,0.2995040055534627
moving_frame,moving_frame_000001,ba_with_moving,0.2562391383530465,-1.147449357455767,1.7420904069058416,-152.62969572545086,13.778467742865548,-2.658442942928524,-2.640855526429231,0.13906644628321985,0.30436202975435184
moving_frame,moving_frame_000002,ba_with_moving,0.27517096498754856,-1.1363648180881158,1.7406010484986343,-153.03607819537518,13.968456801614698,-2.346544259862479,-2.648122781470636,0.13208948608113005,0.3115936431029112
moving_frame,moving_frame_000003,ba_with_moving,0.29616585172678755,-1.127958505871278,1.7577586102603837,-153.67227068593655,14.033690439741628,-1.9430251055966679,-2.659927444808318,0.12173699065961271,0.31699703965198833
moving_frame,moving_frame_000004,ba_with_moving,0.3140352944741379,-1.1334498246899496,1.7854796269990902,-154.2646718589226,14.16258699122618,-1.3630488585243838,-2.671199834740921,0.10761345660551919,0.3246809359260779
moving_frame,moving_frame_000005,ba_with_moving,0.32326297883270527,-1.1417636254797132,1.8518271070333023,-155.37717665427172,13.880930413094314,-0.9639401191690955,-2.6921001846358776,0.09418797718372324,0.32283893933140756
moving_frame,moving_frame_000006,ba_with_moving,0.33600764317884213,-1.1705633306633298,1.9199791346242163,-156.1794509633897,13.66377445680546,-0.4918860718239376,-2.7075721938035797,0.08005083359041898,0.321970360007121
moving_frame,moving_frame_000007,ba_with_moving,0.368832385388726,-1.1788435240499096,1.9751270190501624,-157.6174139509767,13.696852627919935,-0.051372169969249294,-2.733250462087921,0.06617214560358234,0.3280246741023392
moving_frame,moving_frame_000008,ba_with_moving,0.40829973140997816,-1.207400652836175,2.0245891888556944,-158.27760988687973,13.744272714365666,0.47749583691590847,-2.7456047370953622,0.05204305962639059,0.33306301467219435
moving_frame,moving_frame_000009,ba_with_moving,0.44147446760980524,-1.2399060106473418,2.067986271344466,-159.51706888092517,13.193500237338174,0.6102027719408495,-2.7686296448910923,0.04310117625830594,0.3228100505191475
moving_frame,moving_frame_000010,ba_with_moving,0.520336480925629,-1.2772251417014595,2.1184381893858397,-160.47250633900265,13.09483159311365,1.0892748921275588,-2.786247465981459,0.02853731662777319,0.32428554487440836
moving_frame,moving_frame_000011,ba_with_moving,0.5498535815626454,-1.332519458196754,2.172980600767473,-160.95733633822286,11.91356666978638,1.3149016462467495,-2.797653433002946,0.016854053327367002,0.2972367818270099
moving_frame,moving_frame_000012,ba_with_moving,0.5345655092219557,-1.3879984629591542,2.205525465906645,-161.03853348649767,10.104748405526873,1.4340741675588369,-2.8027231523614438,0.006301770770018081,0.2535991800187605
moving_frame,moving_frame_000013,ba_with_moving,0.4233555648742249,-1.4269546763950076,2.2558245405617314,-162.42721931077213,6.124990634019315,0.6110351337062506,-2.831717997221661,0.00831676503178403,0.15382850503443835
moving_frame,moving_frame_000014,ba_with_moving,0.37118232466101136,-1.4278563538160458,2.250235329832238,-164.31263594479023,3.4283812068505846,0.5648827296383062,-2.866874731145892,-0.0023129713996045405,0.08774263454637599
moving_frame,moving_frame_000015,ba_with_moving,0.24324538875219923,-1.4923684012503826,2.2235679474330223,-164.90317750945505,-1.107727741023118,-0.20536354283979402,-2.8780093126107897,0.0014710484865140753,-0.028505261902724
moving_frame,moving_frame_000016,ba_with_moving,0.1517752503776522,-1.3996830915993614,2.2119622089124724,-169.46762177388896,-5.4909646594072425,-0.8119486603470386,-2.95516368313205,0.007877188879012524,-0.14363867542181374
moving_frame,moving_frame_000127,ba_with_moving,2.232342383477415,-5.181789845907489,-8.423965130274459,-78.10766491147432,55.54484418045934,47.155519273074525,-1.577212355794516,0.26136149568343225,1.3083665633628068
moving_frame,moving_frame_000132,ba_with_moving,2.270725442020665,-3.5425155576062557,-8.392913616812162,-73.61150345742527,45.82694804534184,64.78168914476966,-1.5322388988053313,-0.07838102282754683,1.4331500415784018
moving_frame,moving_frame_000133,ba_with_moving,2.3155339818730245,-3.188043860028308,-8.423904355286844,-72.7302047357824,41.22268963588701,68.95312658251237,-1.492415757938749,-0.19434527897985612,1.4459388070332624
moving_frame,moving_frame_000135,ba_with_moving,2.289257368202426,-2.5345110123482986,-8.329061494612949,-72.79387124562325,30.507748316010733,75.10076116587858,-1.3972787078340687,-0.43385409567386857,1.4311354235105003
moving_frame,moving_frame_000136,ba_with_moving,2.32475318655445,-2.1344393055781348,-8.346298097379103,-72.07126229756223,23.51950238587786,79.53974225789594,-1.307472408120579,-0.5766908105767209,1.4279073769681454
moving_frame,moving_frame_000137,ba_with_moving,2.352195652610625,-1.7762811431408612,-8.38354941512572,-71.35932112536631,15.597167035401554,83.31154769813334,-1.1960310469664546,-0.7145885185199904,1.4068699317745321
moving_frame,moving_frame_000138,ba_with_moving,2.349001843649846,-1.4683830834754779,-8.238257223914122,-73.36471573823863,6.9513202588527445,86.35802314245383,-1.1038060313210367,-0.8785618889210909,1.3539500741930006
moving_frame,moving_frame_000139,ba_with_moving,2.2714650977278756,-1.1673526976052557,-8.190725272161606,-72.61276362078698,-2.8309358707418557,90.17920367386498,-0.944209073386753,-1.0130982589072286,1.309972110754604
moving_frame,moving_frame_000140,ba_with_moving,2.2518715766439747,-0.893570417342617,-8.045745753886619,-73.76160015173986,-13.525949088336812,94.20632658063147,-0.7828917466609452,-1.164393498312052,1.2413143845045234
moving_frame,moving_frame_000142,ba_with_moving,2.3128746283096793,-0.358937410144953,-7.917166729083753,-73.30152110022438,-35.06426160139169,100.99815709854379,-0.4028536100303859,-1.3604355847137877,1.091942900053404
moving_frame,moving_frame_000145,ba_with_moving,2.7018835574656848,0.5113786188507754,-8.066952782649809,-72.45376999942809,-57.582821597271696,106.65061321036646,0.005140943773902189,-1.4705621593617644,0.9017339808443804
moving_frame,moving_frame_000231,ba_with_moving,-3.1709028241921313,-1.4216442711077537,3.5406017382317616,176.87521005701046,-43.44142162464459,-2.7411519857870257,2.8540809923752084,-0.09932320365072334,1.1354046224346188
moving_frame,moving_frame_000232,ba_with_moving,-2.9790900649425827,-1.727137968311063,3.5560038841624024,-176.28420795320017,-40.02662765112131,-5.027860882338879,-2.920397324922026,0.09366585466939434,-1.067311759296586
moving_frame,moving_frame_000233,ba_with_moving,-3.0974360759009256,-1.5988795654295236,3.451696310298269,-178.03213953739203,-42.83328185983256,-2.1694349089967564,-2.9073145201436583,0.035458263916539313,-1.1411381597613226
moving_frame,moving_frame_000234,ba_with_moving,-3.08882812166739,-1.5770017076222025,3.2439969553822596,-176.22524873116905,-44.54787975084776,-3.184972280311772,-2.8692526762007606,0.041025957845981384,-1.1774288015836332
