approach,entity_type,entity_id,marker_id,reference_frame,translation_error_cm,rotation_error_deg,delta_x_cm,delta_y_cm,delta_z_cm,est_ref_aruco_x_m,est_ref_aruco_y_m,est_ref_aruco_z_m,est_ref_aruco_roll_deg,est_ref_aruco_pitch_deg,est_ref_aruco_yaw_deg,est_ref_aruco_rvec_x,est_ref_aruco_rvec_y,est_ref_aruco_rvec_z,gt_ref_aruco_x_m,gt_ref_aruco_y_m,gt_ref_aruco_z_m,gt_ref_aruco_roll_deg,gt_ref_aruco_pitch_deg,gt_ref_aruco_yaw_deg,gt_ref_aruco_rvec_x,gt_ref_aruco_rvec_y,gt_ref_aruco_rvec_z
AP02_ref_marker_graph_ba,aruco_marker,marker_000,0,aruco_marker_14,16.066115065206482,4.274945889758728,-7.853627511809247,3.4798951387641783,-13.576852286793638,-2.6285362751180923,0.014798951227661067,0.6442314771279616,65.24067499467392,1.8366172051202099,93.36398317085845,0.8399798608049799,0.9367190608259012,1.415965718745496,-2.55,-0.020000000159980713,0.779999999995898,67.08168819476708,-1.1751560817591656e-08,90.0000001836389,0.9097065062730295,0.9097065089072717,1.3722901285632265
AP02_ref_marker_graph_ba,aruco_marker,marker_001,1,aruco_marker_14,5.0647004529200945,1.244751198281058,-4.778282049585636,-1.6403311834163325,-0.3585037532973123,-2.2977828204958564,-1.0414033120864405,1.226414962256796,1.1271106155078832,-0.5281038556225985,-89.99219166756899,0.008212441583835923,-0.02268763606179055,-1.5705020511737553,-2.25,-1.0250000002522772,1.229999999789769,-1.8363890089430702e-07,1.1751560817591656e-08,-90.0000001836389,-2.3561945080071345e-09,2.678370228341281e-09,-1.57079633
AP02_ref_marker_graph_ba,aruco_marker,marker_002,2,aruco_marker_14,2.994421688876766,1.6189059379565138,-2.6415153997312757,-1.4103005610212938,0.003157749389259834,-1.1264151539973128,-1.0391030057537853,0.7000315772836618,68.68131575609468,-0.24911939155911592,-90.00541432974785,0.9275630725605402,-0.9335733005509809,-1.360126307006336,-1.1,-1.0250000001435724,0.6999999997897692,67.08168819476708,1.1751560817591656e-08,-90.0000001836389,0.9097065062730295,-0.9097065089072717,-1.3722901285632265
AP02_ref_marker_graph_ba,aruco_marker,marker_003,3,aruco_marker_14,1.2745806983556693,0.8893288733128747,-0.603710147414356,0.914133643823678,-0.6514980397203163,0.09396289852585644,0.7191413363561954,0.3934850197484203,89.7303626026385,-0.5975592731801643,0.6023478542551589,1.566113905995554,2.6921713002052234e-05,0.01643756756522307,0.1,0.7099999999179586,0.4000000001456235,90.00000001175157,-0.0,0.0,1.570796327,0.0,0.0
AP02_ref_marker_graph_ba,aruco_marker,marker_004,4,aruco_marker_14,3.1550040066711302,1.8409862215548467,-0.40663120429282884,2.1284301853388032,2.2931389604524233,0.6959336879570717,0.7312843015252226,1.6229313897501478,88.19809822762952,-0.27246812357362854,0.26538166978929634,1.539352080722202,-0.00021215238554554515,0.007339028936666852,0.7,0.7099999996718346,1.6000000001456236,90.00000001175157,-0.0,0.0,1.570796327,0.0,0.0
AP02_ref_marker_graph_ba,aruco_marker,marker_005,5,aruco_marker_14,10.24038768723367,1.461707206969506,9.467769896218048,-2.318234392966989,3.138895104392525,1.9946776989621804,-1.5031823440732421,0.7313889507403722,67.92282808902935,-1.0589157681216246,-90.56262814414181,0.9033021983257167,-0.9376009639861688,-1.3649476279432178,1.9,-1.4800000001435722,0.699999999696447,67.08168819476708,1.1751560817591656e-08,-90.0000001836389,0.9097065062730295,-0.9097065089072717,-1.3722901285632265
AP02_ref_marker_graph_ba,aruco_marker,marker_006,6,aruco_marker_14,5.075448073066588,2.125630644401055,3.1548561773216965,1.851252712212301,3.518510912067363,2.001548561773217,0.01851252692317271,1.0051851091206738,66.04326406819149,-0.6809926282416389,-88.26860497846299,0.8971697036405348,-0.8865282190478901,-1.3458919159985512,1.97,-1.9895030067829111e-10,0.9700000000000002,67.08168819476708,1.1751560817591656e-08,-90.0000001836389,0.9097065062730295,-0.9097065089072717,-1.3722901285632265
AP02_ref_marker_graph_ba,aruco_marker,marker_007,7,aruco_marker_14,4.26199733602012,1.5164906878841806,1.5722601054535046,2.236747762819907,3.2694921468879645,1.985722601054535,0.4573674774292488,1.0026949215580998,67.37096701715086,-0.5831516864352471,-88.63179392138143,0.914102439132866,-0.9062653944941852,-1.3443979843861877,1.97,0.43499999980104975,0.9700000000892202,67.08168819476708,1.1751560817591656e-08,-90.0000001836389,0.9097065062730295,-0.9097065089072717,-1.3722901285632265
AP02_ref_marker_graph_ba,aruco_marker,marker_008,8,aruco_marker_14,11.01790016784801,1.8093780143301603,9.653714783519085,-0.38791652978571456,5.296171801693195,2.7465371478351908,-1.0288791655050118,1.062961717806701,67.44036590015308,-1.1464905589961045,-91.35667525760864,0.8907825870177519,-0.9399101234073496,-1.378889688077185,2.65,-1.0250000002071546,1.009999999789769,67.08168819476708,1.1751560817591656e-08,-90.0000001836389,0.9097065062730295,-0.9097065089072717,-1.3722901285632265
AP02_ref_marker_graph_ba,aruco_marker,marker_009,9,aruco_marker_14,14.670111350313302,2.080788075811347,14.61936978753382,-1.103676762729229,0.5177756747331674,3.166193697875338,-0.031036767836497794,1.0251777567432296,65.36113186171718,0.9990041501512276,89.37533266869366,0.8773231886969028,0.8917199900663959,1.3634416846753463,3.02,-0.020000000209205504,1.019999999995898,67.08168819476708,-1.1751560817591656e-08,90.0000001836389,0.9097065062730295,0.9097065089072717,1.3722901285632265
