camera,trans_err_cm,rot_err_deg,dx_cm,dy_cm,dz_cm,est_x_m,est_y_m,est_z_m,gt_x_m,gt_y_m,gt_z_m,est_roll_deg,est_pitch_deg,est_yaw_deg,gt_roll_deg,gt_pitch_deg,gt_yaw_deg
cam_edge_0,5.955,0.759,3.637,-4.363,1.788,0.624183,-1.778184,2.105204,0.587808,-1.734555,2.087328,-112.391,-1.541,-0.178,-112.765,-1.497,-0.827
cam_edge_1,8.685,0.293,-8.436,0.556,1.988,-4.058526,0.480646,2.151422,-3.974167,0.475086,2.131543,-106.135,0.630,-114.439,-106.364,0.768,-114.560
cam_edge_3,6.337,0.352,-5.858,-1.576,1.830,-3.285938,-1.578976,2.072513,-3.227356,-1.563214,2.054211,-109.300,1.627,-59.912,-109.390,1.967,-59.900
cam_edge_5,13.643,0.234,13.610,-0.066,-0.947,5.994963,0.347764,2.129296,5.858859,0.348420,2.138762,-109.049,4.104,113.825,-109.271,4.073,113.877
