image_name,marker_id,corner_idx,u,v,area_px2
moving_frame_0000.png,4,0,183.0,176.0,5541.5
moving_frame_0000.png,4,1,280.0,215.0,5541.5
moving_frame_0000.png,4,2,281.0,265.0,5541.5
moving_frame_0000.png,4,3,183.0,240.0,5541.5
moving_frame_0001.png,4,0,183.0,176.0,5541.5
moving_frame_0001.png,4,1,280.0,215.0,5541.5
moving_frame_0001.png,4,2,281.0,265.0,5541.5
moving_frame_0001.png,4,3,183.0,240.0,5541.5
moving_frame_0018.png,1,0,565.0,391.0,1118.0
moving_frame_0018.png,1,1,594.0,371.0,1118.0
moving_frame_0018.png,1,2,626.0,383.0,1118.0
moving_frame_0018.png,1,3,599.0,407.0,1118.0
moving_frame_0019.png,1,0,555.0,399.0,1251.0
moving_frame_0019.png,1,1,583.0,376.0,1251.0
moving_frame_0019.png,1,2,618.0,387.0,1251.0
moving_frame_0019.png,1,3,592.0,414.0,1251.0
moving_frame_0019.png,6,0,53.0,333.0,1047.5
moving_frame_0019.png,6,1,102.0,326.0,1047.5
moving_frame_0019.png,6,2,123.0,344.0,1047.5
moving_frame_0019.png,6,3,77.0,352.0,1047.5
moving_frame_0020.png,1,0,546.0,407.0,1410.5
moving_frame_0020.png,1,1,574.0,381.0,1410.5
moving_frame_0020.png,1,2,611.0,390.0,1410.5
moving_frame_0020.png,1,3,587.0,421.0,1410.5
moving_frame_0021.png,2,0,382.0,437.0,1104.0
moving_frame_0021.png,2,1,415.0,416.0,1104.0
moving_frame_0021.png,2,2,435.0,435.0,1104.0
moving_frame_0021.png,2,3,406.0,458.0,1104.0
moving_frame_0021.png,1,0,538.0,416.0,1593.5
moving_frame_0021.png,1,1,565.0,386.0,1593.5
moving_frame_0021.png,1,2,605.0,394.0,1593.5
moving_frame_0021.png,1,3,585.0,427.0,1593.5
moving_frame_0022.png,2,0,348.0,461.0,1425.0
moving_frame_0022.png,2,1,386.0,434.0,1425.0
moving_frame_0022.png,2,2,410.0,453.0,1425.0
moving_frame_0022.png,2,3,378.0,481.0,1425.0
moving_frame_0022.png,1,0,532.0,425.0,1792.0
moving_frame_0022.png,1,1,557.0,391.0,1792.0
moving_frame_0022.png,1,2,600.0,397.0,1792.0
moving_frame_0022.png,1,3,583.0,433.0,1792.0
moving_frame_0023.png,2,0,310.0,490.0,1894.5
moving_frame_0023.png,2,1,353.0,456.0,1894.5
moving_frame_0023.png,2,2,383.0,474.0,1894.5
moving_frame_0023.png,2,3,348.0,509.0,1894.5
moving_frame_0023.png,1,0,528.0,434.0,1971.5
moving_frame_0023.png,1,1,550.0,397.0,1971.5
moving_frame_0023.png,1,2,596.0,399.0,1971.5
moving_frame_0023.png,1,3,583.0,438.0,1971.5
moving_frame_0024.png,2,0,268.0,526.0,2583.0
moving_frame_0024.png,2,1,317.0,483.0,2583.0
moving_frame_0024.png,2,2,356.0,500.0,2583.0
moving_frame_0024.png,2,3,316.0,542.0,2583.0
moving_frame_0024.png,1,0,526.0,442.0,2107.0
moving_frame_0024.png,1,1,544.0,402.0,2107.0
moving_frame_0024.png,1,2,592.0,401.0,2107.0
moving_frame_0024.png,1,3,584.0,441.0,2107.0
moving_frame_0025.png,2,0,222.0,570.0,3514.0
moving_frame_0025.png,2,1,279.0,515.0,3514.0
moving_frame_0025.png,2,2,326.0,529.0,3514.0
moving_frame_0025.png,2,3,283.0,581.0,3514.0
moving_frame_0025.png,1,0,525.0,449.0,2312.0
moving_frame_0025.png,1,1,539.0,406.0,2312.0
moving_frame_0025.png,1,2,589.0,402.0,2312.0
moving_frame_0025.png,1,3,587.0,443.0,2312.0
moving_frame_0026.png,2,0,169.0,625.0,4934.5
moving_frame_0026.png,2,1,236.0,555.0,4934.5
moving_frame_0026.png,2,2,295.0,564.0,4934.5
moving_frame_0026.png,2,3,247.0,628.0,4934.5
moving_frame_0026.png,1,0,527.0,455.0,2421.0
moving_frame_0026.png,1,1,535.0,410.0,2421.0
moving_frame_0026.png,1,2,587.0,402.0,2421.0
moving_frame_0026.png,1,3,589.0,443.0,2421.0
moving_frame_0027.png,2,0,108.0,694.0,7174.5
moving_frame_0027.png,2,1,189.0,603.0,7174.5
moving_frame_0027.png,2,2,264.0,605.0,7174.5
moving_frame_0027.png,2,3,210.0,683.0,7174.5
moving_frame_0027.png,1,0,529.0,458.0,2480.0
