method,label,anchor_marker_id,parent_frame,child_frame,camera_id,status,source,x_m,y_m,z_m,roll_rad,pitch_rad,yaw_rad,qx,qy,qz,qw,m00,m01,m02,m03,m10,m11,m12,m13,m20,m21,m22,m23,m30,m31,m32,m33
ap03,multi_markers_0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-16-17-18-19-20__single_marker_0,14,evaluation_anchor_marker_14,cam_edge_0_optical_frame,cam_edge_0,available,method_primary_result,0.5870701471020983,-1.7448290350590838,2.0868040854529735,-1.9667774236163966,-0.02532589679205095,-0.014577424167348047,-0.8323424930628681,-0.0009510564326961941,-0.014578907029052283,0.5540690617634136,0.9995731019229999,0.017738652042713646,0.023215385754690065,0.5870701471020983,-0.014572233313778493,-0.38601314057654446,0.9223781791209513,-1.7448290350590838,0.025323189536082223,-0.9223227176677046,-0.3855898605328974,2.0868040854529735,0.0,0.0,0.0,1.0
ap03,multi_markers_0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-16-17-18-19-20__single_marker_0,14,evaluation_anchor_marker_14,cam_edge_1_optical_frame,cam_edge_1,available,method_primary_result,-3.987460969996142,0.4609540693996723,2.143565795229189,-1.8599976066253672,0.01637404549614201,-1.997437007704842,-0.4298511038127599,0.676610889876157,-0.49907658970858193,0.32916301410820514,-0.41375947738830654,-0.2531287666513577,0.8744878057268252,-3.987460969996142,-0.9102389848086417,0.13230117231160732,-0.3923791410606684,0.4609540693996723,-0.016373313833457803,-0.9583434808556568,-0.2851485354961064,2.143565795229189,0.0,0.0,0.0,1.0
ap03,multi_markers_0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-16-17-18-19-20__single_marker_0,14,evaluation_anchor_marker_14,cam_edge_3_optical_frame,cam_edge_3,available,method_primary_result,-3.23069463239949,-1.5895964941682803,2.0552708211176065,-1.9088576458807107,0.0385863907532447,-1.042055113380363,-0.7020263351786694,0.41577033396966107,-0.27404260531009134,0.509111681835352,0.5040713597312281,-0.304726864297541,0.8081173197463959,-3.23069463239949,-0.8628000310333894,-0.1358806496190717,0.4869420453276565,-1.5895964941682803,-0.03857681619176445,-0.9426971874544268,-0.3314118917872741,2.0552708211176065,0.0,0.0,0.0,1.0
ap03,multi_markers_0-1-2-3-4-5-6-7-8-9-10-11-12-13-14-16-17-18-19-20__single_marker_0,14,evaluation_anchor_marker_14,cam_edge_5_optical_frame,cam_edge_5,available,method_primary_result,2.1621412236099506,-7.024736735601706,3.0497288382512426,-2.027693703936859,0.03529280733399402,0.9788843592605403,-0.7534784786159606,-0.39078862607856446,0.261693725837253,0.45942445064191134,0.5576012871700889,0.3484446464177666,-0.7534368805208947,2.1621412236099506,0.8293586313346264,-0.27242684776001186,0.48779900907064044,-7.024736735601706,-0.03528548110788797,-0.8968667353639228,-0.4408911360195893,3.0497288382512426,0.0,0.0,0.0,1.0
