frame,segment,x,y,z,roll,pitch,yaw,image,set_pose_ok
29,3,3.9714285714285715,0.0,2.2,0.0,0.29714285714285715,-3.1524270446571427,results/bus_real_data/ablation/moving_cam/density/_capture_staging_density_route2_125pct_recaptured_20260713_053104/moving_capture/images/frame_0029.png,True
30,3,3.857142857142857,0.0,2.2,0.0,0.2857142857142857,-3.195764607285714,results/bus_real_data/ablation/moving_cam/density/_capture_staging_density_route2_125pct_recaptured_20260713_053104/moving_capture/images/frame_0030.png,True
31,3,3.742857142857143,0.0,2.2,0.0,0.2742857142857143,-3.2391021699142857,results/bus_real_data/ablation/moving_cam/density/_capture_staging_density_route2_125pct_recaptured_20260713_053104/moving_capture/images/frame_0031.png,True
32,3,3.6285714285714286,0.0,2.2,0.0,0.26285714285714284,-3.282439732542857,results/bus_real_data/ablation/moving_cam/density/_capture_staging_density_route2_125pct_recaptured_20260713_053104/moving_capture/images/frame_0032.png,True
33,3,3.5142857142857147,0.0,2.2,0.0,0.25142857142857145,-3.3257772951714286,results/bus_real_data/ablation/moving_cam/density/_capture_staging_density_route2_125pct_recaptured_20260713_053104/moving_capture/images/frame_0033.png,True
34,3,3.4000000000000004,0.0,2.2,0.0,0.24000000000000002,-3.3691148578,results/bus_real_data/ablation/moving_cam/density/_capture_staging_density_route2_125pct_recaptured_20260713_053104/moving_capture/images/frame_0034.png,True
35,3,3.2857142857142856,0.0,2.2,0.0,0.22857142857142856,-3.4124524204285716,results/bus_real_data/ablation/moving_cam/density/_capture_staging_density_route2_125pct_recaptured_20260713_053104/moving_capture/images/frame_0035.png,True
36,3,3.1714285714285713,0.0,2.2,0.0,0.21714285714285717,-3.455789983057143,results/bus_real_data/ablation/moving_cam/density/_capture_staging_density_route2_125pct_recaptured_20260713_053104/moving_capture/images/frame_0036.png,True
37,3,3.057142857142857,0.0,2.2,0.0,0.20571428571428574,-3.4991275456857145,results/bus_real_data/ablation/moving_cam/density/_capture_staging_density_route2_125pct_recaptured_20260713_053104/moving_capture/images/frame_0037.png,True
38,3,2.942857142857143,0.0,2.2,0.0,0.19428571428571434,-3.542465108314286,results/bus_real_data/ablation/moving_cam/density/_capture_staging_density_route2_125pct_recaptured_20260713_053104/moving_capture/images/frame_0038.png,True
