marker_id,entity_id,corner_idx,x_colmap,y_colmap,z_colmap,target_x_ref14_m,target_y_ref14_m,target_z_ref14_m,obs_count,inlier_count,mean_reproj_px,median_reproj_px,max_reproj_px,used_for_sim3,registered_x_ref14_m,registered_y_ref14_m,registered_z_ref14_m,corner_fit_error_cm
0,marker_000,0,-0.5059074691299953,0.7424633107327742,4.017590121824501,-2.5831005588238014,-0.10500000028212902,0.8582901844687094,29,29,0.4620665224144596,0.44828667041095627,0.9135994965582273,yes,-2.5749399447579107,-0.10360991581824852,0.8553111230258935,0.8797884054089837
0,marker_000,1,-0.2938890987647866,0.7332547517049086,4.07204684458654,-2.583100559368669,0.06499999971787099,0.858290184503577,29,29,0.6909901299217507,0.732148847982107,1.2966327501281183,yes,-2.5727253922368343,0.06280066005210483,0.8563010230839626,1.0790641831337031
0,marker_000,2,-0.2704957764095767,0.9420127974973342,4.010973698983978,-2.5168994411761982,0.0649999999621676,0.7017098155230865,29,29,0.45876704066887247,0.41039018448019793,1.3146559780280185,yes,-2.5044780319415985,0.06179373319041992,0.7047887597048446,1.3192856069077519
0,marker_000,3,-0.482015731518207,0.951354581398034,3.9554850962157433,-2.5168994406313305,-0.10500000003783241,0.701709815488219,29,29,0.41883592006066744,0.36849947281529827,1.4419185167343243,yes,-2.5058302126429037,-0.10446098369920942,0.7037959399258304,1.1276979295993832
1,marker_001,0,-1.4230529225202695,0.36099396568717707,3.1481203253837813,-2.1649999997275664,-0.940000000524711,1.229999999534769,32,31,1.261484292724187,0.867568234445053,3.698228672209595,yes,-2.162497169505734,-0.9375782891502605,1.2293960124896448,0.35346351227726797
1,marker_001,1,-1.6382033289304605,0.3683807264898128,3.089252847889976,-2.1650000002724337,-1.110000000524711,1.2299999994999014,32,31,0.6261525470266219,0.5741246607725345,1.2912193911088958,yes,-2.1623032463807137,-1.1071089363261524,1.2302132566140045,0.39593196826487864
1,marker_001,2,-1.6973342128352233,0.34205568444153295,3.30307145172373,-2.3350000002724336,-1.1099999999798433,1.230000000044769,32,31,1.040324879773569,1.1158197273425852,1.7078033256124125,yes,-2.3320022843953696,-1.1071033812489375,1.2297039920941941,0.4179033531648165
1,marker_001,3,-1.4821218690337727,0.33473477970807786,3.362319673167217,-2.3349999997275663,-0.9399999999798434,1.2300000000796367,32,31,1.2557197055693168,1.24937858564554,2.8530589019586863,yes,-2.3324544131535587,-0.937453457570528,1.2288003307750768,0.37952728081803316
2,marker_002,0,-1.0387641429118553,1.1285678785004356,1.8422333017561248,-1.066899440631331,-0.9400000002657207,0.7782901842974482,15,15,0.3653317862090179,0.3516283620527653,0.7068796257107195,yes,-1.065725751975621,-0.9380512473344844,0.7752011389984439,0.3836324270293827
2,marker_002,1,-1.251790911969729,1.1332032227419242,1.7896900553949735,-1.0668994411761985,-1.1100000002657207,0.7782901842625807,15,15,0.4665881830278966,0.40539660446200887,0.9974264200717516,yes,-1.0699533999698763,-1.1046884595735689,0.777476754751798,0.618067928361261
