entity_type,entity_id,source,x_m,y_m,z_m,roll_deg,pitch_deg,yaw_deg,rvec_x,rvec_y,rvec_z
moving_frame,frame_0000,ap03_multi_aruco_sim3_registration,-0.014422727900319288,-0.4963711313488381,1.2009655974162416,-90.06608951634755,-0.14827059945330012,-90.07302688642646,-1.2113521301330652,1.2097659740006792,-1.2114984304643968
moving_frame,frame_0001,ap03_multi_aruco_sim3_registration,-0.014318458069509599,-0.4963337536871857,1.200952143552858,-90.06589272101634,-0.14836001149808192,-90.07344303844305,-1.2113473203817857,1.209768060893128,-1.2115065469640305
moving_frame,frame_0002,ap03_multi_aruco_sim3_registration,-4.509975334790958,-0.48909293948541976,1.8016082930786756,-107.25721646360402,-0.17273562107377288,-90.06295788500972,-1.4290404197172675,1.4274385605820028,-1.0546176396812168
moving_frame,frame_0003,ap03_multi_aruco_sim3_registration,-4.367782924201774,-0.4889782082492717,1.8016679049358735,-108.4092849465419,-0.16968686592476948,-92.36281028352964,-1.4195728832528107,1.4761970539910412,-1.067676685790258
moving_frame,frame_0004,ap03_multi_aruco_sim3_registration,-4.222459653102333,-0.4892977566314741,1.8013867936484524,-109.58421734269461,-0.1711240570759034,-94.66306149017954,-1.4091551952126995,1.525545174200352,-1.0796169681914474
moving_frame,frame_0005,ap03_multi_aruco_sim3_registration,-4.080925619610545,-0.49035195702529777,1.8018195939878523,-110.74383380604493,-0.1552694250141133,-96.95755270769885,-1.3970879173770991,1.574970663068696,-1.0904320618936107
moving_frame,frame_0006,ap03_multi_aruco_sim3_registration,-3.9392622250604834,-0.4918637233454566,1.8017000333949746,-111.89706451000114,-0.15297196071285893,-99.24538648439594,-1.383875861933497,1.624382301765425,-1.1004722759954866
moving_frame,frame_0007,ap03_multi_aruco_sim3_registration,-3.794382452855645,-0.49286359436001825,1.8012338000940853,-113.07064303293696,-0.13587543782975595,-101.54349386286442,-1.3692230910010739,1.6744634823184277,-1.1091499689251494
moving_frame,frame_0008,ap03_multi_aruco_sim3_registration,-3.6518355025914975,-0.49382671599271,1.8015473698657942,-114.2360608908394,-0.14594813247750313,-103.84317186446175,-1.3534412541699306,1.724520792881161,-1.117314545998773
moving_frame,frame_0009,ap03_multi_aruco_sim3_registration,-3.510944168255011,-0.49263295975641413,1.8010584343885214,-115.37912788072809,-0.1803583067096616,-106.16507479216756,-1.336071292398219,1.7746696168789469,-1.125292098764419
moving_frame,frame_0010,ap03_multi_aruco_sim3_registration,-3.3686434020716094,-0.4923766679928319,1.8013691518902761,-116.5560700242323,-0.18776525766980548,-108.47530930084706,-1.317399200613307,1.8252503732961962,-1.1312437424251478
moving_frame,frame_0011,ap03_multi_aruco_sim3_registration,-3.226620571112173,-0.49322240489342195,1.8015884518732002,-117.7318922200135,-0.21307593337065112,-110.77611792915081,-1.29763210058649,1.8756763174538977,-1.1362892451105513
moving_frame,frame_0012,ap03_multi_aruco_sim3_registration,-3.0867544637885205,-0.491177936144414,1.8028102880711399,-118.89010715044904,-0.23458343473012333,-113.11757160782426,-1.2755919605728603,1.9264452955750047,-1.140767784159356
moving_frame,frame_0013,ap03_multi_aruco_sim3_registration,-3.034238296609005,-0.4928822766187361,1.8015622628130434,-119.21744674401043,-0.27544476311180915,-118.84754152850802,-1.1940970513932683,2.0145309184793234,-1.185354394474588
moving_frame,frame_0014,ap03_multi_aruco_sim3_registration,-2.977434035468727,-0.4944410699721211,1.7990200902852471,-119.57339628074457,-0.3057409643605501,-124.6705362680008,-1.1061894224452158,2.102186149250362,-1.2280955892462828
moving_frame,frame_0015,ap03_multi_aruco_sim3_registration,-2.9288672874016575,-0.4937614595356994,1.8001457095979898,-119.89192973283312,-0.3311501963310248,-130.37716772613635,-1.0146884345540896,2.185238068785344,-1.2682969967615467
moving_frame,frame_0016,ap03_multi_aruco_sim3_registration,-2.8765838580730403,-0.49387221818479976,1.7991736894265054,-120.18058488667192,-0.4028448561031472,-136.13202468084012,-0.9178223377724241,2.26601099924231,-1.307797913455508
moving_frame,frame_0017,ap03_multi_aruco_sim3_registration,-2.7801632067803856,-0.48948470481737083,1.8049854411535748,-120.87993661439982,-0.3375901330823035,-147.49315110836883,-0.7091548447438738,2.417419254262189,-1.3738010955166742
moving_frame,frame_0018,ap03_multi_aruco_sim3_registration,-2.723365673499523,-0.49312739200700845,1.8035229221318925,-121.29799806284699,-0.378305496721282,-153.36210955627413,-0.5947301714789415,2.4915324561620045,-1.4036646820757057
moving_frame,frame_0019,ap03_multi_aruco_sim3_registration,-2.7233656734995275,-0.49312739200700845,1.8035229221318931,-121.29799806284699,-0.37830549672130287,-153.36210955627413,-0.5947301714789415,2.4915324561620045,-1.4036646820757068
moving_frame,frame_0020,ap03_multi_aruco_sim3_registration,-2.6686544042229334,-0.4978181526296844,1.8029665678368698,-121.76248039778126,-0.3751651698977657,-159.23889472349978,-0.4741391883434744,2.561959038755239,-1.4290809096468398
moving_frame,frame_0021,ap03_multi_aruco_sim3_registration,-2.5693001648453047,-0.4972536873176593,1.8151311999503739,-123.02178130562268,-0.2635867544299224,-170.65690853827536,-0.22311092969097793,2.688996102886086,-1.4599983991983976
moving_frame,frame_0022,ap03_multi_aruco_sim3_registration,-2.5693001648453,-0.49725368731766306,1.8151311999503716,-123.02178130562271,-0.26358675442989293,-170.6569085382753,-0.2231109296909824,2.6889961028860863,-1.459998399198396
moving_frame,frame_0023,ap03_multi_aruco_sim3_registration,-2.5235525333128512,-0.47084844315197505,1.8368229195511017,-123.5391549600485,-0.2225320596524071,-176.38367532965654,-0.08946918130779377,2.743398239689857,-1.4730899056502096
moving_frame,frame_0024,ap03_multi_aruco_sim3_registration,-2.4700829636059574,-0.485790176698968,1.8128552691196382,-123.22463660043184,-0.018187153684441112,177.8030259516403,-0.052439746496764125,-2.747152862775931,1.4846060033393491
moving_frame,frame_0037,ap03_multi_aruco_sim3_registration,-1.1661429218941708,-0.6375969700856281,1.7902821003585618,-116.42216100127406,7.440526886976488,93.93311930271946,-1.5882728763520007,-1.5694734445696121,1.1097203787226253
