initialization_algorithm,initialized_type,initialized_id,from_type,from_id,observed_marker_id,observer_id,frame_id,edge_quality,path_length,path_bottleneck_score,pnp_reprojection_rmse_px,area_px2,distance_m
unweighted_first_hit_bfs_diagnostic,observer,camera_back_left,marker,8,8,camera_back_left,static,0.660250890329944,1,0.660250890329944,1.7544862023578374,405.4950620755553,7.36228659671688
unweighted_first_hit_bfs_diagnostic,observer,camera_center_left,marker,8,8,camera_center_left,static,2.174621328348062,1,2.174621328348062,1.7751496590168854,1251.5139875374734,4.461930343293276
unweighted_first_hit_bfs_diagnostic,observer,moving_frame_000178,marker,8,8,moving_frame_000178,178,1.39181884814675,1,1.39181884814675,1.4266882226229727,477.3492331728339,7.105830974305375
unweighted_first_hit_bfs_diagnostic,observer,moving_frame_000182,marker,8,8,moving_frame_000182,182,1.7600210366108617,1,1.7600210366108617,1.720298383876545,1018.2146729268134,6.0025731272433545
unweighted_first_hit_bfs_diagnostic,observer,moving_frame_000183,marker,8,8,moving_frame_000183,183,1.1572218318439662,1,1.1572218318439662,2.5675071785233685,1205.6375171858817,5.558071055415603
unweighted_first_hit_bfs_diagnostic,observer,moving_frame_000184,marker,8,8,moving_frame_000184,184,2.826463539188604,1,2.826463539188604,1.4196268731044335,1484.3729858398438,5.4207910827393855
unweighted_first_hit_bfs_diagnostic,observer,moving_frame_000185,marker,8,8,moving_frame_000185,185,2.3725553041558998,1,2.3725553041558998,1.7741159520386551,1707.9569091796875,5.123252746355658
unweighted_first_hit_bfs_diagnostic,observer,moving_frame_000186,marker,8,8,moving_frame_000186,186,4.068756395120491,1,4.068756395120491,1.2225242886841117,1992.4059514850378,4.932514720297402
unweighted_first_hit_bfs_diagnostic,observer,moving_frame_000187,marker,8,8,moving_frame_000187,187,4.826198234094122,1,4.826198234094122,1.1411922275938344,2284.572324100882,4.666292576000344
unweighted_first_hit_bfs_diagnostic,observer,moving_frame_000188,marker,8,8,moving_frame_000188,188,6.387680352756758,1,6.387680352756758,0.9259982735770929,2533.69370097667,4.512780259459374
unweighted_first_hit_bfs_diagnostic,observer,moving_frame_000189,marker,8,8,moving_frame_000189,189,5.790034433129335,1,5.790034433129335,1.0333774590700862,2535.0584014989436,4.423373953810573
unweighted_first_hit_bfs_diagnostic,observer,moving_frame_000190,marker,8,8,moving_frame_000190,190,6.596169044865758,1,6.596169044865758,0.9499582928524425,2744.1966282520443,4.362449196768022
unweighted_first_hit_bfs_diagnostic,observer,moving_frame_000191,marker,8,8,moving_frame_000191,191,7.541875808283135,1,7.541875808283135,0.7439784390226205,2390.3885872252285,4.543026893885441
unweighted_first_hit_bfs_diagnostic,marker,2,observer,camera_back_left,2,camera_back_left,static,1.5001483600425238,2,0.660250890329944,1.1589545389222642,383.8304619565606,7.409364219981579
unweighted_first_hit_bfs_diagnostic,marker,6,observer,camera_center_left,6,camera_center_left,static,1.943110790720192,2,1.943110790720192,1.7301810536251434,995.5535013526678,4.745737177550554
unweighted_first_hit_bfs_diagnostic,marker,15,observer,camera_center_left,15,camera_center_left,static,23.15838545199387,2,2.174621328348062,0.1386749185773539,3279.808459099382,3.6377504820260165
unweighted_first_hit_bfs_diagnostic,marker,37,observer,camera_center_left,37,camera_center_left,static,12.56457816982507,2,2.174621328348062,0.8407632956490936,3750.0,2.0689198117630796
unweighted_first_hit_bfs_diagnostic,marker,16,observer,moving_frame_000178,16,moving_frame_000178,178,1.645050127230652,2,1.39181884814675,1.3914395524284857,617.8147400841117,6.980111532234788
unweighted_first_hit_bfs_diagnostic,observer,moving_frame_000193,marker,2,2,moving_frame_000193,193,4.444461183493967,3,0.660250890329944,1.2381917614141977,2337.338743697852,4.7151363029196105
unweighted_first_hit_bfs_diagnostic,observer,moving_frame_000192,marker,6,6,moving_frame_000192,192,4.41102089807851,3,1.943110790720192,0.9704981855311502,1529.6310533434153,5.214399528592817
unweighted_first_hit_bfs_diagnostic,observer,moving_frame_000176,marker,15,15,moving_frame_000176,176,7.144455476861797,3,2.174621328348062,0.22298316464529241,765.2267656326294,6.701468325227296
unweighted_first_hit_bfs_diagnostic,observer,moving_frame_000180,marker,15,15,moving_frame_000180,180,9.263969397316544,3,2.174621328348062,0.47354837344365525,2004.8079474940896,4.9547410552104845
