marker_id,corner_idx,status,x_colmap,y_colmap,z_colmap,obs_count,inlier_count,mean_reproj_px,median_reproj_px,max_reproj_px,note
0,0,OK,2.301639523782855,-0.04194620580332124,3.5889461255986106,79,79,0.42441420411332154,0.4173972164566391,1.2567723829928954,
0,1,OK,2.488065982040097,-0.009087391166797352,3.493103041125237,79,79,0.927247989840811,0.5538828012231221,3.0334574988230747,
0,2,OK,2.448200243145,0.20038434057583093,3.486612112367818,79,79,0.685238133591147,0.5505291372636472,1.939982639214413,
0,3,OK,2.2608619463388204,0.16809863742336717,3.579627437653662,79,79,0.5859327194967211,0.5116981735480612,1.6257319983733587,
1,0,OK,1.0917026102045966,-0.4930549499694642,3.4231230401559953,40,40,1.0655449809625952,0.8010013885368521,2.4773687496980887,
1,1,OK,0.896528109533111,-0.5269813809806033,3.5151281008378876,40,40,1.0083569826151038,0.8995059592349217,2.3427289458815963,
1,2,OK,0.9947302697452367,-0.5955659901756448,3.6982315035200473,40,40,0.8997101796855658,0.8559790197622482,1.6763623426532845,
1,3,OK,1.1901657754077766,-0.5611129692499208,3.606350588548119,40,40,0.9701890734201839,0.8857968224322343,2.045215925827368,
2,0,OK,0.46250660230330964,0.5027174580558107,2.4472508748758877,17,17,0.3504993756310546,0.22985792427664695,0.950122851735112,
2,1,OK,0.270397899941481,0.46794124114796176,2.5398158203658565,17,17,0.4406923669902205,0.4430415017038194,0.6790862740067755,
2,2,OK,0.3109071676299502,0.6271720846905321,2.679603513765108,17,17,0.7849092283544324,0.5652803358585987,3.0749385717473854,
2,3,OK,0.5016035679987692,0.6616341675686361,2.587655330986847,17,17,0.42212356290549596,0.40443452666697993,0.7026290941434148,
3,0,OK,1.7354343822963714,1.6323073733718951,0.509040437204403,27,27,0.6443131953240268,0.5471942329708327,1.7708315448444252,
3,1,OK,1.6382074247600724,1.7002866269457728,0.3273591910922536,27,27,0.6009146224579107,0.5895259773193376,1.0354836624334878,
3,2,OK,1.6397418335313523,1.9050738926904354,0.40430599563733527,27,27,0.4465735469504674,0.4346038881599069,0.9248632702421407,
3,3,OK,1.735993732591457,1.8361193013532995,0.5859160659291368,27,27,0.7759606507880967,0.6998157768398506,1.8291612692981962,
