residual_evaluation_index,source,solver_iteration,solver_nfev,elapsed_seconds,robust_cost,reprojection_rmse_px,mean_reprojection_error_px,maximum_reprojection_error_px,parameter_step_norm
1,initial_diagnostic,,,0.0016007469967007637,378.42758297802436,4.295265270968615,2.362103263112577,12.109881125378328,
2,solver_residual_call,,,0.0035943549883086234,378.42758297802436,4.295265270968615,2.362103263112577,12.109881125378328,0.0
3,solver_residual_call,,,0.005479369996464811,378.4275829410055,4.295265270849397,2.3621032598789933,12.109881125378328,3.0444975429588794e-08
4,solver_residual_call,,,0.007662766991415992,378.42758298803767,4.295265271001722,2.3621032629565155,12.109881125378328,3.389603419034883e-08
5,solver_residual_call,,,0.00905085398699157,378.42758296464496,4.2952652709248085,2.362103263675941,12.109881125378328,2.1073424255447017e-08
6,solver_residual_call,,,0.011033511997084133,378.42758298980027,4.295265271007077,2.3621032631378216,12.109881125378328,2.1073424255447017e-08
7,solver_residual_call,,,0.012249050996615551,378.42758299021654,4.295265271008464,2.362103263010485,12.109881125378328,2.7639006758119782e-08
8,solver_residual_call,,,0.013427767989924178,378.42758303094007,4.295265271140083,2.3621032649554388,12.109881125378328,4.2531754089344024e-08
9,solver_residual_call,,,0.014567651000106707,378.4278022208952,4.295266848290143,2.3621042675724837,12.109881125378328,3.9469237827369964e-08
10,solver_residual_call,,,0.015738061993033625,378.42794200699376,4.29526778791495,2.3621049131895435,12.109881125378328,3.133811896276989e-08
11,solver_residual_call,,,0.016860067000379786,378.4275455241319,4.295264793207802,2.3621029783926435,12.109881125378328,3.2943862972790416e-08
12,solver_residual_call,,,0.018271046996233054,378.42766586613453,4.295265854811147,2.3621036423197324,12.109881125378328,6.340637681541481e-08
13,solver_residual_call,,,0.01991116198769305,378.42757649985043,4.295265272815515,2.3621032598588396,12.109881125378328,6.203589364175156e-08
14,solver_residual_call,,,0.021299257990904152,378.4274662842718,4.295264418396366,2.3621027157015066,12.109881125378328,3.5523048305708354e-08
15,solver_residual_call,,,0.0230398829880869,378.4270743296615,4.295260599662591,2.3621009721205404,12.109874483844898,4.100274889039776e-08
16,solver_residual_call,,,0.024673862993950024,378.4272582957889,4.295262362727336,2.3621018691298135,12.109867399805207,2.9384139692857908e-08
17,solver_residual_call,,,0.02590049899299629,378.42769129993934,4.295266225441654,2.3621038089823854,12.109875466758243,2.1073424255447017e-08
18,solver_residual_call,,,0.027446634994703345,378.42751986068527,4.295264728696703,2.362102987164303,12.109880149132998,5.1138738334181505e-08
19,solver_residual_call,,,0.029403868000372313,378.4275450601959,4.295264934391355,2.3621031262987096,12.10987682185829,5.413559549642879e-08
20,solver_residual_call,,,0.03069863400014583,378.4277539310935,4.295266815117295,2.362104028966048,12.109883710727646,3.866344989192e-08
21,solver_residual_call,,,0.03187564299150836,378.4275831342896,4.295265271482582,2.3621032644558997,12.109881125378328,3.434195999362781e-08
22,solver_residual_call,,,0.03299552999669686,378.427583023958,4.295265271119338,2.3621032647059943,12.109881125378328,2.1073424255447017e-08
23,solver_residual_call,,,0.03412586898775771,378.4275830285146,4.295265271125837,2.3621032642779323,12.109881125378328,2.7720287166950106e-08
24,solver_residual_call,,,0.03568980799173005,378.4275826981981,4.295265270017674,2.3621032617068,12.109881125378328,4.151835950425509e-08
25,solver_residual_call,,,0.03759326999715995,378.4275827370825,4.29526527017927,2.3621032598182037,12.109881125378328,3.758628353581006e-08
26,solver_residual_call,,,0.038999830998363905,378.42758320527014,4.295265271730841,2.3621032676396303,12.109881125378328,2.4222917474857127e-08
27,solver_residual_call,,,0.04013058799318969,378.42758296919936,4.29526527093979,2.3621032627973784,12.109881125378328,2.3947235458730632e-08
28,solver_residual_call,,,0.04180484799144324,378.42758298382,4.29526527098748,2.3621032632663996,12.109881125378328,2.1073424255447017e-08
29,solver_residual_call,,,0.04388601100072265,378.42758298807627,4.2952652710012105,2.3621032633960755,12.109881125378328,2.5433181181389493e-08
30,solver_residual_call,,,0.045022798993159086,378.4275829918269,4.2952652710136485,2.3621032635428487,12.109881125378328,2.6675688914951933e-08
31,solver_residual_call,,,0.04616035899380222,378.4275829821168,4.295265270982033,2.362103263224776,12.109881125378328,2.288422529826426e-08
32,solver_residual_call,,,0.047348169988254085,378.42758298152694,4.295265270980027,2.362103263236818,12.109881125378328,2.1422933819153084e-08
33,solver_residual_call,,,0.04847987099492457,378.4275829800554,4.295265270975145,2.3621032633100647,12.109881125378328,2.688229656378191e-08
34,solver_residual_call,,,0.049622030986938626,378.4275829705782,4.295265270944427,2.3621032627102263,12.109881125378328,2.688229656378191e-08
35,solver_residual_call,,,0.05091603098844644,378.4275829720403,4.295265270949067,2.3621032631173122,12.109881125378328,2.1073424255447017e-08
36,solver_residual_call,,,0.05201935299555771,378.42758297864106,4.295265270970617,2.3621032631153844,12.109881125378328,2.1073424255447017e-08
