frame_id,image_path,debug_image,detected_marker_count,detected_marker_ids,pnp_success_count,pnp_failure_count,median_pnp_reprojection_rmse_px
0,results/real_vehicle_data/real_1x_4k_3hz_IMG_4318_v1/00_shared_input/raw_images/moving/frame_000000.png,results/real_vehicle_data/real_1x_4k_3hz_IMG_4318_v1/00_shared_input/aruco_observations/debug_images/moving/frame_000000.png,4,0 2 3 4,4,0,0.4315817641537768
1,results/real_vehicle_data/real_1x_4k_3hz_IMG_4318_v1/00_shared_input/raw_images/moving/frame_000001.png,results/real_vehicle_data/real_1x_4k_3hz_IMG_4318_v1/00_shared_input/aruco_observations/debug_images/moving/frame_000001.png,3,0 2 3,3,0,0.31832974471900294
2,results/real_vehicle_data/real_1x_4k_3hz_IMG_4318_v1/00_shared_input/raw_images/moving/frame_000002.png,results/real_vehicle_data/real_1x_4k_3hz_IMG_4318_v1/00_shared_input/aruco_observations/debug_images/moving/frame_000002.png,6,0 2 3 4 18 20,6,0,0.3721993038293008
3,results/real_vehicle_data/real_1x_4k_3hz_IMG_4318_v1/00_shared_input/raw_images/moving/frame_000003.png,results/real_vehicle_data/real_1x_4k_3hz_IMG_4318_v1/00_shared_input/aruco_observations/debug_images/moving/frame_000003.png,5,0 2 3 4 20,5,0,0.40364538703529745
4,results/real_vehicle_data/real_1x_4k_3hz_IMG_4318_v1/00_shared_input/raw_images/moving/frame_000004.png,results/real_vehicle_data/real_1x_4k_3hz_IMG_4318_v1/00_shared_input/aruco_observations/debug_images/moving/frame_000004.png,5,0 2 3 4 20,5,0,0.4415884620984366
5,results/real_vehicle_data/real_1x_4k_3hz_IMG_4318_v1/00_shared_input/raw_images/moving/frame_000005.png,results/real_vehicle_data/real_1x_4k_3hz_IMG_4318_v1/00_shared_input/aruco_observations/debug_images/moving/frame_000005.png,3,0 2 3,3,0,0.4218097549115787
6,results/real_vehicle_data/real_1x_4k_3hz_IMG_4318_v1/00_shared_input/raw_images/moving/frame_000006.png,results/real_vehicle_data/real_1x_4k_3hz_IMG_4318_v1/00_shared_input/aruco_observations/debug_images/moving/frame_000006.png,3,0 2 3,3,0,0.5289196521238684
7,results/real_vehicle_data/real_1x_4k_3hz_IMG_4318_v1/00_shared_input/raw_images/moving/frame_000007.png,results/real_vehicle_data/real_1x_4k_3hz_IMG_4318_v1/00_shared_input/aruco_observations/debug_images/moving/frame_000007.png,4,0 2 3 4,4,0,0.3758097303949714
8,results/real_vehicle_data/real_1x_4k_3hz_IMG_4318_v1/00_shared_input/raw_images/moving/frame_000008.png,results/real_vehicle_data/real_1x_4k_3hz_IMG_4318_v1/00_shared_input/aruco_observations/debug_images/moving/frame_000008.png,6,0 2 3 4 18 20,6,0,0.30469847952982054
9,results/real_vehicle_data/real_1x_4k_3hz_IMG_4318_v1/00_shared_input/raw_images/moving/frame_000009.png,results/real_vehicle_data/real_1x_4k_3hz_IMG_4318_v1/00_shared_input/aruco_observations/debug_images/moving/frame_000009.png,5,0 2 4 18 20,5,0,0.31947300970108455
10,results/real_vehicle_data/real_1x_4k_3hz_IMG_4318_v1/00_shared_input/raw_images/moving/frame_000010.png,results/real_vehicle_data/real_1x_4k_3hz_IMG_4318_v1/00_shared_input/aruco_observations/debug_images/moving/frame_000010.png,5,0 2 4 18 20,5,0,0.7282588402983983
11,results/real_vehicle_data/real_1x_4k_3hz_IMG_4318_v1/00_shared_input/raw_images/moving/frame_000011.png,results/real_vehicle_data/real_1x_4k_3hz_IMG_4318_v1/00_shared_input/aruco_observations/debug_images/moving/frame_000011.png,3,2 4 20,3,0,0.10282782811398927
12,results/real_vehicle_data/real_1x_4k_3hz_IMG_4318_v1/00_shared_input/raw_images/moving/frame_000012.png,results/real_vehicle_data/real_1x_4k_3hz_IMG_4318_v1/00_shared_input/aruco_observations/debug_images/moving/frame_000012.png,3,2 4 20,3,0,0.15863561970157977
