frame,image,marker_id,center_u,center_v,corner0_u,corner0_v,corner1_u,corner1_v,corner2_u,corner2_v,corner3_u,corner3_v,pnp_success,tvec_x_m,tvec_y_m,tvec_z_m,distance_m,rvec_x,rvec_y,rvec_z,route_x,route_y,route_z,route_roll,route_pitch,route_yaw
0,results/bus_real_data/03_moving_camera_sequence_blur_k9/images/frame_0000.png,11,271.0,480.25,152.0,452.0,331.0,378.0,399.0,499.0,202.0,592.0,True,-0.32960933883369675,0.10308969017462717,0.8344955304827064,0.9031348685895706,2.3045898930770625,-0.6747367251061266,0.2778445715156163,-4.5,0.0,2.2,0.0,0.3,0.0
0,results/bus_real_data/03_moving_camera_sequence_blur_k9/images/frame_0000.png,13,871.0,383.25,782.0,367.0,875.0,322.0,961.0,395.0,866.0,449.0,True,0.31391624799338746,0.0287387297575137,1.2658903258847605,1.304548827185455,2.2935577960236944,-0.6671211450834861,0.26759878432010525,-4.5,0.0,2.2,0.0,0.3,0.0
1,results/bus_real_data/03_moving_camera_sequence_blur_k9/images/frame_0001.png,11,271.0,480.25,152.0,452.0,331.0,378.0,399.0,499.0,202.0,592.0,True,-0.32960933883369675,0.10308969017462717,0.8344955304827064,0.9031348685895706,2.3045898930770625,-0.6747367251061266,0.2778445715156163,-4.36,0.0,2.2,0.0,0.32,-0.04000000000000001
1,results/bus_real_data/03_moving_camera_sequence_blur_k9/images/frame_0001.png,13,871.0,383.25,782.0,367.0,875.0,322.0,961.0,395.0,866.0,449.0,True,0.31391624799338746,0.0287387297575137,1.2658903258847605,1.304548827185455,2.2935577960236944,-0.6671211450834861,0.26759878432010525,-4.36,0.0,2.2,0.0,0.32,-0.04000000000000001
2,results/bus_real_data/03_moving_camera_sequence_blur_k9/images/frame_0002.png,6,567.0,197.5,556.0,186.0,579.0,187.0,578.0,209.0,555.0,208.0,True,-0.540374008838799,-1.203149765339671,6.8808523800557415,7.006118961549553,2.978857559472402,0.05104531218150124,0.05861785532576896,-4.22,0.0,2.2,0.0,0.33999999999999997,-0.08000000000000002
2,results/bus_real_data/03_moving_camera_sequence_blur_k9/images/frame_0002.png,7,504.25,197.5,494.0,186.0,516.0,187.0,515.0,209.0,492.0,208.0,True,-1.0203234881896417,-1.2214813241949931,6.985959042131169,7.164963390293273,3.0247129643764255,0.07400588626986508,-0.0283331790817186,-4.22,0.0,2.2,0.0,0.33999999999999997,-0.08000000000000002
3,results/bus_real_data/03_moving_camera_sequence_blur_k9/images/frame_0003.png,1,803.0,299.5,759.0,290.0,828.0,288.0,851.0,309.0,774.0,311.0,True,0.3717700273457762,-0.13908744437659623,2.122925636799655,2.159715613176215,1.9206680409110957,-0.08848583855764372,0.060453714393193914,-4.08,0.0,2.2,0.0,0.36,-0.12
3,results/bus_real_data/03_moving_camera_sequence_blur_k9/images/frame_0003.png,5,712.75,205.75,700.0,195.0,724.0,193.0,725.0,217.0,702.0,218.0,True,0.5242065225929191,-1.1114707292168726,6.699561659480184,6.8113351179788335,-2.7945156035782075,0.08863456144081011,0.24861597950634978,-4.08,0.0,2.2,0.0,0.36,-0.12
3,results/bus_real_data/03_moving_camera_sequence_blur_k9/images/frame_0003.png,6,487.0,165.5,475.0,153.0,499.0,154.0,499.0,178.0,475.0,177.0,True,-1.0961868878845415,-1.39374022834907,6.660728769989397,6.892709573502498,3.188788978540012,0.00601161415964613,0.3511124240054523,-4.08,0.0,2.2,0.0,0.36,-0.12
3,results/bus_real_data/03_moving_camera_sequence_blur_k9/images/frame_0003.png,7,419.25,166.5,407.0,154.0,432.0,155.0,431.0,179.0,407.0,178.0,True,-1.5598968193468048,-1.3672405869283715,6.569552026873915,6.889240795861013,-2.689496566063167,-0.05806275263788059,-0.4938193766258568,-4.08,0.0,2.2,0.0,0.36,-0.12
4,results/bus_real_data/03_moving_camera_sequence_blur_k9/images/frame_0004.png,1,803.0,299.5,759.0,290.0,828.0,288.0,851.0,309.0,774.0,311.0,True,0.3717700273457762,-0.13908744437659623,2.122925636799655,2.159715613176215,1.9206680409110957,-0.08848583855764372,0.060453714393193914,-3.94,0.0,2.2,0.0,0.38,-0.16000000000000003
4,results/bus_real_data/03_moving_camera_sequence_blur_k9/images/frame_0004.png,5,712.75,205.75,700.0,195.0,724.0,193.0,725.0,217.0,702.0,218.0,True,0.5242065225929191,-1.1114707292168726,6.699561659480184,6.8113351179788335,-2.7945156035782075,0.08863456144081011,0.24861597950634978,-3.94,0.0,2.2,0.0,0.38,-0.16000000000000003
4,results/bus_real_data/03_moving_camera_sequence_blur_k9/images/frame_0004.png,6,487.0,165.5,475.0,153.0,499.0,154.0,499.0,178.0,475.0,177.0,True,-1.0961868878845415,-1.39374022834907,6.660728769989397,6.892709573502498,3.188788978540012,0.00601161415964613,0.3511124240054523,-3.94,0.0,2.2,0.0,0.38,-0.16000000000000003
4,results/bus_real_data/03_moving_camera_sequence_blur_k9/images/frame_0004.png,7,419.25,166.5,407.0,154.0,432.0,155.0,431.0,179.0,407.0,178.0,True,-1.5598968193468048,-1.3672405869283715,6.569552026873915,6.889240795861013,-2.689496566063167,-0.05806275263788059,-0.4938193766258568,-3.94,0.0,2.2,0.0,0.38,-0.16000000000000003
