output_frame,output_file,source_frame,source_time_s,target_time_s,time_error_ms
0,frame_000000.png,0,0.000000000,0.000000000,0.000000
1,frame_000001.png,10,0.333510778,0.333333333,0.177445
2,frame_000002.png,20,0.667021556,0.666666667,0.354890
3,frame_000003.png,30,1.000532334,1.000000000,0.532334
4,frame_000004.png,40,1.334043113,1.333333333,0.709779
5,frame_000005.png,50,1.667553891,1.666666667,0.887224
6,frame_000006.png,60,2.001064669,2.000000000,1.064669
7,frame_000007.png,70,2.334575447,2.333333333,1.242114
8,frame_000008.png,80,2.668086225,2.666666667,1.419558
9,frame_000009.png,90,3.001597003,3.000000000,1.597003
10,frame_000010.png,100,3.335107781,3.333333333,1.774448
11,frame_000011.png,110,3.668618559,3.666666667,1.951893
12,frame_000012.png,120,4.002129338,4.000000000,2.129338
13,frame_000013.png,130,4.335640116,4.333333333,2.306782
14,frame_000014.png,140,4.669150894,4.666666667,2.484227
15,frame_000015.png,150,5.002661672,5.000000000,2.661672
16,frame_000016.png,160,5.336172450,5.333333333,2.839117
17,frame_000017.png,170,5.669683228,5.666666667,3.016562
18,frame_000018.png,180,6.003194006,6.000000000,3.194006
19,frame_000019.png,190,6.336704784,6.333333333,3.371451
20,frame_000020.png,200,6.670215563,6.666666667,3.548896
21,frame_000021.png,210,7.003726341,7.000000000,3.726341
22,frame_000022.png,220,7.337237119,7.333333333,3.903785
23,frame_000023.png,230,7.670747897,7.666666667,4.081230
24,frame_000024.png,240,8.004258675,8.000000000,4.258675
25,frame_000025.png,250,8.337769453,8.333333333,4.436120
26,frame_000026.png,260,8.671280231,8.666666667,4.613565
27,frame_000027.png,270,9.004791009,9.000000000,4.791009
28,frame_000028.png,280,9.338301788,9.333333333,4.968454
29,frame_000029.png,290,9.671812566,9.666666667,5.145899
30,frame_000030.png,300,10.005323344,10.000000000,5.323344
31,frame_000031.png,310,10.338834122,10.333333333,5.500789
32,frame_000032.png,320,10.672344900,10.666666667,5.678233
33,frame_000033.png,330,11.005855678,11.000000000,5.855678
34,frame_000034.png,340,11.339366456,11.333333333,6.033123
35,frame_000035.png,350,11.672877234,11.666666667,6.210568
36,frame_000036.png,360,12.006388013,12.000000000,6.388013
37,frame_000037.png,370,12.339898791,12.333333333,6.565457
38,frame_000038.png,380,12.673409569,12.666666667,6.742902
39,frame_000039.png,390,13.006920347,13.000000000,6.920347
40,frame_000040.png,400,13.340431125,13.333333333,7.097792
41,frame_000041.png,410,13.673941903,13.666666667,7.275237
42,frame_000042.png,420,14.007452681,14.000000000,7.452681
43,frame_000043.png,430,14.340963460,14.333333333,7.630126
44,frame_000044.png,440,14.674474238,14.666666667,7.807571
45,frame_000045.png,450,15.007985016,15.000000000,7.985016
46,frame_000046.png,460,15.341495794,15.333333333,8.162461
47,frame_000047.png,470,15.675006572,15.666666667,8.339905
48,frame_000048.png,480,16.008517350,16.000000000,8.517350
49,frame_000049.png,490,16.342028128,16.333333333,8.694795
50,frame_000050.png,500,16.675538906,16.666666667,8.872240
51,frame_000051.png,510,17.009049685,17.000000000,9.049685
52,frame_000052.png,520,17.342560463,17.333333333,9.227129
53,frame_000053.png,530,17.676071241,17.666666667,9.404574
54,frame_000054.png,540,18.009582019,18.000000000,9.582019
55,frame_000055.png,550,18.343092797,18.333333333,9.759464
56,frame_000056.png,560,18.676603575,18.666666667,9.936909
57,frame_000057.png,570,19.010114353,19.000000000,10.114353
58,frame_000058.png,580,19.343625131,19.333333333,10.291798
59,frame_000059.png,590,19.677135910,19.666666667,10.469243
60,frame_000060.png,600,20.010646688,20.000000000,10.646688
61,frame_000061.png,610,20.344157466,20.333333333,10.824132
62,frame_000062.png,620,20.677668244,20.666666667,11.001577
63,frame_000063.png,630,21.011179022,21.000000000,11.179022
64,frame_000064.png,640,21.344689800,21.333333333,11.356467
65,frame_000065.png,650,21.678200578,21.666666667,11.533912
66,frame_000066.png,660,22.011711356,22.000000000,11.711356
67,frame_000067.png,670,22.345222135,22.333333333,11.888801
68,frame_000068.png,680,22.678732913,22.666666667,12.066246
69,frame_000069.png,690,23.012243691,23.000000000,12.243691
70,frame_000070.png,700,23.345754469,23.333333333,12.421136
71,frame_000071.png,710,23.679265247,23.666666667,12.598580
72,frame_000072.png,720,24.012776025,24.000000000,12.776025
73,frame_000073.png,730,24.346286803,24.333333333,12.953470
74,frame_000074.png,740,24.679797581,24.666666667,13.130915
75,frame_000075.png,750,25.013308360,25.000000000,13.308360
76,frame_000076.png,760,25.346819138,25.333333333,13.485804
77,frame_000077.png,770,25.680329916,25.666666667,13.663249
78,frame_000078.png,780,26.013840694,26.000000000,13.840694
79,frame_000079.png,790,26.347351472,26.333333333,14.018139
80,frame_000080.png,800,26.680862250,26.666666667,14.195584
81,frame_000081.png,810,27.014373028,27.000000000,14.373028
82,frame_000082.png,820,27.347883807,27.333333333,14.550473
83,frame_000083.png,830,27.681394585,27.666666667,14.727918
84,frame_000084.png,840,28.014905363,28.000000000,14.905363
85,frame_000085.png,850,28.348416141,28.333333333,15.082808
86,frame_000086.png,860,28.681926919,28.666666667,15.260252
87,frame_000087.png,870,29.015437697,29.000000000,15.437697
88,frame_000088.png,880,29.348948475,29.333333333,15.615142
89,frame_000089.png,890,29.682459253,29.666666667,15.792587
90,frame_000090.png,900,30.015970032,30.000000000,15.970032
91,frame_000091.png,910,30.349480810,30.333333333,16.147476
92,frame_000092.png,920,30.682991588,30.666666667,16.324921
93,frame_000093.png,930,31.016502366,31.000000000,16.502366
94,frame_000094.png,939,31.316662066,31.333333333,-16.671267
95,frame_000095.png,949,31.650172844,31.666666667,-16.493822
96,frame_000096.png,959,31.983683623,32.000000000,-16.316377
97,frame_000097.png,969,32.317194401,32.333333333,-16.138933
98,frame_000098.png,979,32.650705179,32.666666667,-15.961488
99,frame_000099.png,989,32.984215957,33.000000000,-15.784043
100,frame_000100.png,999,33.317726735,33.333333333,-15.606598
101,frame_000101.png,1009,33.651237513,33.666666667,-15.429154
102,frame_000102.png,1019,33.984748291,34.000000000,-15.251709
103,frame_000103.png,1029,34.318259069,34.333333333,-15.074264
104,frame_000104.png,1039,34.651769848,34.666666667,-14.896819
105,frame_000105.png,1049,34.985280626,35.000000000,-14.719374
106,frame_000106.png,1059,35.318791404,35.333333333,-14.541930
107,frame_000107.png,1069,35.652302182,35.666666667,-14.364485
108,frame_000108.png,1079,35.985812960,36.000000000,-14.187040
109,frame_000109.png,1089,36.319323738,36.333333333,-14.009595
110,frame_000110.png,1099,36.652834516,36.666666667,-13.832150
111,frame_000111.png,1109,36.986345294,37.000000000,-13.654706
112,frame_000112.png,1119,37.319856073,37.333333333,-13.477261
113,frame_000113.png,1129,37.653366851,37.666666667,-13.299816
114,frame_000114.png,1139,37.986877629,38.000000000,-13.122371
115,frame_000115.png,1149,38.320388407,38.333333333,-12.944926
116,frame_000116.png,1159,38.653899185,38.666666667,-12.767482
117,frame_000117.png,1169,38.987409963,39.000000000,-12.590037
118,frame_000118.png,1179,39.320920741,39.333333333,-12.412592
119,frame_000119.png,1189,39.654431519,39.666666667,-12.235147
120,frame_000120.png,1199,39.987942298,40.000000000,-12.057702
121,frame_000121.png,1209,40.321453076,40.333333333,-11.880258
122,frame_000122.png,1219,40.654963854,40.666666667,-11.702813
123,frame_000123.png,1229,40.988474632,41.000000000,-11.525368
124,frame_000124.png,1239,41.321985410,41.333333333,-11.347923
125,frame_000125.png,1249,41.655496188,41.666666667,-11.170478
126,frame_000126.png,1259,41.989006966,42.000000000,-10.993034
127,frame_000127.png,1269,42.322517744,42.333333333,-10.815589
128,frame_000128.png,1279,42.656028523,42.666666667,-10.638144
129,frame_000129.png,1289,42.989539301,43.000000000,-10.460699
130,frame_000130.png,1299,43.323050079,43.333333333,-10.283254
131,frame_000131.png,1309,43.656560857,43.666666667,-10.105810
132,frame_000132.png,1319,43.990071635,44.000000000,-9.928365
133,frame_000133.png,1329,44.323582413,44.333333333,-9.750920
134,frame_000134.png,1339,44.657093191,44.666666667,-9.573475
135,frame_000135.png,1349,44.990603970,45.000000000,-9.396030
136,frame_000136.png,1359,45.324114748,45.333333333,-9.218586
137,frame_000137.png,1369,45.657625526,45.666666667,-9.041141
138,frame_000138.png,1379,45.991136304,46.000000000,-8.863696
139,frame_000139.png,1389,46.324647082,46.333333333,-8.686251
140,frame_000140.png,1399,46.658157860,46.666666667,-8.508807
141,frame_000141.png,1409,46.991668638,47.000000000,-8.331362
142,frame_000142.png,1419,47.325179416,47.333333333,-8.153917
143,frame_000143.png,1429,47.658690195,47.666666667,-7.976472
144,frame_000144.png,1439,47.992200973,48.000000000,-7.799027
145,frame_000145.png,1449,48.325711751,48.333333333,-7.621583
146,frame_000146.png,1459,48.659222529,48.666666667,-7.444138
147,frame_000147.png,1469,48.992733307,49.000000000,-7.266693
148,frame_000148.png,1479,49.326244085,49.333333333,-7.089248
149,frame_000149.png,1489,49.659754863,49.666666667,-6.911803
150,frame_000150.png,1499,49.993265641,50.000000000,-6.734359
151,frame_000151.png,1509,50.326776420,50.333333333,-6.556914
