residual_evaluation_index,source,solver_iteration,solver_nfev,elapsed_seconds,robust_cost,reprojection_rmse_px,mean_reprojection_error_px,maximum_reprojection_error_px,parameter_step_norm
1,initial_diagnostic,,,0.002717851002671523,2383.080305258524,24.309327975276677,9.091485243649887,95.64804015310456,
2,solver_residual_call,,,0.005083121002826374,2383.080305258524,24.309327975276677,9.091485243649887,95.64804015310456,0.0
3,solver_residual_call,,,0.007334721001825528,2383.0803053133386,24.30932797530818,9.091485244459424,95.64804015310456,3.329112141514656e-08
4,solver_residual_call,,,0.008763575002376456,2383.0803052545016,24.309327975274357,9.091485243100886,95.64804015310456,3.6473872429494804e-08
5,solver_residual_call,,,0.010742606002168031,2383.080305275807,24.30932797528637,9.091485245920104,95.64804015310456,3.318301089677339e-08
6,solver_residual_call,,,0.012533746001281543,2383.0803052757774,24.30932797528663,9.091485243574033,95.64804015310456,4.3655638306513676e-08
7,solver_residual_call,,,0.015495144001761219,2383.0803052833344,24.309327975290905,9.09148524433737,95.64804015310456,3.533824774410617e-08
8,solver_residual_call,,,0.0169822040006693,2383.08030525825,24.30932797527643,9.091485244291732,95.64804015310456,3.038483390426031e-08
9,solver_residual_call,,,0.01847862100112252,2383.080305259813,24.30932797527737,9.091485243675791,95.64804015310456,5.062890443665848e-08
10,solver_residual_call,,,0.020439544001419563,2383.080305264567,24.309327975280134,9.091485244073294,95.64804015310456,4.56523498071772e-08
11,solver_residual_call,,,0.022298286003206158,2383.080305270643,24.309327975283612,9.091485244375455,95.64804015310456,2.1073424255447017e-08
12,solver_residual_call,,,0.023812113002350088,2383.0803052627757,24.30932797527911,9.09148524387362,95.64804015310456,2.1073424255447017e-08
13,solver_residual_call,,,0.026146935000724625,2383.0803052535875,24.309327975273845,9.09148524348577,95.64804015310456,3.015565682888852e-08
14,solver_residual_call,,,0.028660727002716158,2383.080305236767,24.30932797526421,9.091485242648153,95.64804015310456,9.105642873211657e-08
15,solver_residual_call,,,0.03012701900297543,2383.0802154098456,24.309320642312613,9.091485586139914,95.64800808874742,9.771024230282178e-08
16,solver_residual_call,,,0.03167846100041061,2383.0802667627663,24.30932735448516,9.091485128651113,95.64803776578665,4.6533663902714657e-08
17,solver_residual_call,,,0.03313398900354514,2383.0809178774693,24.309330564445027,9.091487569332068,95.64804708747732,2.1073424255447017e-08
18,solver_residual_call,,,0.035157608002919005,2383.0798679825857,24.30932486699401,9.091483657335594,95.64802877757079,3.367292920993203e-08
