initialized_type,initialized_id,from_type,from_id,observed_marker_id,observer_id,frame_id,edge_quality,path_bottleneck,pnp_reprojection_rmse_px,area_px2,distance_m
observer,moving_frame_000073,marker,14,14,moving_frame_000073,73,25.763136626190317,25.763136626190317,0.18127441067865013,2934.5,2.049182632420726
observer,moving_frame_000220,marker,14,14,moving_frame_000220,220,25.522733770154506,25.522733770154506,0.042700453322148904,1780.0,2.311678172122907
observer,moving_frame_000221,marker,14,14,moving_frame_000221,221,24.70403792153492,24.70403792153492,0.11855263615942478,2162.0,2.2630497232754174
observer,moving_frame_000075,marker,14,14,moving_frame_000075,75,24.435250148542316,24.435250148542316,0.22468405308485243,2718.0,2.0235764774058764
observer,moving_frame_000074,marker,14,14,moving_frame_000074,74,24.419944425140038,24.419944425140038,0.23381656413475718,2809.0,2.032637862805229
observer,moving_frame_000219,marker,14,14,moving_frame_000219,219,17.13644217739176,17.13644217739176,0.2036162694448332,1470.0,2.385194596933992
observer,moving_frame_000072,marker,14,14,moving_frame_000072,72,16.58234706862181,16.58234706862181,0.22675080231537154,3049.5,2.0688926029249255
observer,moving_frame_000218,marker,14,14,moving_frame_000218,218,15.854152444414186,15.854152444414186,0.2163745989156371,1322.5,2.4034785558715757
observer,moving_frame_000198,marker,14,14,moving_frame_000198,198,4.927179654388283,4.927179654388283,0.2650781293684487,253.0,4.068687500416321
marker,3,observer,moving_frame_000221,3,moving_frame_000221,221,28.09732045204717,24.70403792153492,0.0814659308348644,2357.0,2.1826213704528787
observer,moving_frame_000066,marker,3,3,moving_frame_000066,66,28.60198329432607,24.70403792153492,0.06522214255245072,2295.0,2.178861628982566
observer,moving_frame_000080,marker,3,3,moving_frame_000080,80,27.08412635654403,24.70403792153492,0.059779706003511915,1799.5,1.9447321462506788
observer,moving_frame_000076,marker,3,3,moving_frame_000076,76,22.34058018871783,22.34058018871783,0.06777991025909397,1305.0,2.0113823467593357
observer,moving_frame_000071,marker,3,3,moving_frame_000071,71,20.833795447875747,20.833795447875747,0.10253768147818412,1342.0,2.092386739456029
observer,moving_frame_000068,marker,3,3,moving_frame_000068,68,20.20027764243101,20.20027764243101,0.17820976753232246,1704.0,2.1670275767939304
observer,moving_frame_000069,marker,3,3,moving_frame_000069,69,19.341339875527712,19.341339875527712,0.18263263757215856,1567.0,2.1413933137765833
observer,moving_frame_000065,marker,3,3,moving_frame_000065,65,19.275493280603296,19.275493280603296,0.3493839548621459,2724.5,2.211737814757822
observer,moving_frame_000067,marker,3,3,moving_frame_000067,67,17.11959688207703,17.11959688207703,0.3271967409460144,1971.0,2.16749612582075
observer,moving_frame_000070,marker,3,3,moving_frame_000070,70,15.713053945188866,15.713053945188866,0.28399262763132516,1431.5,2.1331432873963374
observer,moving_frame_000217,marker,3,3,moving_frame_000217,217,15.316591483687917,15.316591483687917,0.16856654779260385,1052.5,2.405935870193056
observer,moving_frame_000222,marker,3,3,moving_frame_000222,222,11.893794029664226,11.893794029664226,0.15859806302180499,2972.5,2.106336261082457
marker,7,observer,moving_frame_000080,7,moving_frame_000080,80,25.06879205214586,24.70403792153492,0.06463103210478553,2178.0,2.697705739973043
marker,0,observer,moving_frame_000065,0,moving_frame_000065,65,47.80161679807055,19.275493280603296,0.09300662235396785,6150.5,1.8859669492233622
observer,moving_frame_000102,marker,7,7,moving_frame_000102,102,33.4512021844474,24.70403792153492,0.2356150807130611,4940.0,1.8939594980483196
observer,moving_frame_000101,marker,7,7,moving_frame_000101,101,31.727386337232492,24.70403792153492,0.21624438752374872,4158.0,1.8876979073707318
observer,moving_frame_000003,marker,7,7,moving_frame_000003,3,4.962362498927087,4.962362498927087,0.019872296724256302,182.0,6.831423913898784
observer,moving_frame_000045,marker,0,0,moving_frame_000045,45,59.442430832510965,19.275493280603296,0.10843485596938503,7179.0,1.345953742288743
observer,moving_frame_000244,marker,0,0,moving_frame_000244,244,48.8264874643234,19.275493280603296,0.05747577442251968,4725.0,1.5849265468573654
observer,moving_frame_000053,marker,0,0,moving_frame_000053,53,41.33889406688371,19.275493280603296,0.03246072717079595,3037.5,1.564243702747591
observer,moving_frame_000061,marker,0,0,moving_frame_000061,61,39.43378869162139,19.275493280603296,0.07278401376306173,3661.5,1.7777588768334696
observer,moving_frame_000060,marker,0,0,moving_frame_000060,60,38.783704906076224,19.275493280603296,0.06174855973065303,3360.0,1.7577372959179887
observer,moving_frame_000063,marker,0,0,moving_frame_000063,63,37.47784716033178,19.275493280603296,0.15706934504724399,4596.0,1.8255477525367514
observer,moving_frame_000058,marker,0,0,moving_frame_000058,58,35.461664963247145,19.275493280603296,0.0903443958913768,3017.0,1.6974706837242788
observer,moving_frame_000059,marker,0,0,moving_frame_000059,59,34.9363613283256,19.275493280603296,0.10642203093874013,3162.0,1.7287144617316603
observer,moving_frame_000242,marker,0,0,moving_frame_000242,242,34.745007208167166,19.275493280603296,0.12351710966374194,3392.5,1.7636657536421705
observer,moving_frame_000054,marker,0,0,moving_frame_000054,54,34.40744810775335,19.275493280603296,0.12204787413163078,2968.0,1.5816610524861767
observer,moving_frame_000062,marker,0,0,moving_frame_000062,62,32.5678952151733,19.275493280603296,0.2044488649359708,4029.5,1.8051708389677281
observer,moving_frame_000064,marker,0,0,moving_frame_000064,64,32.50563453759866,19.275493280603296,0.2799604906475525,5270.0,1.8582624957049785
observer,moving_frame_000056,marker,0,0,moving_frame_000056,56,30.75681516590399,19.275493280603296,0.17044260749925225,2919.0,1.6441857411946887
observer,moving_frame_000240,marker,0,0,moving_frame_000240,240,30.363970357195374,19.275493280603296,0.09006859071746279,2550.0,1.9588796687491599
observer,moving_frame_000057,marker,0,0,moving_frame_000057,57,29.0457278708136,19.275493280603296,0.2031338399136699,2946.0,1.6665273509400937
observer,moving_frame_000239,marker,0,0,moving_frame_000239,239,28.506423661668737,19.275493280603296,0.06881434433062772,2209.0,2.0830569820733866
observer,moving_frame_000055,marker,0,0,moving_frame_000055,55,24.18298003789665,19.275493280603296,0.3255918391040647,2922.5,1.618436253419654
observer,moving_frame_000237,marker,0,0,moving_frame_000237,237,23.433619150871696,19.275493280603296,0.09986829787478639,1806.0,2.2473787700611734
observer,moving_frame_000236,marker,0,0,moving_frame_000236,236,21.870681869255154,19.275493280603296,0.08754519064116537,1600.0,2.3911459602810896
observer,moving_frame_000235,marker,0,0,moving_frame_000235,235,20.114459545491556,19.275493280603296,0.09298521834864652,1444.0,2.500882588896585
observer,moving_frame_000231,marker,0,0,moving_frame_000231,231,18.783816365022425,18.783816365022425,2.8103459008320507e-05,1024.0,2.9019068587905825
observer,moving_frame_000232,marker,0,0,moving_frame_000232,232,14.071486135034746,14.071486135034746,0.18598971692425317,1105.5,2.8219877141510494
observer,moving_frame_000224,marker,0,0,moving_frame_000224,224,12.923648053529785,12.923648053529785,0.0020920269016013386,625.0,3.7109008057346204
observer,moving_frame_000233,marker,0,0,moving_frame_000233,233,12.617537703149631,12.617537703149631,0.29692248867762855,1207.5,2.6809075213651035
observer,moving_frame_000227,marker,0,0,moving_frame_000227,227,12.104083126403266,12.104083126403266,0.09842405537002918,729.0,3.4180907716952555
observer,moving_frame_000225,marker,0,0,moving_frame_000225,225,11.395178274447865,11.395178274447865,0.09986856938100565,676.0,3.557470290831967
observer,moving_frame_000229,marker,0,0,moving_frame_000229,229,10.749604664197026,10.749604664197026,0.23661985602458593,855.5,3.165848779847071
observer,moving_frame_000223,marker,0,0,moving_frame_000223,223,9.953880059308636,9.953880059308636,0.10610074247970805,576.0,3.883818636166836
observer,moving_frame_000196,marker,0,0,moving_frame_000196,196,5.447598955551008,5.447598955551008,0.00011988788768950296,196.0,6.601422990744363
observer,moving_frame_000197,marker,0,0,moving_frame_000197,197,5.002360311801146,5.002360311801146,0.023892353013869886,182.0,6.617656947889394
marker,6,observer,moving_frame_000102,6,moving_frame_000102,102,36.3755380938806,24.70403792153492,0.15610532407299477,4058.0,1.7167362791471834
marker,1,observer,moving_frame_000045,1,moving_frame_000045,45,63.88143947828556,19.275493280603296,0.28653699836532137,9925.0,0.8877527105701717
observer,moving_frame_000108,marker,6,6,moving_frame_000108,108,70.5038950398678,24.70403792153492,0.11312254378743199,9502.0,1.2451362898793121
observer,moving_frame_000107,marker,6,6,moving_frame_000107,107,46.89824076945016,24.70403792153492,0.28873129635221606,8047.0,1.326390480231315
observer,moving_frame_000103,marker,6,6,moving_frame_000103,103,46.048443012434554,24.70403792153492,0.06750387211638363,4682.0,1.7002926305118637
