frame,segment,x,y,z,roll,pitch,yaw,image,set_pose_ok,message_counter,image_sha256
0,0,5.5,0.5,2.2,0.0,0.4,-2.716814693,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260729_004254__route2/input_working/route2/aeeebcb83700/metadata/simulation/moving_route_capture/images/frame_0000.png,True,17,c248da4916677acfde5506af1001f34d3e7bbcecad3cfeb089b44db41e7e2cb5
1,0,5.46,0.5,2.2,0.0,0.42000000000000004,-2.8134517544,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260729_004254__route2/input_working/route2/aeeebcb83700/metadata/simulation/moving_route_capture/images/frame_0001.png,True,24,f2b87a796fb7bda1b51f0366d6188c24ba4ce9d2b469430763c19cfa084b41f6
2,0,5.42,0.5,2.2,0.0,0.44,-2.9100888158,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260729_004254__route2/input_working/route2/aeeebcb83700/metadata/simulation/moving_route_capture/images/frame_0002.png,True,31,bc701b487bb00d855fa5c06d861d9c287e45c691b2bf375e3002156c4b8ee5b1
3,0,5.38,0.5,2.2,0.0,0.46,-3.0067258772,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260729_004254__route2/input_working/route2/aeeebcb83700/metadata/simulation/moving_route_capture/images/frame_0003.png,True,38,f16e7d486277088a5d6a16f79e581c30b1c54aaf5dc331f6793e12479121290c
4,0,5.34,0.5,2.2,0.0,0.48,-3.1033629386,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260729_004254__route2/input_working/route2/aeeebcb83700/metadata/simulation/moving_route_capture/images/frame_0004.png,True,45,be5045b5d97fb2ebf53760a1491b62eee332cc5fc2e8b9bf4c89cda8383bf226
5,1,5.3,0.5,2.2,0.0,0.5,-3.2,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260729_004254__route2/input_working/route2/aeeebcb83700/metadata/simulation/moving_route_capture/images/frame_0005.png,True,52,e69f4590590263e2f9e14273b62c1ac71e06c406896139f352d7053d25325b39
6,1,5.211111111111111,0.5,2.2,0.0,0.4777777777777778,-3.101868299222222,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260729_004254__route2/input_working/route2/aeeebcb83700/metadata/simulation/moving_route_capture/images/frame_0006.png,True,59,05cfe28fd0660b173d58c5f0a36e5372ed38d59e2b039dcbf22bc5c1070aa371
7,1,5.122222222222222,0.5,2.2,0.0,0.45555555555555555,-3.0037365984444446,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260729_004254__route2/input_working/route2/aeeebcb83700/metadata/simulation/moving_route_capture/images/frame_0007.png,True,65,91d5c782d7cf127d2af6a9bfc963b4b8440576fae4502b1a261fe2321976b44c
8,1,5.033333333333333,0.5,2.2,0.0,0.43333333333333335,-2.9056048976666666,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260729_004254__route2/input_working/route2/aeeebcb83700/metadata/simulation/moving_route_capture/images/frame_0008.png,True,72,49de8c05c1d1babf7e85d6de8835f954934cd8523cb06498965bb5276fd58199
9,1,4.944444444444445,0.5,2.2,0.0,0.4111111111111111,-2.807473196888889,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260729_004254__route2/input_working/route2/aeeebcb83700/metadata/simulation/moving_route_capture/images/frame_0009.png,True,79,dd68f69f5133b5230b3b4b47687c655dd22e8932fa886d8ec4bde8fb029021c0
10,1,4.855555555555555,0.5,2.2,0.0,0.3888888888888889,-2.709341496111111,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260729_004254__route2/input_working/route2/aeeebcb83700/metadata/simulation/moving_route_capture/images/frame_0010.png,True,85,c636e647da913947d58af72b3bfef33e662e891d8528081caa2b3ee6656ff0d8
11,1,4.766666666666667,0.5,2.2,0.0,0.3666666666666667,-2.6112097953333335,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260729_004254__route2/input_working/route2/aeeebcb83700/metadata/simulation/moving_route_capture/images/frame_0011.png,True,92,2edf1af389b33dd15df574337cc654317d7d84446b2610183021288ba513d81e
12,1,4.677777777777778,0.5,2.2,0.0,0.34444444444444444,-2.5130780945555555,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260729_004254__route2/input_working/route2/aeeebcb83700/metadata/simulation/moving_route_capture/images/frame_0012.png,True,98,6f7843015da725b763ccf9bc28d7c9a99eaa5ff1d96b0ba05901069f4fc07c57
13,1,4.588888888888889,0.5,2.2,0.0,0.3222222222222222,-2.414946393777778,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260729_004254__route2/input_working/route2/aeeebcb83700/metadata/simulation/moving_route_capture/images/frame_0013.png,True,105,d4ceee653bc6941f0e8174bf0ed103da2c88423d4a0120d8ee2d1db23aac1c52
14,2,4.5,0.5,2.2,0.0,0.3,-2.316814693,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260729_004254__route2/input_working/route2/aeeebcb83700/metadata/simulation/moving_route_capture/images/frame_0014.png,True,112,92ca13133659737805904e8696e95b82b74af0e00db593c559e66e56362e5e45
15,2,4.444444444444445,0.4444444444444444,2.2,0.0,0.3,-2.4084566886666665,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260729_004254__route2/input_working/route2/aeeebcb83700/metadata/simulation/moving_route_capture/images/frame_0015.png,True,119,e53cd89c08a75372e2bf09e45eedfe9a6096d02df83b1541b0814429e031d038
16,2,4.388888888888889,0.3888888888888889,2.2,0.0,0.3,-2.5000986843333335,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260729_004254__route2/input_working/route2/aeeebcb83700/metadata/simulation/moving_route_capture/images/frame_0016.png,True,126,429a15e9bfe73eb2886b86e0fef76c8597e5abc58ec8ea19d64072ec3146ff66
17,2,4.333333333333333,0.33333333333333337,2.2,0.0,0.3,-2.59174068,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260729_004254__route2/input_working/route2/aeeebcb83700/metadata/simulation/moving_route_capture/images/frame_0017.png,True,132,24bcd5407a79c502c403c0dc54bd631dd84ff71361af612963130757f3284e88
18,2,4.277777777777778,0.2777777777777778,2.2,0.0,0.3,-2.6833826756666666,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260729_004254__route2/input_working/route2/aeeebcb83700/metadata/simulation/moving_route_capture/images/frame_0018.png,True,139,6802cb29869bace809035deaf4047bc2add8fd760366f90ed8d508079d4a8407
19,2,4.222222222222222,0.2222222222222222,2.2,0.0,0.3,-2.7750246713333335,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260729_004254__route2/input_working/route2/aeeebcb83700/metadata/simulation/moving_route_capture/images/frame_0019.png,True,146,2aea263e923833a46d70a886b3efa0db89fbfdffc2f646b8068aca511fb614f5
20,2,4.166666666666667,0.16666666666666669,2.2,0.0,0.3,-2.866666667,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260729_004254__route2/input_working/route2/aeeebcb83700/metadata/simulation/moving_route_capture/images/frame_0020.png,True,153,e57209e0062fabb0fb97f0b30de260c39456aed238ba9eace9f6c83a4ec52458
21,2,4.111111111111111,0.1111111111111111,2.2,0.0,0.3,-2.9583086626666666,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260729_004254__route2/input_working/route2/aeeebcb83700/metadata/simulation/moving_route_capture/images/frame_0021.png,True,159,62cd0a244f297ec381945af9da6847207d373a32534a89bfa6e80436870ea489
22,2,4.055555555555555,0.05555555555555558,2.2,0.0,0.3,-3.0499506583333336,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260729_004254__route2/input_working/route2/aeeebcb83700/metadata/simulation/moving_route_capture/images/frame_0022.png,True,166,8a3bf6b6bf2e868333bf1bc29d454ae844f3762136f8bf7168a34df80bacdf9d
23,3,4.0,0.0,2.2,0.0,0.3,-3.141592654,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260729_004254__route2/input_working/route2/aeeebcb83700/metadata/simulation/moving_route_capture/images/frame_0023.png,True,173,4c9b231ac09dba69b5e2c98a97d0f3bc3727e9b3c3d93fb13e60c187de652a73
24,3,3.857142857142857,0.0,2.2,0.0,0.2857142857142857,-3.195764607285714,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260729_004254__route2/input_working/route2/aeeebcb83700/metadata/simulation/moving_route_capture/images/frame_0024.png,True,180,3eaafbd17c98f84e65f907c3adf6d621ec0e624e5fee1587fc261ecb204e6fd9
25,3,3.7142857142857144,0.0,2.2,0.0,0.2714285714285714,-3.2499365605714288,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260729_004254__route2/input_working/route2/aeeebcb83700/metadata/simulation/moving_route_capture/images/frame_0025.png,True,187,87b2c7fa347eacb0a5ea3b156c7bd3bfb64c9c15b81df1e3b5012b7e02c3afaa
26,3,3.5714285714285716,0.0,2.2,0.0,0.2571428571428571,-3.304108513857143,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260729_004254__route2/input_working/route2/aeeebcb83700/metadata/simulation/moving_route_capture/images/frame_0026.png,True,194,585570d3bd9c3ab7af556df011c0af69efc36c0f1fcc6cc4a3e98e0be80c4aec
27,3,3.428571428571429,0.0,2.2,0.0,0.24285714285714285,-3.358280467142857,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260729_004254__route2/input_working/route2/aeeebcb83700/metadata/simulation/moving_route_capture/images/frame_0027.png,True,201,61f2b7ff0800389d152099e8fd31b476e6d738b117b725189ea6a386da88027b
28,3,3.2857142857142856,0.0,2.2,0.0,0.22857142857142856,-3.4124524204285716,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260729_004254__route2/input_working/route2/aeeebcb83700/metadata/simulation/moving_route_capture/images/frame_0028.png,True,208,a029518f7ad1e821c8b4e65729466a06f2c3c12751ae3d212e8f0afb4dfbbfc2
