camera_a,camera_b,distance_m
cam_edge_0,cam_edge_1,5.099237900939551
cam_edge_0,cam_edge_3,3.834453267559335
cam_edge_0,cam_edge_5,5.496836925418343
cam_edge_1,cam_edge_3,2.210088247388691
cam_edge_1,cam_edge_5,9.84476604279334
cam_edge_3,cam_edge_5,9.195847521373915
