frame_id,selected,selection_reasons,marker_ids,marker_count,selection_score,score_area,score_reprojection,score_border,score_distance,tie_breaker
moving_frame_000000,False,,"7,9",2,0.6894639971619541,0.865769489776671,0.5034535053658407,0.7991261517560041,0.32294919290332547,stable ascending frame ID
moving_frame_000001,False,,"7,9",2,0.6858251822828829,0.8729561746173016,0.46762840221118235,0.8191011782045717,0.3253395613169332,stable ascending frame ID
moving_frame_000002,False,,"7,9",2,0.697148531263331,0.875260135661347,0.49609681352232704,0.8283424094871238,0.32546951044669253,stable ascending frame ID
moving_frame_000003,True,"top_marker_17,top_marker_pair_7_17,top_marker_pair_9_17","7,9,17",3,0.6939201886689492,0.8718745352542472,0.48354135462639214,0.8385247124565972,0.3240302568801318,stable ascending frame ID
moving_frame_000004,False,,"7,9",2,0.6947273814344673,0.862114959608216,0.5031346986811959,0.8341790093315973,0.32105186120502777,stable ascending frame ID
moving_frame_000005,True,"top_marker_7,top_marker_9","7,9",2,0.704099488385739,0.8417873894799429,0.565903720848419,0.8306998358832465,0.31473449162586714,stable ascending frame ID
moving_frame_000006,False,,"7,9",2,0.7035220083087133,0.8159596164969515,0.6024148579591776,0.8283755267107928,0.3073859898002079,stable ascending frame ID
moving_frame_000007,True,"top_marker_7,top_marker_9","7,9",2,0.7046855651264906,0.7997075639140246,0.619381827017674,0.844029461895978,0.3018209907638296,stable ascending frame ID
moving_frame_000008,True,"top_marker_7,top_marker_9","7,9",2,0.7099229868577611,0.7789371608538702,0.6515612075869347,0.8661732143825955,0.2964511736361344,stable ascending frame ID
moving_frame_000009,True,"top_marker_7,top_marker_9,top_marker_pair_7_9","7,9",2,0.720160485077496,0.7596998529447747,0.6785140497353903,0.9186859130859375,0.28989146361781537,stable ascending frame ID
moving_frame_000010,True,"top_marker_7,top_marker_9,top_marker_pair_7_9","7,9",2,0.7400422770221269,0.7367795918064213,0.7278058253781114,0.9933282498960142,0.2832304270692213,stable ascending frame ID
moving_frame_000011,True,"top_marker_7,top_marker_9,top_marker_pair_7_9","7,9",2,0.7347823400428232,0.7151816372127519,0.7778290701992386,0.9383461704960576,0.2769172999873929,stable ascending frame ID
moving_frame_000012,True,"top_marker_7,top_marker_9","7,9",2,0.7040775113280673,0.7021868862328561,0.7298000459785969,0.8849303351508246,0.27276676011180906,stable ascending frame ID
moving_frame_000013,False,,"7,9",2,0.6927046023566945,0.6997573290232741,0.7433477953014943,0.8149385664198133,0.26809618872973784,stable ascending frame ID
moving_frame_000014,True,"top_marker_7,top_marker_9,top_marker_pair_7_9","7,9",2,0.7226556927498009,0.7128494677613214,0.8733731487789248,0.7434637140344691,0.26811218204701165,stable ascending frame ID
moving_frame_000015,False,,"7,9",2,0.6776583332810117,0.7285493269743719,0.7620077623038995,0.6534227300573279,0.2695172778862741,stable ascending frame ID
moving_frame_000016,False,,"7,9",2,0.684862940527888,0.7826807655082485,0.8030787008663832,0.5171861224704318,0.27429799570587365,stable ascending frame ID
moving_frame_000035,False,,12,1,0.4073635093579429,0.2414145041529532,0.5920048756573981,0.5928518789785879,0.14625869203824587,stable ascending frame ID
moving_frame_000036,False,,12,1,0.43089229381764305,0.252235973294922,0.5648477837900896,0.7280220596878617,0.1493915742507501,stable ascending frame ID
moving_frame_000037,False,,"12,18",2,0.48009729062278356,0.26785383777023863,0.6504576234707935,0.8115567242657696,0.15507123620296112,stable ascending frame ID
moving_frame_000038,False,,12,1,0.47532960406502756,0.290625376183155,0.5746096906234117,0.8519497906720197,0.1630658827033807,stable ascending frame ID
moving_frame_000039,False,,12,1,0.46824353299603666,0.3187049786268447,0.5051303151073412,0.8604538246437355,0.1713168208434928,stable ascending frame ID
moving_frame_000040,True,top_marker_12,"12,18",2,0.4868726676906382,0.35063811335398487,0.5199294719293408,0.8630452191388166,0.18029536942478672,stable ascending frame ID
moving_frame_000041,False,,"12,18",2,0.4854459920777315,0.38849244814975276,0.45457732685409846,0.8738823784722223,0.18899339067156415,stable ascending frame ID
moving_frame_000042,False,,"12,18",2,0.4734706550630061,0.4259663296761999,0.3690173241961332,0.8631681654188368,0.19745292849918894,stable ascending frame ID
moving_frame_000043,False,,"12,18",2,0.48409933928229504,0.48039662152326573,0.34464495630532427,0.8377857632107205,0.20990051139247357,stable ascending frame ID
moving_frame_000044,True,top_marker_12,"12,18",2,0.5573004739760226,0.5290820570757113,0.540863311131709,0.803264335349754,0.2275579073627441,stable ascending frame ID
moving_frame_000045,True,top_marker_12,"12,18",2,0.5623397916871418,0.6034142808963369,0.45746915681193906,0.7971244529441551,0.24308441696194236,stable ascending frame ID
moving_frame_000046,True,"top_marker_12,top_marker_18","12,18",2,0.5880765669338273,0.6899668148876048,0.4303665775491302,0.7847726044831452,0.2602534681741717,stable ascending frame ID
moving_frame_000047,True,"top_marker_12,top_marker_18,top_marker_4,top_marker_pair_12_18,top_marker_pair_4_12,top_marker_pair_4_18","4,12,18",3,0.5976874609861919,0.759733059001174,0.39631996232460914,0.7371431986490885,0.2746960895852181,stable ascending frame ID
moving_frame_000048,True,"top_marker_12,top_marker_18,top_marker_4,top_marker_pair_12_18,top_marker_pair_4_12,top_marker_pair_4_18","4,12,18",3,0.6022264426528422,0.8318043609260394,0.3612674336680784,0.660193775318287,0.2908571311834537,stable ascending frame ID
moving_frame_000049,True,"graph_preservation,top_marker_12,top_marker_18,top_marker_4,top_marker_pair_12_18,top_marker_pair_4_12,top_marker_pair_4_18","4,12,18",3,0.6156541262089402,0.9197147529909346,0.3316441046882596,0.5862713001392506,0.31020733578238296,stable ascending frame ID
moving_frame_000050,True,"top_marker_12,top_marker_18,top_marker_pair_12_18","12,18",2,0.5997273571604708,1.0,0.32335749659956947,0.35227418122468174,0.32265271935663536,stable ascending frame ID
moving_frame_000051,False,,"4,18",2,0.47272229007612,0.4140605960548972,0.40817254897104066,0.8246096858271846,0.19724349797411983,stable ascending frame ID
moving_frame_000052,False,,"4,18",2,0.5633114596482339,0.43416439787146327,0.6929784423170601,0.8043262057834202,0.20886926647846574,stable ascending frame ID
moving_frame_000053,False,,"4,5,18",3,0.4763016874555193,0.26581209060757194,0.5911869674476214,0.8858000154848452,0.15460757881235063,stable ascending frame ID
moving_frame_000054,False,,"4,5,18",3,0.5483383203182042,0.5310781555643889,0.5516298714092485,0.7368881508156105,0.23040466506552015,stable ascending frame ID
moving_frame_000055,True,"top_marker_4,top_marker_5,top_marker_pair_5_18","4,5,18",3,0.5692660945925505,0.5856238595788009,0.5624049536291058,0.7098251907913773,0.2433002651402289,stable ascending frame ID
moving_frame_000056,True,"top_marker_18,top_marker_4,top_marker_5,top_marker_pair_4_5,top_marker_pair_5_18","4,5,18",3,0.5749442777732267,0.6622840943601683,0.4932284993430671,0.6813879790129485,0.2578449442364946,stable ascending frame ID
moving_frame_000057,True,top_marker_5,"4,5,18",3,0.5613642145921486,0.7339852691818458,0.3974081978544579,0.6056164494267217,0.274243576777285,stable ascending frame ID
