group,variant,parameter,method,camera,status,alignment,source_file,translation_error_cm,rotation_error_deg,aligned_est_x_m,aligned_est_y_m,aligned_est_z_m,gt_x_m,gt_y_m,gt_z_m
moving_cam/fov,fov_69deg_baseline,69 deg baseline,AP02,cam_edge_3,OK,SE3_available_static_cameras_no_scale,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,4.685580677317085,0.8065330315219034,-3.2625534945749406,-1.5939166979201533,2.0504757466081815,-3.22735583,-1.5632142604213257,2.0542108996793798
moving_cam/fov,fov_69deg_baseline,69 deg baseline,AP02,cam_edge_5,OK,SE3_available_static_cameras_no_scale,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,14.14126603859911,0.6014579137561811,5.984522580671169,0.4059058824337247,2.1087367016961625,5.85885887,0.34841953956133265,2.138761570071462
moving_cam/fov,fov_69deg_baseline,69 deg baseline,AP03,cam_edge_0,OK,SE3_available_static_cameras_no_scale,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,1.49893047398836,0.6485271043800163,0.6008235675668486,-1.7416056416935177,2.0849693678253756,0.58780793,-1.734555260428118,2.087328299644237
moving_cam/fov,fov_69deg_baseline,69 deg baseline,AP03,cam_edge_1,OK,SE3_available_static_cameras_no_scale,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,7.584564693943273,0.4185224299276614,-4.046019411169663,0.4529054963620661,2.1414342043083985,-3.97416732,0.47508649956281324,2.131542680097442
moving_cam/fov,fov_69deg_baseline,69 deg baseline,AP03,cam_edge_3,OK,SE3_available_static_cameras_no_scale,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,6.569608989574012,0.45255645609399725,-3.2487259301825877,-1.625202861872559,2.058298482815599,-3.22735583,-1.5632142604213257,2.0542108996793798
moving_cam/fov,fov_69deg_baseline,69 deg baseline,AP03,cam_edge_5,OK,SE3_available_static_cameras_no_scale,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,12.202133248004777,0.5894770158433246,5.939065423785402,0.4396395254787123,2.127141394543148,5.85885887,0.34841953956133265,2.138761570071462
moving_cam/fov,fov_100deg,100 deg,AP01,cam_edge_0,OK,SE3_available_static_cameras_no_scale,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,8.603164322112935,1.292010635884188,0.6448077695047973,-1.7104828163481454,2.0275538956926153,0.58780793,-1.734555260428118,2.087328299644237
moving_cam/fov,fov_100deg,100 deg,AP01,cam_edge_1,OK,SE3_available_static_cameras_no_scale,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,11.391923586900003,1.0132481601171774,-4.081842806898304,0.4517222285049938,2.160485600823015,-3.97416732,0.47508649956281324,2.131542680097442
moving_cam/fov,fov_100deg,100 deg,AP01,cam_edge_3,OK,SE3_available_static_cameras_no_scale,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,4.746595485548054,1.4159156200223302,-3.238568426320298,-1.5484001746243852,2.0978896979240824,-3.22735583,-1.5632142604213257,2.0542108996793798
moving_cam/fov,fov_100deg,100 deg,AP01,cam_edge_5,OK,SE3_available_static_cameras_no_scale,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,6.508570297703607,1.8361494636525553,5.920747113713806,0.33289728074223857,2.1259142550528076,5.85885887,0.34841953956133265,2.138761570071462
moving_cam/fov,fov_100deg,100 deg,AP02,cam_edge_0,OK,SE3_available_static_cameras_no_scale,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,2.6079610924590093,0.7610628408437109,0.6053440745099828,-1.7533817267400233,2.0915937313820203,0.58780793,-1.734555260428118,2.087328299644237
moving_cam/fov,fov_100deg,100 deg,AP02,cam_edge_1,OK,SE3_available_static_cameras_no_scale,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,11.746257425413384,0.4545552165606791,-4.085955402661747,0.46411274669386515,2.165900469217081,-3.97416732,0.47508649956281324,2.131542680097442
moving_cam/fov,fov_100deg,100 deg,AP02,cam_edge_3,OK,SE3_available_static_cameras_no_scale,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,5.756788399747551,0.6484288565748988,-3.2515827572076788,-1.6135571155735295,2.040328745626609,-3.22735583,-1.5632142604213257,2.0542108996793798
moving_cam/fov,fov_100deg,100 deg,AP02,cam_edge_5,OK,SE3_available_static_cameras_no_scale,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,14.516292325193467,0.5192094172198358,5.977337735359442,0.42856261389439,2.1140205032668105,5.85885887,0.34841953956133265,2.138761570071462
moving_cam/fov,fov_100deg,100 deg,AP03,cam_edge_0,OK,SE3_available_static_cameras_no_scale,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,3.212267856349575,0.5996384667340448,0.6148765423380431,-1.7488739329428007,2.077626118363531,0.58780793,-1.734555260428118,2.087328299644237
