group,variant,parameter,method,camera,status,alignment,source_file,translation_error_cm,rotation_error_deg,aligned_est_x_m,aligned_est_y_m,aligned_est_z_m,gt_x_m,gt_y_m,gt_z_m
world/route,route1,Route 1,AP01,cam_edge_0,OK,SE3_available_static_cameras_no_scale,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,13.799756030083321,2.8302137131232645,0.6157439186204146,-1.5995127473591557,2.0924688354172436,0.58780793,-1.7345552666901032,2.087328294440571
world/route,route1,Route 1,AP01,cam_edge_1,OK,SE3_available_static_cameras_no_scale,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,29.277286230550388,3.1475864095809385,-3.9678196420028864,0.19709073406384414,2.039923830806248,-3.97416732,0.4750864931681852,2.131542681522701
world/route,route1,Route 1,AP01,cam_edge_3,OK,SE3_available_static_cameras_no_scale,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,17.973101760382754,2.323420765012412,-3.1831437277989965,-1.3920537942376312,2.086655022564037,-3.22735583,-1.5632142665839586,2.0542108949897364
world/route,route1,Route 1,AP01,cam_edge_5,OK,SE3_available_static_cameras_no_scale,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,9.938272754421781,2.549007710906753,5.780363101181467,0.32021230057211425,2.1927957532821996,5.85885887,0.3484195331450478,2.1387615711167207
world/route,route1,Route 1,AP02,cam_edge_0,OK,SE3_available_static_cameras_no_scale,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,6.363875427287893,0.48699902881095214,0.5675192372892326,-1.685389943912994,2.05238504001694,0.58780793,-1.7345552666901032,2.087328294440571
world/route,route1,Route 1,AP02,cam_edge_1,OK,SE3_available_static_cameras_no_scale,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,7.451591020364829,0.4574964837510381,-4.040927857126373,0.4988208937475421,2.1084704084397363,-3.97416732,0.4750864931681852,2.131542681522701
world/route,route1,Route 1,AP02,cam_edge_3,OK,SE3_available_static_cameras_no_scale,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,6.164047550942481,0.3463216095131871,-3.271641596251826,-1.5393591283623713,2.018584338757824,-3.22735583,-1.5632142665839586,2.0542108949897364
world/route,route1,Route 1,AP02,cam_edge_5,OK,SE3_available_static_cameras_no_scale,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,18.80936582757823,1.1907375609078663,5.990193866088966,0.25166467156699446,2.232403654855228,5.85885887,0.3484195331450478,2.1387615711167207
world/route,route1,Route 1,AP03,cam_edge_0,OK,SE3_available_static_cameras_no_scale,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,0.48563826743522576,0.06258521209463655,0.5890529200087652,-1.7392432629424763,2.0875673419161043,0.58780793,-1.7345552666901032,2.087328294440571
world/route,route1,Route 1,AP03,cam_edge_1,OK,SE3_available_static_cameras_no_scale,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,2.0230812036702193,0.06214373923186479,-3.9930652550207553,0.48214851270642256,2.1330532071455335,-3.97416732,0.4750864931681852,2.131542681522701
world/route,route1,Route 1,AP03,cam_edge_3,OK,SE3_available_static_cameras_no_scale,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,1.4486736871945998,0.03254182381871447,-3.239059834219735,-1.5712048518639485,2.051205503616782,-3.22735583,-1.5632142665839586,2.0542108949897364
world/route,route1,Route 1,AP03,cam_edge_5,OK,SE3_available_static_cameras_no_scale,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,2.9915770362247662,0.0701392537873903,5.888215819231725,0.35403609513917333,2.1400173893913097,5.85885887,0.3484195331450478,2.1387615711167207
world/route,route2,Route 2,AP01,cam_edge_0,OK,SE3_available_static_cameras_no_scale,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,13.146654128949853,2.837949766038562,0.605118560567576,-1.6043771022884386,2.0812095477560364,0.58780793,-1.7345552666901032,2.087328294440571
