group,variant,aligned_est_pitch_deg,aligned_est_roll_deg,aligned_est_x_m,aligned_est_y_m,aligned_est_yaw_deg,aligned_est_z_m,alignment,camera,gt_pitch_deg,gt_roll_deg,gt_x_m,gt_y_m,gt_yaw_deg,gt_z_m,method,rotation_error_deg,source_file,translation_error_cm,status
moving_cam/fov,fov_140deg_extreme,3.738425194,-110.276438911,5.900621748,0.309128093,112.308990383,2.123026503,SE3_all_static_cameras_no_scale,cam_edge_5,4.073179101,-109.270651886,5.858858870,0.348419540,113.876819191,2.138761570,AP01,1.834900,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,5.946047,
moving_cam/fov,fov_140deg_extreme,,,0.598257055097123,-1.7508022331406754,,2.1134360474254215,SE3_available_static_cameras_no_scale,cam_edge_0,,,0.58780793,-1.734555260428118,,2.087328299644237,AP02,0.9157794733236034,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,3.2477112430508064,OK
moving_cam/fov,fov_140deg_extreme,,,-4.124411632123931,0.48045879596294405,,2.1759452437893176,SE3_available_static_cameras_no_scale,cam_edge_1,,,-3.97416732,0.47508649956281324,,2.131542680097442,AP02,0.4559288358701499,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,15.676033476812703,OK
moving_cam/fov,fov_140deg_extreme,,,-3.280253455764085,-1.6149992349525508,,2.044827038622159,SE3_available_static_cameras_no_scale,cam_edge_3,,,-3.22735583,-1.5632142604213257,,2.0542108996793798,AP02,0.7384195189156729,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,7.4618357305813285,OK
moving_cam/fov,fov_140deg_extreme,,,6.051551682790892,0.4110791904049843,,2.0776351196556226,SE3_available_static_cameras_no_scale,cam_edge_5,,,5.85885887,0.34841953956133265,,2.138761570071462,AP02,0.7944780158185707,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,21.16440287028064,OK
moving_cam/fov,fov_140deg_extreme,-1.581124052,-112.730511968,0.602899922,-1.770146752,-0.816802048,2.088452989,SE3_all_static_cameras_no_scale,cam_edge_0,-1.496743718,-112.764861788,0.587807930,-1.734555260,-0.827099911,2.087328300,AP03,0.091788,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,3.867541,
moving_cam/fov,fov_140deg_extreme,0.764126754,-106.387135329,-4.088513933,0.502854489,-114.563881803,2.130329505,SE3_all_static_cameras_no_scale,cam_edge_1,0.768085533,-106.364113762,-3.974167320,0.475086500,-114.559656476,2.131542680,AP03,0.023684,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,11.767617,
moving_cam/fov,fov_140deg_extreme,1.961304768,-109.352779742,-3.328262449,-1.590021955,-59.846781788,2.048613826,SE3_all_static_cameras_no_scale,cam_edge_3,1.967429539,-109.390448856,-3.227355830,-1.563214260,-59.899952457,2.054210900,AP03,0.064392,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,10.455681,
moving_cam/fov,fov_140deg_extreme,4.081774661,-109.159509370,6.059020110,0.383050735,113.825539669,2.144447129,SE3_all_static_cameras_no_scale,cam_edge_5,4.073179101,-109.270651886,5.858858870,0.348419540,113.876819191,2.138761570,AP03,0.125963,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,20.321458,
moving_cam/fov,fov_40deg,,,0.6540288269833816,-1.751494201736381,,2.0393091133148533,SE3_available_static_cameras_no_scale,cam_edge_0,,,0.58780793,-1.734555260428118,,2.087328299644237,AP01,1.1880829067951446,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,8.353428748522653,OK
moving_cam/fov,fov_40deg,,,-4.05154780485433,0.4660768250234397,,2.1497735829183635,SE3_available_static_cameras_no_scale,cam_edge_1,,,-3.97416732,0.47508649956281324,,2.131542680097442,AP01,1.0230399040072413,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,8.000799640825004,OK
moving_cam/fov,fov_40deg,,,-3.2161962421290515,-1.537265644573689,,2.083999183187842,SE3_available_static_cameras_no_scale,cam_edge_3,,,-3.22735583,-1.5632142604213257,,2.0542108996793798,AP01,1.1798299458621564,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,4.1051295962955665,OK
moving_cam/fov,fov_40deg,,,3.4167889848622437,-2.2220847295282278,,1.1023162233957364,SE3_available_static_cameras_no_scale,cam_edge_0,,,0.58780793,-1.734555260428118,,2.087328299644237,AP02,16.378406501038192,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,303.4974066176828,OK
moving_cam/fov,fov_40deg,,,-1.0945131063416267,0.043110653093298756,,2.497596755170223,SE3_available_static_cameras_no_scale,cam_edge_1,,,-3.97416732,0.47508649956281324,,2.131542680097442,AP02,15.420254058319157,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,293.47925153323644,OK
moving_cam/fov,fov_40deg,,,-0.3348901223498828,-2.0699610614914388,,2.061408638250746,SE3_available_static_cameras_no_scale,cam_edge_3,,,-3.22735583,-1.5632142604213257,,2.0542108996793798,AP02,15.14996244383379,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,293.65289029340795,OK
moving_cam/fov,fov_40deg,,,-2.7422421061707363,1.77467165620107,,2.7505218326758154,SE3_available_static_cameras_no_scale,cam_edge_5,,,5.85885887,0.34841953956133265,,2.138761570071462,AP02,126.1760487324905,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,873.998762707398,OK
moving_cam/fov,fov_40deg,,,0.6915993797123501,-1.759601932869205,,2.113278856950306,SE3_available_static_cameras_no_scale,cam_edge_0,,,0.58780793,-1.734555260428118,,2.087328299644237,AP03,0.6766882286952471,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,10.987917117569639,OK
moving_cam/fov,fov_40deg,,,-4.0662720664311065,0.5143100755639204,,2.132763065076169,SE3_available_static_cameras_no_scale,cam_edge_1,,,-3.97416732,0.47508649956281324,,2.131542680097442,AP03,0.4020723164307042,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,10.011624527992142,OK
moving_cam/fov,fov_40deg,,,-3.2390425332812436,-1.5773911639813458,,2.027039957394583,SE3_available_static_cameras_no_scale,cam_edge_3,,,-3.22735583,-1.5632142604213257,,2.0542108996793798,AP03,0.34027461388907054,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,3.2799752023112867,OK
moving_cam/fov,fov_69deg_baseline,-1.153416361,-112.000628134,0.631867093,-1.716248765,0.026428900,2.038641743,SE3_all_static_cameras_no_scale,cam_edge_0,-1.496743718,-112.764861788,0.587807930,-1.734555260,-0.827099911,2.087328300,AP01,1.208550,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,6.816684,
moving_cam/fov,fov_69deg_baseline,0.691944936,-105.954125799,-4.077444336,0.452366892,-113.534390761,2.160836788,SE3_all_static_cameras_no_scale,cam_edge_1,0.768085533,-106.364113762,-3.974167320,0.475086500,-114.559656476,2.131542680,AP01,1.101972,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,10.972906,
moving_cam/fov,fov_69deg_baseline,1.008763333,-110.176732609,-3.232338957,-1.547070842,-60.381298885,2.101127494,SE3_all_static_cameras_no_scale,cam_edge_3,1.967429539,-109.390448856,-3.227355830,-1.563214260,-59.899952457,2.054210900,AP01,1.322610,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,4.986590,
