group,variant,parameter,approach,evaluation,entity_type,entity_id,marker_id,used_for_alignment,alignment_frame,translation_error_cm,rotation_error_deg,delta_x_cm,delta_y_cm,delta_z_cm,est_local_x_m,est_local_y_m,est_local_z_m,est_local_roll_deg,est_local_pitch_deg,est_local_yaw_deg,est_local_rvec_x,est_local_rvec_y,est_local_rvec_z,est_gt_aligned_x_m,est_gt_aligned_y_m,est_gt_aligned_z_m,est_gt_aligned_roll_deg,est_gt_aligned_pitch_deg,est_gt_aligned_yaw_deg,est_gt_aligned_rvec_x,est_gt_aligned_rvec_y,est_gt_aligned_rvec_z,gt_world_x_m,gt_world_y_m,gt_world_z_m,gt_world_roll_deg,gt_world_pitch_deg,gt_world_yaw_deg,gt_world_rvec_x,gt_world_rvec_y,gt_world_rvec_z
moving_cam/fov,fov_40deg,40 deg,AP02_ref_marker_graph_ba,gt_aligned_full_map,static_camera,cam_edge_0,,yes,GT_world_best_fit_SE3_using_static_cameras_and_markers_0_to_13,254.6618456317948,125.72397922664673,-101.3062624167305,-48.17860918927319,-228.6230925176455,0.6168704487737217,-1.7875887994548934,2.157729192593609,-113.52008053265935,-0.7999432871849816,0.7061611024520347,-1.981147173127094,-0.021273462894261908,-0.005829035876974462,-0.4252546941673052,-1.716341351892732,0.20109737482354528,113.29334397984262,62.61788681791635,175.1935035905159,-0.6308494434132736,1.789908256275964,1.1137330116127224,0.58780793,-1.23455526,2.4873283,-112.76486179960601,-1.4967437177574447,-0.8270999103481541,-1.9681387137868624,-0.0028859165404719407,-0.03515086081927826
moving_cam/fov,fov_40deg,40 deg,AP02_ref_marker_graph_ba,gt_aligned_full_map,static_camera,cam_edge_1,,yes,GT_world_best_fit_SE3_using_static_cameras_and_markers_0_to_13,760.5294470706008,125.86964455006273,739.8848664043057,-145.07174370439435,99.64744605840727,-4.083479129421648,0.5224139879824132,2.176858343742542,-105.74966940991035,-0.1435329110803685,-115.50254345438505,-1.1192296550752154,1.7702373002075544,-1.342244527995786,3.4246813440430572,-0.47563093704394355,3.5280171405840726,137.21905330777295,-43.648019165311624,-125.79176972281144,0.6715700811633937,-2.0438788750200434,-0.3533147736549328,-3.97416732,0.9750865,2.53154268,-106.36411375666104,0.7680855225263834,-114.55965647612422,-1.1237817096415734,1.7685660170005004,-1.312074204858069
moving_cam/fov,fov_40deg,40 deg,AP02_ref_marker_graph_ba,gt_aligned_full_map,static_camera,cam_edge_3,,yes,GT_world_best_fit_SE3_using_static_cameras_and_markers_0_to_13,489.1499278315621,125.57122186861316,472.0175102266837,-63.660465945787934,111.42022712501603,-3.2533446893578772,-1.6066523637972958,2.075308350698563,-109.28039647156245,1.1573718626071887,-60.53113799812945,-1.6933304838899048,1.0044755664424505,-0.6869601410296928,1.492819272266837,-1.6998189194578794,3.5684131712501603,141.31150010788366,7.152582613315872,-149.0216670757311,0.8359078879866907,-2.778103252869704,-1.0296642911177432,-3.22735583,-1.06321426,2.4542109,-109.39044886225861,1.9674295291124646,-59.89995245682555,-1.692187338487859,1.002617043578016,-0.6660823965823887
moving_cam/fov,fov_40deg,40 deg,AP02_ref_marker_graph_ba,gt_aligned_full_map,static_camera,cam_edge_5,,yes,GT_world_best_fit_SE3_using_static_cameras_and_markers_0_to_13,202.12695209312116,48.99957727529965,-60.465741955734046,-7.8821640748519055,192.70980852487654,-5.724321202185568,2.254725363676741,1.886993122195545,103.54256428378181,15.863221309622247,51.82337064607086,1.5366961179090388,0.9667670689351695,0.3950624776081444,5.254201450442659,0.7695978992514809,4.4658596552487655,-118.05191444612177,44.03899037355133,82.19163005573408,-2.0873661233823766,-1.084350060483611,1.5985475401511189,5.85885887,0.84841954,2.53876157,-109.27065188151681,4.073179111337627,113.87681919175743,-1.2313021612026054,-1.7910646821584102,1.3345656694891888
moving_cam/fov,fov_40deg,40 deg,AP02_ref_marker_graph_ba,gt_aligned_full_map,aruco_marker,marker_000,0,yes,GT_world_best_fit_SE3_using_static_cameras_and_markers_0_to_13,205.33728156498992,48.21381817991249,13.696315281257831,194.84962018315707,-63.32010472745424,1.4286990626853273,-0.6880552045503217,-2.244818477892538,-80.26485529294196,8.031645112805254,67.94410361130413,-1.3016179885921815,-0.727800095982864,1.0715632042053829,-2.4130368471874215,2.4284962018315706,0.5467989527254575,40.93978831304575,36.79517323210991,61.03563976292797,0.2888072408538431,0.9005992937555131,0.7582664038643243,-2.55,0.48,1.18,67.08168819476708,-0.0,90.0000001836389,0.9097065061172429,0.9097065090329464,1.3722901284472226
moving_cam/fov,fov_40deg,40 deg,AP02_ref_marker_graph_ba,gt_aligned_full_map,aruco_marker,marker_001,1,yes,GT_world_best_fit_SE3_using_static_cameras_and_markers_0_to_13,342.50617975480367,125.18794855331977,321.8462152977737,-15.39258282688466,116.14028268713005,-2.278819008102101,-1.0615632842391471,1.2542750021810791,0.6345806564550959,0.05500541092432902,-89.52200163066692,0.00947496993062905,-0.007896219526983524,-1.5624414722579627,0.9684621529777366,-0.6789258282688466,2.7914028268713005,-109.693356268454,-19.8264546696512,-138.1883440051794,-1.1427330935778797,2.1562470714191435,-1.7443844608335675,-2.25,-0.525,1.63,-1.8363890085664206e-07,-0.0,-90.0000001836389,-2.5172823638819805e-09,2.517282371950131e-09,-1.57079633
moving_cam/fov,fov_40deg,40 deg,AP02_ref_marker_graph_ba,gt_aligned_full_map,aruco_marker,marker_002,2,yes,GT_world_best_fit_SE3_using_static_cameras_and_markers_0_to_13,152.40886477392075,125.50780691965576,122.98357676121074,32.37574321099624,83.99591156854164,-1.1123534024355781,-1.0509479008923273,0.7105129133692809,67.57752222491641,-0.25012574717287067,-90.21602212829951,0.9116466070693605,-0.9210799034455406,-1.3700216697336816,0.12983576761210744,-0.20124256789003758,1.9399591156854166,-42.94485649826606,-20.370361291597366,-137.62595286054054,-0.764132606727743,0.7447706433567363,-2.3637182373574506,-1.1,-0.525,1.1,67.08168819476708,-0.0,-90.0000001836389,0.9097065061172429,-0.9097065090329464,-1.3722901284472226
moving_cam/fov,fov_40deg,40 deg,AP02_ref_marker_graph_ba,gt_aligned_full_map,aruco_marker,marker_003,3,yes,GT_world_best_fit_SE3_using_static_cameras_and_markers_0_to_13,65.81532339517302,125.69968458796765,53.60615040134772,-5.139767987727373,-37.83675749574253,0.03911641039086401,0.6817631511309667,0.42313122377551843,89.24285260197897,0.7027146921458582,1.554906255436715,1.5572898924768546,0.03081193964530466,0.01186451068316471,0.6360615040134772,1.1586023201227262,0.4216324250425747,-47.12611737590404,62.161781387947464,171.6015964837454,1.429197565613733,0.8822428784991175,-2.294853650017125,0.1,1.21,0.8,90.0,-0.0,0.0,1.5707963267948966,0.0,0.0
moving_cam/fov,fov_40deg,40 deg,AP02_ref_marker_graph_ba,gt_aligned_full_map,aruco_marker,marker_004,4,yes,GT_world_best_fit_SE3_using_static_cameras_and_markers_0_to_13,272.8923846081028,125.96218543330032,30.968092024094517,-95.95177974283071,-253.5832936485904,0.6658965497518567,0.7029925386218635,1.6428482010367567,87.06186243329576,0.8187528227083131,-0.21956314505282745,1.5195134919343878,0.008516998562824112,-0.013921587825698566,1.0096809202409451,0.25048220257169285,-0.535832936485904,-47.11231951789709,60.83039463827573,174.0720581949711,1.374113775974092,0.9141924983973544,-2.2838946033364524,0.7,1.21,2.0,90.0,-0.0,0.0,1.5707963267948966,0.0,0.0
moving_cam/fov,fov_40deg,40 deg,AP02_ref_marker_graph_ba,gt_aligned_full_map,aruco_marker,marker_005,5,yes,GT_world_best_fit_SE3_using_static_cameras_and_markers_0_to_13,394.1766958964263,125.23981041863199,-351.31985457953203,60.842631827069816,-168.07082292413443,1.9239629283137263,-1.4996823572265148,0.7296361233792081,67.5444456412594,-0.3223497771919534,-89.53213377841324,0.9144104170578424,-0.9146363977504729,-1.3593424996482844,-1.6131985457953206,-0.37157368172930183,-0.5807082292413441,-42.91188533876146,-19.70446444200379,-137.80874297712003,-0.7493361857467248,0.7510297062042801,-2.3642572472170302,1.9,-0.98,1.1,67.08168819476708,-0.0,-90.0000001836389,0.9097065061172429,-0.9097065090329464,-1.3722901284472226
