group,variant,parameter,method,status,alignment,source_file,camera_count,available_cameras,missing_cameras,failure_reason,mean_translation_error_cm,median_translation_error_cm,max_translation_error_cm,mean_rotation_error_deg,median_rotation_error_deg,max_rotation_error_deg
moving_cam/motion_blur,moving_blur_k09_mild,kernel 9,AP03,OK,SE3_all_static_cameras_no_scale,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,4,,,,2.300146,2.293026,2.931000,0.127555,0.110042,0.194103
moving_cam/motion_blur,moving_blur_k21_strong,kernel 21,AP01,PARTIAL_3_OF_4,SE3_available_static_cameras_no_scale,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,3,cam_edge_1;cam_edge_3;cam_edge_5,cam_edge_0,cam_edge_0: RuntimeError: No relay multichain aggregate row found for cam3_to_cam0 / COLMAP_motion,32.930250261191865,30.57344516982912,49.37358372357152,2.0111732025350673,1.8109532704494586,2.7387073238534647
moving_cam/motion_blur,moving_blur_k21_strong,kernel 21,AP02,PARTIAL_3_OF_4,SE3_available_static_cameras_no_scale,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,3,cam_edge_0;cam_edge_1;cam_edge_3,cam_edge_5,,5.977712154747397,6.223079600159823,8.02231413252763,0.5295408060435421,0.5878877614163971,0.7573435603946455
moving_cam/motion_blur,moving_blur_k21_strong,kernel 21,AP03,PARTIAL_3_OF_4,SE3_available_static_cameras_no_scale,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,3,cam_edge_0;cam_edge_1;cam_edge_3,cam_edge_5,,27.19114752688395,28.173051680856197,37.3311618470297,1.1798374250155474,1.1486070581859802,1.7579100405546517
moving_cam/motion_blur,moving_blur_k41_extreme,kernel 41,AP01,PARTIAL_2_OF_4_NO_SE3_ALIGNMENT,NOT_RUN_INSUFFICIENT_CAMERAS,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,2,cam_edge_1;cam_edge_3,cam_edge_0;cam_edge_5,cam_edge_0: RuntimeError: Missing CSV: results/bus_real_data/01_marker_direct_relay_multimarker_multichain/06_moving_relay_chain_eval/relay_chain_multichain_aggregate.csv; cam_edge_5: RuntimeError: Missing CSV: results/bus_real_data/01_marker_direct_relay_multimarker_multichain/06_moving_relay_chain_eval/relay_chain_multichain_aggregate.csv,,,,,,
moving_cam/motion_blur,moving_blur_k41_extreme,kernel 41,AP02,PARTIAL_3_OF_4,SE3_available_static_cameras_no_scale,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,3,cam_edge_0;cam_edge_1;cam_edge_3,cam_edge_5,,5.9777142790988735,6.223080946466773,8.022316011749572,0.5295400469613861,0.5878871812061908,0.7573423501886078
moving_cam/motion_blur,moving_blur_k41_extreme,kernel 41,AP03,FAILED_NO_STATIC_CAMERAS,NOT_RUN_INSUFFICIENT_CAMERAS,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,0,,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,RuntimeError: Too few marker-size scale observations: 0,,,,,,
moving_cam/res,moving_res_160x90_extreme_pixel,160x90,AP01,PARTIAL_2_OF_4_NO_SE3_ALIGNMENT,NOT_RUN_INSUFFICIENT_CAMERAS,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,2,cam_edge_1;cam_edge_3,cam_edge_0;cam_edge_5,cam_edge_0: RuntimeError: Missing CSV: results/bus_real_data/01_marker_direct_relay_multimarker_multichain/06_moving_relay_chain_eval/relay_chain_multichain_aggregate.csv; cam_edge_5: RuntimeError: Missing CSV: results/bus_real_data/01_marker_direct_relay_multimarker_multichain/06_moving_relay_chain_eval/relay_chain_multichain_aggregate.csv,,,,,,
moving_cam/res,moving_res_160x90_extreme_pixel,160x90,AP02,PARTIAL_3_OF_4,SE3_available_static_cameras_no_scale,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,3,cam_edge_0;cam_edge_1;cam_edge_3,cam_edge_5,,7.323389251040379,7.324049003893491,8.886425681992264,0.36919460719065644,0.3845412507802762,0.4088366673300109
moving_cam/res,moving_res_160x90_extreme_pixel,160x90,AP03,FAILED_NO_STATIC_CAMERAS,NOT_RUN_INSUFFICIENT_CAMERAS,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,0,,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,,,,,,
moving_cam/res,moving_res_320x180_low,320x180,AP01,OK,SE3_all_static_cameras_no_scale,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,4,,,,83.230265,64.684203,161.481658,9.070175,6.863117,18.001752
moving_cam/res,moving_res_320x180_low,320x180,AP02,OK_FULL,SE3_available_static_cameras_no_scale,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,4,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,,13.596596716813474,13.494714170870342,25.129643274518315,0.8427425314506256,0.7832040102754406,1.4975199001069688
moving_cam/res,moving_res_320x180_low,320x180,AP03,OK,SE3_all_static_cameras_no_scale,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,4,,,,24.264052,23.417043,29.523019,1.116620,0.918442,1.839226
moving_cam/res,moving_res_1280x720_baseline,1280x720 baseline,AP01,OK,SE3_all_static_cameras_no_scale,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,4,,,,7.355471,6.799184,10.779713,1.321836,1.294881,1.600869
moving_cam/res,moving_res_1280x720_baseline,1280x720 baseline,AP02,OK_FULL,SE3_available_static_cameras_no_scale,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,4,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,,8.638281984775693,8.379190030430934,14.141271637311064,0.8073122700117802,0.7168965652860584,1.1939975483269536
moving_cam/res,moving_res_1280x720_baseline,1280x720 baseline,AP03,OK,SE3_all_static_cameras_no_scale,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,4,,,,7.191911,7.000179,11.890755,0.080173,0.077694,0.107663
moving_cam/res,moving_res_2560x1440_upscaled,2560x1440,AP01,OK,SE3_all_static_cameras_no_scale,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,4,,,,7.573174,7.042228,11.402500,1.306068,1.183207,1.775607
moving_cam/res,moving_res_2560x1440_upscaled,2560x1440,AP02,OK_FULL,SE3_available_static_cameras_no_scale,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,4,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,,6.124364485161374,6.626572369025333,8.964243856408755,0.8541268405113898,0.7859532802743422,1.336077800095068
moving_cam/res,moving_res_2560x1440_upscaled,2560x1440,AP03,OK,SE3_all_static_cameras_no_scale,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,4,,,,4.034720,3.965850,6.652343,0.162177,0.152791,0.243889
world/lighting,ceiling_dark_extreme,dark extreme,AP01,OK_FULL,SE3_available_static_cameras_no_scale,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,4,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,,10.499270287303041,10.750260717392958,13.833240964405869,1.4138050977340177,1.52305152457085,1.8497894210143233
world/lighting,ceiling_dark_extreme,dark extreme,AP02,OK_FULL,SE3_available_static_cameras_no_scale,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,4,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,,9.565411032520279,9.468965461123723,11.928171948357372,0.6155237977912313,0.4987642248804669,1.1798883038277563
world/lighting,ceiling_dark_extreme,dark extreme,AP03,OK_FULL,SE3_available_static_cameras_no_scale,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,4,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,,6.645225257892344,6.046096394820516,10.496313712630519,0.2249729732873494,0.19762978988368654,0.4189082201084474
world/lighting,ceiling_low,low,AP01,OK_FULL,SE3_available_static_cameras_no_scale,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,4,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,,8.156193672776324,7.722707953094065,11.693505256698456,1.2967540737016996,1.2905814403635727,1.5195747994890783
world/lighting,ceiling_low,low,AP02,OK_FULL,SE3_available_static_cameras_no_scale,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,4,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,,8.746636079738535,8.476813052263743,13.233009904113658,0.43325533601293414,0.3689472238484949,0.7815952648344673
world/lighting,ceiling_low,low,AP03,OK_FULL,SE3_available_static_cameras_no_scale,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,4,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,,40.12261849823892,39.27535046186085,71.65548389178504,6.020827595329525,4.108802227957778,12.065841675406677
world/lighting,ceiling_normal,normal baseline,AP01,OK_FULL,SE3_available_static_cameras_no_scale,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,4,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,,7.834029100131286,7.419585794465066,11.48155763106885,1.2802635632418118,1.2215805060376672,1.5754813928779954
world/lighting,ceiling_normal,normal baseline,AP02,OK_FULL,SE3_available_static_cameras_no_scale,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,4,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,,8.578783733012253,8.315046507684558,12.897056141743876,0.41489011871986226,0.35528769277547134,0.7396967326075492
world/lighting,ceiling_normal,normal baseline,AP03,OK_FULL,SE3_available_static_cameras_no_scale,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,4,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,,7.61934733561313,7.167900920104659,13.217840244040236,0.19516552653506464,0.17850578824542343,0.29904541030055215
world/lighting,ceiling_bright,bright,AP01,OK_FULL,SE3_available_static_cameras_no_scale,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,4,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,,7.877145281173072,7.425172287944079,11.452292158942212,1.2913589597518131,1.3096448081941379,1.4968381555420056
world/lighting,ceiling_bright,bright,AP02,OK_FULL,SE3_available_static_cameras_no_scale,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,4,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,,8.859259854902547,8.588076584070642,13.393703041397643,0.42742916601903685,0.37204917308829855,0.743949017939765
world/lighting,ceiling_bright,bright,AP03,OK_FULL,SE3_available_static_cameras_no_scale,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,4,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,,6.8690969180881165,6.592539079011316,11.42727422607109,0.0700868644700424,0.07199360512966141,0.1101541674512491
