group,variant,method,evaluation,category,entity_count,mean_translation_error_cm,median_translation_error_cm,max_translation_error_cm,mean_rotation_error_deg,median_rotation_error_deg,max_rotation_error_deg,interpretation
moving_cam/res,moving_res_160x90_extreme_pixel,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,static_cameras,3,12.370710353242066,11.25561359482151,16.97489582859567,1.9920899658688416,1.9055933907119467,2.34289656259591,Marker 14 is excluded because it is the coordinate gauge anchor.
moving_cam/res,moving_res_160x90_extreme_pixel,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,markers_all,8,8.087473679750126,7.09167070869313,15.648042761986613,1.9610698669248476,1.6951543584313944,3.516618703862357,Marker 14 is excluded because it is the coordinate gauge anchor.
moving_cam/res,moving_res_160x90_extreme_pixel,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,markers_front,8,8.087473679750126,7.09167070869313,15.648042761986613,1.9610698669248476,1.6951543584313944,3.516618703862357,Marker 14 is excluded because it is the coordinate gauge anchor.
moving_cam/res,moving_res_160x90_extreme_pixel,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,markers_rear,0,,,,,,,Marker 14 is excluded because it is the coordinate gauge anchor.
moving_cam/res,moving_res_320x180_low,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,static_cameras,4,15.712966199515547,13.98342712930039,26.37653987369871,1.4183366920895257,1.4198177093108073,2.065852109964462,Marker 14 is excluded because it is the coordinate gauge anchor.
moving_cam/res,moving_res_320x180_low,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,markers_all,14,11.93078168840037,11.776351398709629,20.503802297555417,1.5383083024048894,1.4461828867652184,4.392339747216027,Marker 14 is excluded because it is the coordinate gauge anchor.
moving_cam/res,moving_res_320x180_low,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,markers_front,8,7.544142280954249,6.467349117492385,14.291702505080126,1.4055331251809988,1.5126648458802099,2.145095345595188,Marker 14 is excluded because it is the coordinate gauge anchor.
moving_cam/res,moving_res_320x180_low,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,markers_rear,6,17.779634231661863,18.504899238701316,20.503802297555417,1.715341872036743,1.1526037502111963,4.392339747216027,Marker 14 is excluded because it is the coordinate gauge anchor.
moving_cam/res,moving_res_1280x720_baseline,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,static_cameras,4,8.328628968887902,7.659725530463687,14.419143168198259,0.9933221241077923,0.9666889259942357,1.4110052632906684,Marker 14 is excluded because it is the coordinate gauge anchor.
moving_cam/res,moving_res_1280x720_baseline,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,markers_all,14,6.7879589893071115,5.300234882335503,12.29836354777813,0.9430792315855391,0.7193286426503807,3.376256640891563,Marker 14 is excluded because it is the coordinate gauge anchor.
moving_cam/res,moving_res_1280x720_baseline,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,markers_front,8,3.899815493908378,3.7280647615492675,6.5741102094942345,0.878364729411749,0.8680664632051349,1.287775585737395,Marker 14 is excluded because it is the coordinate gauge anchor.
moving_cam/res,moving_res_1280x720_baseline,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,markers_rear,6,10.63881698317209,11.656015931802877,12.29836354777813,1.0293652344839257,0.6100692299660551,3.376256640891563,Marker 14 is excluded because it is the coordinate gauge anchor.
moving_cam/res,moving_res_2560x1440_upscaled,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,static_cameras,4,5.3054831050576094,6.007687357010024,7.586110212924366,1.000507404172194,1.0354064957367481,1.3588017410613136,Marker 14 is excluded because it is the coordinate gauge anchor.
moving_cam/res,moving_res_2560x1440_upscaled,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,markers_all,14,3.7901621970345905,3.35821444164078,6.596259575212425,0.8453222000750032,0.7765829933754435,1.8435947968996118,Marker 14 is excluded because it is the coordinate gauge anchor.
moving_cam/res,moving_res_2560x1440_upscaled,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,markers_front,8,2.2163771997393846,2.347490173649199,3.537114417351849,0.8316068858144621,0.8543855866320472,1.1844529432267623,Marker 14 is excluded because it is the coordinate gauge anchor.
moving_cam/res,moving_res_2560x1440_upscaled,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,markers_rear,6,5.8885421934282,6.2440037202905,6.596259575212425,0.8636092857557248,0.7200674378280574,1.8435947968996118,Marker 14 is excluded because it is the coordinate gauge anchor.
world/lighting,ceiling_dark_extreme,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,static_cameras,4,19.813791327215203,16.957911787793353,32.41005686176862,2.7194711429930507,2.929997973426098,2.9910490924207087,Marker 14 is excluded because it is the coordinate gauge anchor.
world/lighting,ceiling_dark_extreme,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,markers_all,14,13.606131622007743,12.689053134661116,20.99777473963176,2.9642228213474278,2.9876483633591375,4.914981561190049,Marker 14 is excluded because it is the coordinate gauge anchor.
world/lighting,ceiling_dark_extreme,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,markers_front,8,10.48124891510539,11.040685230025197,14.22028576581645,2.751061244139284,2.914459056844599,3.5309207354363368,Marker 14 is excluded because it is the coordinate gauge anchor.
world/lighting,ceiling_dark_extreme,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,markers_rear,6,17.772641897877545,18.194012375812008,20.99777473963176,3.248438257624954,2.9876483633591375,4.914981561190049,Marker 14 is excluded because it is the coordinate gauge anchor.
world/lighting,ceiling_low,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,static_cameras,4,8.881925854667642,7.741707052521372,13.638176505660049,0.48516097485825305,0.34680829716143063,0.9247705493588676,Marker 14 is excluded because it is the coordinate gauge anchor.
world/lighting,ceiling_low,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,markers_all,14,6.394978376395099,5.563050767459185,11.062435066031155,0.9283557012020662,0.7583913505884812,3.003034037549326,Marker 14 is excluded because it is the coordinate gauge anchor.
world/lighting,ceiling_low,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,markers_front,8,3.9298880519127577,4.092793183314247,5.927393477025239,0.8231566499123729,0.7583913505884812,1.0707381117909966,Marker 14 is excluded because it is the coordinate gauge anchor.
world/lighting,ceiling_low,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,markers_rear,6,9.681765475704887,10.41056438759913,11.062435066031155,1.0686211029216575,0.7576842831010779,3.003034037549326,Marker 14 is excluded because it is the coordinate gauge anchor.
world/lighting,ceiling_normal,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,static_cameras,4,8.665648047212564,7.805733384840665,12.728561363384502,0.4613725775811614,0.3881532075597993,0.8553252978118652,Marker 14 is excluded because it is the coordinate gauge anchor.
world/lighting,ceiling_normal,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,markers_all,14,6.18502574669824,5.679911682443654,10.359006324361493,0.9279404480967175,0.7424696856609035,3.7019094849340815,Marker 14 is excluded because it is the coordinate gauge anchor.
world/lighting,ceiling_normal,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,markers_front,8,3.975712440824412,4.109480920890478,5.906107416108678,0.8219390052998743,0.8354703923813958,0.9969673117921067,Marker 14 is excluded because it is the coordinate gauge anchor.
world/lighting,ceiling_normal,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,markers_rear,6,9.130776821196676,9.676126002276405,10.359006324361493,1.069275705159175,0.5666996234849356,3.7019094849340815,Marker 14 is excluded because it is the coordinate gauge anchor.
world/lighting,ceiling_bright,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,static_cameras,4,9.007340137415532,7.80103821014638,13.904604643967684,0.4164541802947381,0.28932456970163434,0.8696397160611001,Marker 14 is excluded because it is the coordinate gauge anchor.
world/lighting,ceiling_bright,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,markers_all,14,6.435117289988567,5.339935986688362,11.162903185270807,0.9399971595006807,0.7880245404907191,3.392537281252304,Marker 14 is excluded because it is the coordinate gauge anchor.
world/lighting,ceiling_bright,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,markers_front,8,3.9583980783514248,4.108346157439592,5.895277456977252,0.810235005757566,0.8144175516676326,1.1234790057055242,Marker 14 is excluded because it is the coordinate gauge anchor.
world/lighting,ceiling_bright,AP02,relative_geometry_in_ref14_gauge_vs_gt_relative_geometry,markers_rear,6,9.737409572171424,10.54110640779745,11.162903185270807,1.1130133644915003,0.7022775190908618,3.392537281252304,Marker 14 is excluded because it is the coordinate gauge anchor.
