canonical_camera,physical_camera,source_topic,frame_index,timestamp_ns,width,height,marker_count,marker_ids,marker_total_area_px2,sharpness,candidate_preview,pipeline_image,selected_preview
cam_edge_0,center_left,/edge_5/camera/color/image_raw/compressed,105,1783681585742912752,1280,720,3,15 16 19,14392.5,138.28937065255906,/home/maxim/camera-rig-calibration/data_local/real_vehicle_2026_07_10/datasets/real_05x_4k_3hz_v1/preview/static_candidates/cam_edge_0/frame_0105_t1783681585742912752.jpg,/home/maxim/camera-rig-calibration/data_local/real_vehicle_2026_07_10/datasets/real_05x_4k_3hz_v1/raw_images/static/cam_edge_0.png,/home/maxim/camera-rig-calibration/data_local/real_vehicle_2026_07_10/datasets/real_05x_4k_3hz_v1/preview/static_selected/cam_edge_0.jpg
cam_edge_1,front_right,/edge_1/camera/color/image_raw/compressed,2,1783681579478920222,1280,720,6,0 2 3 4 6 20,6722.5,429.1292249565783,/home/maxim/camera-rig-calibration/data_local/real_vehicle_2026_07_10/datasets/real_05x_4k_3hz_v1/preview/static_candidates/cam_edge_1/frame_0002_t1783681579478920222.jpg,/home/maxim/camera-rig-calibration/data_local/real_vehicle_2026_07_10/datasets/real_05x_4k_3hz_v1/raw_images/static/cam_edge_1.png,/home/maxim/camera-rig-calibration/data_local/real_vehicle_2026_07_10/datasets/real_05x_4k_3hz_v1/preview/static_selected/cam_edge_1.jpg
cam_edge_3,front_left,/edge_3/camera/color/image_raw/compressed,70,1783681585182275950,1280,720,5,2 3 15 16 19,8252.5,409.37557295030996,/home/maxim/camera-rig-calibration/data_local/real_vehicle_2026_07_10/datasets/real_05x_4k_3hz_v1/preview/static_candidates/cam_edge_3/frame_0070_t1783681585182275950.jpg,/home/maxim/camera-rig-calibration/data_local/real_vehicle_2026_07_10/datasets/real_05x_4k_3hz_v1/raw_images/static/cam_edge_3.png,/home/maxim/camera-rig-calibration/data_local/real_vehicle_2026_07_10/datasets/real_05x_4k_3hz_v1/preview/static_selected/cam_edge_3.jpg
cam_edge_5,back_right,/edge_0/camera/color/image_raw/compressed,40,1783681581649332236,1280,720,7,5 7 8 9 10 12 17,13735.0,331.6514268380331,/home/maxim/camera-rig-calibration/data_local/real_vehicle_2026_07_10/datasets/real_05x_4k_3hz_v1/preview/static_candidates/cam_edge_5/frame_0040_t1783681581649332236.jpg,/home/maxim/camera-rig-calibration/data_local/real_vehicle_2026_07_10/datasets/real_05x_4k_3hz_v1/raw_images/static/cam_edge_5.png,/home/maxim/camera-rig-calibration/data_local/real_vehicle_2026_07_10/datasets/real_05x_4k_3hz_v1/preview/static_selected/cam_edge_5.jpg
