from_camera,to_camera,estimated_x_m,estimated_y_m,estimated_z_m,estimated_roll_deg,estimated_pitch_deg,estimated_yaw_deg,gt_x_m,gt_y_m,gt_z_m,gt_roll_deg,gt_pitch_deg,gt_yaw_deg,translation_error_cm,rotation_error_deg
cam_edge_0,cam_edge_1,-4.634921985811748,-0.8794689181641964,1.5565175942669507,112.12965471708118,59.21164062205972,133.51122338242052,-4.590674262084118,-0.9808404021811505,1.9130477582733783,115.90214977992049,57.450670973219786,138.4497834938831,37.3293177908901,3.1626491169855147
cam_edge_0,cam_edge_3,-3.710709662654908,-0.030056529369976548,-0.20833810968493727,18.414242797387658,49.72948267220016,33.02850895525847,-3.8168022097504686,-0.10639583116101103,0.08142379772883634,21.20580374270508,50.53923196926395,36.24433498574047,31.787620315971232,2.237840997958143
cam_edge_0,cam_edge_5,5.337904629454666,-0.7866081718940483,1.9454567978537607,122.2290027207256,-61.97154193658841,-145.35518342599184,5.239989224744795,-0.7565583592593793,2.0237440016874646,121.10918727720495,-59.18839253897587,-144.80607014753681,12.891587956096224,2.868763122610174
cam_edge_1,cam_edge_0,0.030193292740852584,-1.2755456235864924,4.801123424893738,115.56515103492096,-63.45966952881476,-142.06558220143705,0.11417421120367188,-1.3868083881700572,4.874404224573956,118.71839334876543,-60.716689684088486,-145.40522073846773,15.748737425714099,3.1626491169855147
cam_edge_1,cam_edge_3,1.505738206884367,-0.380173530838548,1.509505223264224,4.741843338567092,-50.71158105651193,-19.938491933816373,1.5443865298310686,-0.3757221990345857,1.4805676849234317,5.145378882018555,-52.158716168945006,-19.440987313922378,4.848596030446688,1.6788355807144635
cam_edge_1,cam_edge_5,-3.8142711665798514,-2.4773524084448986,8.884324849566253,135.3147366651592,38.589611839307324,157.32808738535218,-3.9715362540357755,-2.4903976924727136,8.644612183352152,133.3021054862451,43.914770150931766,156.52751785874057,28.69924206514156,5.56056570054228
cam_edge_3,cam_edge_0,1.8626060878056172,-1.098760075343037,3.0227635074426438,11.945089144730838,-51.18012004578616,-30.17317955298936,2.059231906455514,-1.1652968333631528,2.9979286618714744,12.727597348814248,-52.59533286430615,-32.45386526860385,20.905889668252172,2.237840997958143
cam_edge_3,cam_edge_1,-2.146720963872233,-0.1357118189193181,0.25210491022717485,16.36548429326053,48.87494307901324,25.16735541642845,-2.1393670482185616,-0.12854165103881288,0.3535014440640665,16.174286862844784,50.49206264287824,24.587819284640315,10.191539852746418,1.6788355807144635
cam_edge_3,cam_edge_5,2.9938997314561346,-3.1124322598338283,8.272723452699696,142.31990850683636,-11.859200118676704,176.81053823412716,2.898374813490835,-3.101877728211797,8.2582424386392,141.70501809791045,-7.866545909544567,176.3434827013253,9.71910893974232,4.078686133155961
cam_edge_5,cam_edge_0,0.13617161384525533,-1.7551077927118255,5.458739261872144,120.33166882585112,60.24824010089414,141.1723829633008,0.2319380944309577,-1.83590538688167,5.357337355584711,120.80126320301585,58.8803416481402,144.08775431821905,16.118876085550095,2.868763122610428
cam_edge_5,cam_edge_1,3.5368916268927224,-3.337655304581455,8.715940695522548,139.30370958607296,-42.86343304378372,-169.73030980304227,4.08612384797731,-3.218389476133185,8.345661253804913,135.94348036278473,-46.56866329004107,-163.97274805785122,67.30432641901152,5.56056570054228
cam_edge_5,cam_edge_3,1.3948255950244726,-3.0183986499099333,8.719653355988504,141.35282597518648,7.376289664945715,170.16158903846932,1.9309415304203004,-3.0472468022015846,8.556082158801786,141.19027026597814,3.8805214213890977,172.24098791564998,56.12557782554064,4.078686133155961
