marker_id,frame_i,frame_j,frame_gap,metric_translation_m,colmap_translation_units,scale_m_per_colmap_unit,quality,used_for_scale
13,0,3,3,0.12150829740689396,0.17994963960662502,0.675235013932312,6604.226449781988,True
13,0,4,4,0.17590184930084807,0.2390554219820995,0.7358203710352138,6645.54854771222,True
13,0,5,5,0.2013548784508961,0.2987381715445716,0.674017911436718,6681.562261178145,True
13,0,6,6,0.28917948763027096,0.43249937809288713,0.6686240542250315,7408.985085691562,True
13,0,7,7,0.38910415106815016,0.5651843744416374,0.6884552522396923,8448.173989093739,True
13,1,4,3,0.12176424232899795,0.17970666128418988,0.6775722249741136,6417.565036678631,True
13,1,5,4,0.1528020118303285,0.2393898493198665,0.6382977902549176,6452.343256523168,True
13,1,6,5,0.24082272151534462,0.3731502017912552,0.6453774387882116,7154.810968851658,True
13,1,7,6,0.3395946352481393,0.5058350592023201,0.6713544841744764,8158.349250920802,True
13,2,6,4,0.20654443577465365,0.3129929476093653,0.65990124490739,6965.644263095841,True
13,2,7,5,0.3061673044849355,0.4456778146864478,0.6869700361915849,7942.649904156672,True
13,3,6,3,0.16837319067899364,0.25255003328815967,0.6666924113483674,6881.459147593627,True
13,3,7,4,0.268159841436319,0.3852348616889945,0.6960944299293665,7846.656931458136,True
13,4,7,3,0.21786633189699006,0.32612924066668325,0.6680367925661039,7895.752814013366,True
13,156,159,3,0.4485842029959179,0.6563962474841056,0.6834045817831708,3371.340534564849,True
9,0,3,3,0.5992068923769948,0.17994963960662502,3.329858807646839,4437.933978778864,False
9,0,4,4,0.50722979963597,0.2390554219820995,2.1218083883240744,4484.152762785853,False
9,0,5,5,0.21032197813244102,0.2987381715445716,0.7040344963116342,4570.065863857982,True
9,0,6,6,0.5518769643314129,0.43249937809288713,1.2760179373318943,4672.229767466493,False
9,0,7,7,0.513222749637134,0.5651843744416374,0.9080625240996129,4884.064188767384,False
9,0,8,8,0.45289285600388685,0.6980781550440396,0.6487709903704338,5189.906357536714,True
9,0,9,9,0.6127231501955107,0.8302216894775986,0.7380235399307085,5574.934528763544,True
9,0,10,10,0.700220250396408,0.964493692869614,0.7259977494648769,6073.565015705356,True
9,0,11,11,0.713925438946977,1.097865221503771,0.6502851397087678,6766.948499877918,True
9,1,4,3,0.4439365496692711,0.17970666128418988,2.4703399779222734,4335.271617788209,False
9,1,5,4,0.4995705468069919,0.2393898493198665,2.086849330605822,4418.332264554127,False
9,1,6,5,0.24747306947317288,0.3731502017912552,0.6631996131456265,4517.1041608535,True
