initialized_type,initialized_id,from_type,from_id,observed_marker_id,quality
static,cam_edge_1,marker,14,14,28.95154035054676
static,cam_edge_3,marker,14,14,42.19341303079386
marker,2,static,cam_edge_1,2,133.0841156254233
marker,1,static,cam_edge_1,1,274.3618216462775
marker,5,static,cam_edge_1,5,12.601496827448807
marker,7,static,cam_edge_1,7,19.165886948640413
marker,6,static,cam_edge_1,6,18.561555899678517
marker,8,static,cam_edge_1,8,9.617602469436285
marker,3,static,cam_edge_3,3,33.89030644550967
moving,moving_frame_000005,marker,2,2,115.33390295376297
moving,moving_frame_000006,marker,2,2,134.1366699914297
moving,moving_frame_000007,marker,2,2,162.3045800955199
moving,moving_frame_000008,marker,2,2,192.8913130336592
moving,moving_frame_000009,marker,2,2,234.577781896295
moving,moving_frame_000010,marker,2,2,286.20990741332463
moving,moving_frame_000011,marker,2,2,342.9386444284566
moving,moving_frame_000012,marker,2,2,421.3757349297486
moving,moving_frame_000013,marker,2,2,476.73227300308616
moving,moving_frame_000014,marker,2,2,564.9390145114447
moving,moving_frame_000015,marker,2,2,640.1507325962581
moving,moving_frame_000016,marker,2,2,783.2984784036801
moving,moving_frame_000017,marker,2,2,955.0793720702973
moving,moving_frame_000018,marker,1,1,11445.467287256477
moving,moving_frame_000019,marker,1,1,16434.212173681084
moving,moving_frame_000020,marker,1,1,16434.212173681084
moving,moving_frame_000021,marker,1,1,19494.145253182556
moving,moving_frame_000022,marker,1,1,23032.13801028088
moving,moving_frame_000023,marker,1,1,26483.576229543425
moving,moving_frame_000024,marker,1,1,29777.71398198319
moving,moving_frame_000032,marker,1,1,32921.03749646691
moving,moving_frame_000033,marker,1,1,30238.446017121343
moving,moving_frame_000034,marker,1,1,27344.854001503434
moving,moving_frame_000035,marker,1,1,24807.929111736947
moving,moving_frame_000036,marker,1,1,22856.16741771564
moving,moving_frame_000176,marker,1,1,286.2066525857132
moving,moving_frame_000177,marker,1,1,416.70569575054634
moving,moving_frame_000180,marker,1,1,1338.2034230115971
moving,moving_frame_000181,marker,1,1,2076.728406638705
moving,moving_frame_000182,marker,1,1,3333.1112999989155
moving,moving_frame_000183,marker,1,1,5681.996364802974
moving,moving_frame_000000,marker,5,5,794.4725363905108
moving,moving_frame_000001,marker,5,5,794.4725363905108
moving,moving_frame_000002,marker,5,5,6.279772877880945
moving,moving_frame_000003,marker,5,5,6.945758153086303
moving,moving_frame_000004,marker,5,5,7.622170637997825
moving,moving_frame_000080,marker,5,5,1145.3371880581014
moving,moving_frame_000081,marker,5,5,995.1054069118014
moving,moving_frame_000082,marker,5,5,921.7683842648418
moving,moving_frame_000083,marker,5,5,850.9120668728134
moving,moving_frame_000084,marker,5,5,1036.3679993061173
moving,moving_frame_000085,marker,5,5,1316.5425527528346
moving,moving_frame_000086,marker,5,5,1657.1262497369714
static,cam_edge_0,marker,7,7,331.3138837240767
moving,moving_frame_000070,marker,7,7,696.1726421863644
moving,moving_frame_000071,marker,7,7,674.032759457498
moving,moving_frame_000072,marker,7,7,643.5433109910713
moving,moving_frame_000073,marker,7,7,704.8346172103458
moving,moving_frame_000074,marker,7,7,730.3250360736203
moving,moving_frame_000075,marker,7,7,857.8448431867154
moving,moving_frame_000076,marker,7,7,874.1178191974329
moving,moving_frame_000077,marker,7,7,974.5867357509936
moving,moving_frame_000078,marker,7,7,1086.4346828228167
moving,moving_frame_000079,marker,7,7,1223.5783545541447
moving,moving_frame_000087,marker,8,8,1431.2946103893335
moving,moving_frame_000088,marker,8,8,1867.8799201790787
moving,moving_frame_000089,marker,8,8,2507.0554133196197
moving,moving_frame_000090,marker,8,8,3529.118679850844
moving,moving_frame_000091,marker,8,8,4976.703989104248
moving,moving_frame_000092,marker,8,8,6991.153683008321
moving,moving_frame_000055,marker,3,3,613.8576270149948
moving,moving_frame_000056,marker,3,3,545.5702982857057
moving,moving_frame_000057,marker,3,3,512.186190781656
moving,moving_frame_000058,marker,3,3,490.971076072932
moving,moving_frame_000059,marker,3,3,483.5712877960685
moving,moving_frame_000060,marker,3,3,488.9750390700949
moving,moving_frame_000061,marker,3,3,538.0414502309583
moving,moving_frame_000062,marker,3,3,607.3418347066407
moving,moving_frame_000063,marker,3,3,681.263107205263
moving,moving_frame_000151,marker,3,3,55.21327798616859
moving,moving_frame_000152,marker,3,3,68.31268950103669
moving,moving_frame_000153,marker,3,3,80.30085296113552
moving,moving_frame_000154,marker,3,3,91.55705866376255
moving,moving_frame_000155,marker,3,3,102.3726704435195
moving,moving_frame_000156,marker,3,3,122.20659650550579
moving,moving_frame_000157,marker,3,3,141.32890831053328
moving,moving_frame_000158,marker,3,3,166.75902753949222
moving,moving_frame_000159,marker,3,3,192.58360598864945
moving,moving_frame_000160,marker,3,3,238.74205613624983
moving,moving_frame_000161,marker,3,3,299.5406394758795
moving,moving_frame_000162,marker,3,3,381.44739664261493
marker,0,moving,moving_frame_000180,0,996.192690072511
marker,11,moving,moving_frame_000083,11,20.91984781642599
marker,4,static,cam_edge_0,4,630.0862009601748
marker,12,moving,moving_frame_000092,12,186.90184713074066
static,cam_edge_5,marker,0,0,5.188973769673857
moving,moving_frame_000038,marker,0,0,4847.8566122103575
moving,moving_frame_000039,marker,0,0,3896.4819272911827
moving,moving_frame_000040,marker,0,0,3197.6436685842086
moving,moving_frame_000041,marker,0,0,2750.284787589819
moving,moving_frame_000042,marker,0,0,2380.2783999957646
moving,moving_frame_000043,marker,0,0,2140.328017530544
moving,moving_frame_000044,marker,0,0,2002.9924305575353
moving,moving_frame_000045,marker,0,0,1853.6193124480276
moving,moving_frame_000046,marker,0,0,1831.4530077080456
moving,moving_frame_000047,marker,0,0,1862.456512163198
moving,moving_frame_000048,marker,0,0,1862.456512163198
moving,moving_frame_000119,marker,0,0,7.092207713269723
moving,moving_frame_000120,marker,0,0,6.706053421215181
moving,moving_frame_000121,marker,0,0,5.326453303930012
moving,moving_frame_000163,marker,0,0,49.11881488095816
moving,moving_frame_000165,marker,0,0,64.31620766264396
moving,moving_frame_000166,marker,0,0,69.63204414015509
moving,moving_frame_000167,marker,0,0,82.99689715610965
moving,moving_frame_000168,marker,0,0,100.84272222763316
moving,moving_frame_000169,marker,0,0,108.5149969415802
moving,moving_frame_000170,marker,0,0,132.26246196552887
moving,moving_frame_000171,marker,0,0,159.10590815075687
moving,moving_frame_000172,marker,0,0,184.4420425680885
moving,moving_frame_000173,marker,0,0,222.15731559569224
moving,moving_frame_000175,marker,0,0,324.0413519465536
moving,moving_frame_000178,marker,0,0,595.9772219610574
moving,moving_frame_000179,marker,0,0,786.6767826461303
moving,moving_frame_000184,marker,0,0,2903.6557602699113
moving,moving_frame_000093,marker,11,11,322.4203680722419
moving,moving_frame_000094,marker,11,11,435.1780189501342
moving,moving_frame_000095,marker,11,11,656.5307382551239
moving,moving_frame_000096,marker,11,11,964.0163861059054
moving,moving_frame_000097,marker,11,11,1431.5043786213816
moving,moving_frame_000129,marker,11,11,19692.75465052322
moving,moving_frame_000130,marker,11,11,19568.546899505407
moving,moving_frame_000131,marker,11,11,19671.981243681937
moving,moving_frame_000132,marker,11,11,20072.97172100513
moving,moving_frame_000133,marker,11,11,18919.996580404026
moving,moving_frame_000134,marker,11,11,18109.357731592147
moving,moving_frame_000135,marker,11,11,17619.144225576027
moving,moving_frame_000136,marker,11,11,17527.26020247338
moving,moving_frame_000137,marker,11,11,17511.11461492422
moving,moving_frame_000138,marker,11,11,18052.783860218708
moving,moving_frame_000065,marker,4,4,1985.758126811852
moving,moving_frame_000066,marker,4,4,2163.2722120383105
moving,moving_frame_000067,marker,4,4,2359.8441349532736
moving,moving_frame_000068,marker,4,4,2617.3005593689154
moving,moving_frame_000069,marker,4,4,2928.1763996087752
moving,moving_frame_000098,marker,12,12,797.2649892934976
moving,moving_frame_000099,marker,12,12,972.8098431408129
moving,moving_frame_000100,marker,12,12,1243.2554136836095
moving,moving_frame_000101,marker,12,12,1556.1555304423237
moving,moving_frame_000102,marker,12,12,1941.7609717661303
moving,moving_frame_000103,marker,12,12,2425.03717512917
moving,moving_frame_000104,marker,12,12,2965.681660796739
moving,moving_frame_000105,marker,12,12,4302.171471790765
moving,moving_frame_000106,marker,12,12,4868.2818732819405
moving,moving_frame_000107,marker,12,12,5596.309014253323
moving,moving_frame_000108,marker,12,12,5596.309014253323
moving,moving_frame_000109,marker,12,12,5919.618214630496
moving,moving_frame_000110,marker,12,12,5990.258521092569
moving,moving_frame_000111,marker,12,12,6199.981956065466
moving,moving_frame_000112,marker,12,12,5919.121149955443
moving,moving_frame_000113,marker,12,12,5499.824865687304
moving,moving_frame_000114,marker,12,12,4984.77001882339
moving,moving_frame_000115,marker,12,12,4394.688929103018
