camera_id,maximum_transform_element_delta,translation_delta_m,rotation_delta_deg,within_tolerance
cam_edge_0,1.1864624172019944e-08,1.4134515720719682e-08,1.2074182697257333e-06,True
cam_edge_1,2.6301815392315575e-08,3.78511422387782e-08,0.0,True
cam_edge_3,1.998791487878293e-08,2.637475010056931e-08,0.0,True
cam_edge_5,4.034099504446331e-08,5.6217694663683655e-08,0.0,True
