method,marker_id,corner_index,static_camera,cross_camera_reprojection_error_px
AP01__baseline,1,0,cam_edge_3,13.566173916343217
AP01__baseline,1,1,cam_edge_3,16.905987225280633
AP01__baseline,1,2,cam_edge_3,19.43419310058992
AP01__baseline,1,3,cam_edge_3,16.74829302302198
AP01__baseline,2,0,cam_edge_3,8.75551303218776
AP01__baseline,2,1,cam_edge_3,10.308571578607133
AP01__baseline,2,2,cam_edge_3,9.65515119691492
AP01__baseline,2,3,cam_edge_3,8.36249150721768
AP01__baseline,5,0,cam_edge_3,7.235070603078189
AP01__baseline,5,1,cam_edge_3,7.982434650728433
AP01__baseline,5,2,cam_edge_3,7.789116138323217
AP01__baseline,5,3,cam_edge_3,7.663622235908959
AP01__baseline,6,0,cam_edge_3,3.58056954395478
AP01__baseline,6,1,cam_edge_3,3.880625184868572
AP01__baseline,6,2,cam_edge_3,4.466474512931878
AP01__baseline,6,3,cam_edge_3,3.821131672249663
AP01__baseline,7,0,cam_edge_3,2.537478987684611
AP01__baseline,7,1,cam_edge_3,3.403289292732577
AP01__baseline,7,2,cam_edge_3,3.0575947723608623
AP01__baseline,7,3,cam_edge_3,2.5661797041608403
AP01__baseline,8,0,cam_edge_3,6.158040734917767
AP01__baseline,8,1,cam_edge_3,6.75339785952346
AP01__baseline,8,2,cam_edge_3,5.731130058239067
AP01__baseline,8,3,cam_edge_3,6.051815608526927
AP01__baseline,14,0,cam_edge_3,4.53354511716019
AP01__baseline,14,1,cam_edge_3,4.231062639675398
AP01__baseline,14,2,cam_edge_3,3.927709260686884
AP01__baseline,14,3,cam_edge_3,4.859462366422449
AP01__baseline,19,0,cam_edge_3,1.271704541178667
AP01__baseline,19,1,cam_edge_3,0.5811866650853585
AP01__baseline,19,2,cam_edge_3,1.2941868268452832
AP01__baseline,19,3,cam_edge_3,1.8481566524717081
AP01__baseline,20,0,cam_edge_3,7.459599991216185
AP01__baseline,20,1,cam_edge_3,7.73150296553334
AP01__baseline,20,2,cam_edge_3,7.52996346128409
AP01__baseline,20,3,cam_edge_3,7.126168869124065
AP03_MULTI__baseline,0,0,cam_edge_5,0.5788603808932126
AP03_MULTI__baseline,0,1,cam_edge_5,0.5701871580622936
AP03_MULTI__baseline,0,2,cam_edge_5,0.12919280056371268
AP03_MULTI__baseline,0,3,cam_edge_5,0.5196341350362694
AP03_MULTI__baseline,1,0,cam_edge_3,0.677016148585358
AP03_MULTI__baseline,1,1,cam_edge_3,0.6913977991792369
AP03_MULTI__baseline,1,2,cam_edge_3,0.4441448985838509
AP03_MULTI__baseline,1,3,cam_edge_3,2.034160680375917
AP03_MULTI__baseline,2,0,cam_edge_1,0.13498331884675369
AP03_MULTI__baseline,2,1,cam_edge_1,0.35777224114130235
AP03_MULTI__baseline,2,2,cam_edge_1,0.5275044971731068
AP03_MULTI__baseline,2,3,cam_edge_1,0.8711342300361846
AP03_MULTI__baseline,2,0,cam_edge_3,1.0066032461147958
AP03_MULTI__baseline,2,1,cam_edge_3,0.06017578478696067
AP03_MULTI__baseline,2,2,cam_edge_3,2.483562589668134
AP03_MULTI__baseline,2,3,cam_edge_3,1.2346930271616476
AP03_MULTI__baseline,3,0,cam_edge_0,0.5278952163919938
AP03_MULTI__baseline,3,1,cam_edge_0,0.8011200029741234
AP03_MULTI__baseline,3,2,cam_edge_0,0.8825767936902469
AP03_MULTI__baseline,3,3,cam_edge_0,0.01746752711203765
AP03_MULTI__baseline,4,0,cam_edge_0,0.9872276893775441
AP03_MULTI__baseline,4,1,cam_edge_0,0.22433575391764146
AP03_MULTI__baseline,4,2,cam_edge_0,0.9678569393097262
AP03_MULTI__baseline,4,3,cam_edge_0,0.2150883846122707
AP03_MULTI__baseline,5,0,cam_edge_1,0.016710261991626063
AP03_MULTI__baseline,5,1,cam_edge_1,0.680617181918317
AP03_MULTI__baseline,5,2,cam_edge_1,0.5818872752312535
AP03_MULTI__baseline,5,3,cam_edge_1,0.2516074508356542
AP03_MULTI__baseline,5,0,cam_edge_3,0.5468384170326631
AP03_MULTI__baseline,5,1,cam_edge_3,0.1343422090653656
AP03_MULTI__baseline,5,2,cam_edge_3,0.9609709882128411
AP03_MULTI__baseline,5,3,cam_edge_3,0.204222033754961
AP03_MULTI__baseline,6,0,cam_edge_1,0.2022701587446955
AP03_MULTI__baseline,6,1,cam_edge_1,0.7663271879056649
AP03_MULTI__baseline,6,2,cam_edge_1,1.040358469511833
AP03_MULTI__baseline,6,3,cam_edge_1,0.38692653321681353
AP03_MULTI__baseline,6,0,cam_edge_3,0.34119246445511076
AP03_MULTI__baseline,6,1,cam_edge_3,0.3527926562276279
AP03_MULTI__baseline,6,2,cam_edge_3,0.5959483911027006
AP03_MULTI__baseline,6,3,cam_edge_3,0.2868425800416661
AP03_MULTI__baseline,7,0,cam_edge_0,1.2531094768076696
AP03_MULTI__baseline,7,1,cam_edge_0,2.0913004783165
AP03_MULTI__baseline,7,2,cam_edge_0,1.5153390899284984
AP03_MULTI__baseline,7,3,cam_edge_0,1.2648276386465915
AP03_MULTI__baseline,7,0,cam_edge_1,0.8190561999284897
AP03_MULTI__baseline,7,1,cam_edge_1,0.41860475469476843
AP03_MULTI__baseline,7,2,cam_edge_1,0.6324840558559947
AP03_MULTI__baseline,7,3,cam_edge_1,0.7592170426842078
AP03_MULTI__baseline,7,0,cam_edge_3,0.6584344009048926
AP03_MULTI__baseline,7,1,cam_edge_3,0.4337170947903871
AP03_MULTI__baseline,7,2,cam_edge_3,0.6021177435841897
AP03_MULTI__baseline,7,3,cam_edge_3,0.09286782880922137
AP03_MULTI__baseline,8,0,cam_edge_1,0.40977534640748065
AP03_MULTI__baseline,8,1,cam_edge_1,0.8097717379877112
AP03_MULTI__baseline,8,2,cam_edge_1,0.5161236620158846
AP03_MULTI__baseline,8,3,cam_edge_1,0.9509030986543588
AP03_MULTI__baseline,8,0,cam_edge_3,0.5049904314985119
