method,status,alignment,source_file,camera_count,available_cameras,missing_cameras,failure_reason,mean_translation_error_cm,median_translation_error_cm,max_translation_error_cm,mean_rotation_error_deg,median_rotation_error_deg,max_rotation_error_deg
AP01,OK_FULL,SE3_available_static_cameras_no_scale,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,4,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,,6.484836598808165,6.621175268269779,7.42153614062133,0.8464297575427584,0.8108061455845614,1.5089408439212406
AP02,OK_FULL,SE3_available_static_cameras_no_scale,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,4,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,,5.6453969323110185,4.424356475945542,9.95265421964739,0.5194495253021212,0.4261264091895163,1.0247823843665678
AP03,PARTIAL_3_OF_4,SE3_available_static_cameras_no_scale,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,3,cam_edge_0;cam_edge_1;cam_edge_3,cam_edge_5,,2.6568151732800525,2.809795576448787,3.2854168320067956,0.16734460544468974,0.14353492143766855,0.24906637327574171
