method,status,camera_count,available_cameras,missing_cameras,pair_count_ok,pair_count_total,pair_coverage,mean_pair_t_cm,median_pair_t_cm,max_pair_t_cm,mean_pair_r_deg,median_pair_r_deg,max_pair_r_deg,mean_baseline_error_cm,mean_direction_error_deg,worst_pair,worst_pair_t_cm,worst_pair_r_deg,source,failure_reason,note
AP01,PARTIAL_3_OF_4,3,cam_edge_1;cam_edge_3;cam_edge_5,cam_edge_0,3,6,0.5,57.66013326244746,82.88115885350518,83.4057019773897,3.2709142219817546,3.7654616325842536,4.185650321470137,49.52088318880633,1.9987025739836495,cam3-cam5,83.4057019773897,4.185650321470137,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,cam_edge_0: RuntimeError: No relay multichain aggregate row found for cam3_to_cam0 / COLMAP_motion,Metrics are computed over available pairs only. Partial means are not directly comparable with full six-pair means.
AP02,FAILED_NO_PAIR,0,,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,0,6,0.0,,,,,,,,,,,,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,,
AP03,PARTIAL_2_OF_4,2,cam_edge_0;cam_edge_5,cam_edge_1;cam_edge_3,1,6,0.16666666666666666,22.440278173585984,22.440278173585984,22.440278173585984,1.9337826300790553,1.9337826300790553,1.9337826300790553,19.88783620393706,1.0696784512691893,cam0-cam5,22.440278173585984,1.9337826300790553,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,,Metrics are computed over available pairs only. Partial means are not directly comparable with full six-pair means.
