marker_id,entity_id,corner_idx,x_colmap,y_colmap,z_colmap,target_x_ref14_m,target_y_ref14_m,target_z_ref14_m,obs_count,inlier_count,mean_reproj_px,median_reproj_px,max_reproj_px,used_for_sim3,registered_x_ref14_m,registered_y_ref14_m,registered_z_ref14_m,corner_fit_error_cm
0,marker_000,0,0.8678375956554639,-0.10101148212772097,3.7220741189567224,-2.5831005588238014,-0.10500000028212902,0.8582901844687094,31,31,0.49947177946722177,0.44943236339910037,1.166032429260145,yes,0.9003315480545546,-0.5684453991862193,0.859823252193693,351.41262400905583
0,marker_000,1,1.1906284403015481,-0.09054328935932056,3.708236191588213,-2.583100559368669,0.06499999971787099,0.858290184503577,31,31,0.7413630453290904,0.6830436920297929,1.472978790878459,yes,0.8831992955360741,-0.5202914669017457,0.8555358661417852,351.53674589265944
0,marker_000,2,1.1813439999134538,0.23182973598559717,3.7387633163618648,-2.5168994411761982,0.0649999999621676,0.7017098155230865,31,31,0.49221806376663507,0.40067263122334035,1.2752847421602513,yes,0.9098103330383567,-0.5147310401150488,0.8119136634214633,347.7150103693855
0,marker_000,3,0.85826048122517,0.22266561001258295,3.7519585327467935,-2.5168994406313305,-0.10500000003783241,0.701709815488219,31,31,0.4247304702898507,0.37828923611410264,1.5416057035471962,yes,0.9271533669651719,-0.5628565468197267,0.8161003918745573,347.62361201320016
1,marker_001,0,-0.775501077975198,-0.39444775084242745,2.7107037903293967,-2.1649999997275664,-0.940000000524711,1.229999999534769,32,30,1.2245366792330017,0.9222993313429129,3.780942797129565,yes,1.08921593408662,-0.7591012557618012,1.0143528893194511,326.6366387270594
1,marker_001,1,-1.1037533761278995,-0.4048287463160352,2.7188978916506152,-2.1650000002724337,-1.110000000524711,1.2299999994999014,32,31,0.7477664404895382,0.6648183502838978,1.4351127040450211,yes,1.1073341899961622,-0.80773179539393,1.0192349645524539,329.3016705179342
1,marker_001,2,-1.0908237268102954,-0.5640981469430761,3.0064474275589674,-2.3350000002724336,-1.1099999999798433,1.230000000044769,32,31,1.1467504134813853,1.180211651816614,1.8333979395081133,yes,1.059084147344337,-0.8263063141996334,1.012068249767381,341.2884931584126
1,marker_001,3,-0.7620733377932639,-0.5534043522691233,2.9980165582029157,-2.3349999997275663,-0.9399999999798434,1.2300000000796367,32,31,1.2223410046499779,1.0545128342480705,2.760613812450939,yes,1.0409912572730329,-0.7775813917158174,1.0071623237349212,338.72338864704375
2,marker_002,0,-0.8649755880387442,1.4106041875647906,1.2857618935504602,-1.066899440631331,-0.9400000002657207,0.7782901842974482,14,14,0.36118649036802947,0.34666577188291064,0.6368485564181907,yes,1.4229297018645213,-0.6435551958664704,0.9214557556172722,251.14985689202118
2,marker_002,1,-1.1876808466606628,1.3944849341393348,1.2988219184446568,-1.0668994411761985,-1.1100000002657207,0.7782901842625807,14,14,0.41904720531301887,0.38601163908498304,0.935780497550335,yes,1.4396279294053809,-0.6918041850016168,0.9265317904001197,254.54946028560443
2,marker_002,2,-1.1848029310956156,1.5968272116381241,1.5538530663845134,-1.1331005593686692,-1.110000000021424,0.6217098152820902,14,14,0.8948531260639468,0.6207067001260325,4.007984129670296,yes,1.4288374457622983,-0.7003284774802652,0.876739467798372,260.6990069443726
2,marker_002,3,-0.8631140776572294,1.6071924483719051,1.5438048241660975,-1.1331005588238017,-0.9400000000214241,0.6217098153169578,14,14,0.4221249120925116,0.34050089049303456,0.8148903087864627,yes,1.4113297186443021,-0.6525515190400016,0.8721214612128413,257.2830748128455
3,marker_003,0,2.2459284877595995,3.031076536690571,-0.36385724933411573,0.015,0.7099999999005248,0.4850000001456235,22,22,0.9114898811412696,0.9422742334585535,1.739771024901946,yes,1.5703624589857683,-0.05337341184305083,0.8308691624488754,176.67814867752142
3,marker_003,1,2.2334113127295496,3.1869096276888036,-0.6496160149323245,0.185,0.7099999999005248,0.4850000001456235,22,22,0.7097799581730131,0.712575045091048,1.277219965707033,yes,1.6180678329221496,-0.034931609277216835,0.8382966747880078,165.3307308524853
3,marker_003,2,2.229646832832841,3.475996336967996,-0.4903470973343613,0.185,0.7099999999353924,0.31500000014562346,22,22,0.7791138278663025,0.7423499546349899,1.6911931765360795,yes,1.6265761707893611,-0.036708243318261724,0.7866502588965392,169.06120262527656
3,marker_003,3,2.2428188734551537,3.31929702073875,-0.20387208122977502,0.015,0.7099999999353924,0.31500000014562346,22,22,0.9670303590822683,0.949106843374028,1.4779040036143258,yes,1.5786696481536835,-0.055118043674188544,0.7792561683303905,180.16665004688355
4,marker_004,0,2.2280845670199185,1.5497504296918465,-2.5138197566442075,0.615,0.7099999996544007,1.6850000001456236,9,9,0.5117125292395373,0.49573142554201816,0.7067931014685029,yes,1.6815014292617052,0.025436155514031666,1.222094241655566,134.91977974206583
4,marker_004,1,2.207309723283646,1.7056361646776768,-2.79564454686796,0.7849999999999999,0.7099999996544007,1.6850000001456236,9,9,0.6297794180719257,0.6271820676165929,1.333286431417235,yes,1.7292652075883264,0.042453033901817205,1.2292524013603514,124.29648456597022
4,marker_004,2,2.2045643443372978,1.990921200215527,-2.638064502940579,0.7849999999999999,0.7099999996892684,1.5150000001456236,9,9,0.49873895138600993,0.4273372940599139,0.889621555132715,yes,1.737556195034981,0.040818380137374266,1.1782340032453398,121.1849281599762
4,marker_004,3,2.2192706216235143,1.833445097460564,-2.353696950143485,0.615,0.7099999996892684,1.5150000001456236,9,9,0.6149076693159385,0.6196388502730837,0.9839026068982071,yes,1.68972590613584,0.022730309644914737,1.171117297984292,132.12231881930256
5,marker_005,0,-1.9665490336191038,4.209415045793621,-3.7818780543359654,1.933100559368669,-1.3950000002657206,0.778290184204126,14,14,0.37291178563642535,0.3952902301484431,0.6195071218087675,yes,2.325775806132412,-0.4438940664518444,1.060336870901955,106.69333063665016
5,marker_005,1,-2.2878215552780006,4.193696716166539,-3.769374896832411,1.9331005588238015,-1.5650000002657205,0.7782901841692584,14,14,0.4098264044951509,0.3029061574819463,0.9055746205616196,yes,2.342487100368015,-0.49189192211106,1.0653957847322408,118.38867824555489
