model,image_name,source_type,camera_id,qw,qx,qy,qz,tx,ty,tz
0,moving_frame_0203.png,moving,204,0.7836049369637799,-0.04070133188191685,0.4978651529792458,0.3693737860189604,0.08238853553706807,3.876771955903782,-6.25409769903081
0,moving_frame_0202.png,moving,203,0.7834923333667608,-0.0409446592756693,0.4979589454261948,0.3694593172493286,0.0797846271607307,3.7641387524917223,-6.0801099304182715
0,moving_frame_0199.png,moving,200,0.783509995727528,-0.04175239161448222,0.4982895817211216,0.3688852357274681,0.08165292882074723,3.415722659243629,-5.557233897770386
0,moving_frame_0201.png,moving,202,0.7836158487742664,-0.0412847964326629,0.4980161260170219,0.36908224741959295,0.084029701833672,3.6456799932185397,-5.910139682356892
0,moving_frame_0200.png,moving,201,0.7836231497327736,-0.04152549811191763,0.4980827970574035,0.36894975197839314,0.08457214660258598,3.530997661212781,-5.7321332617201834
0,static_cam_edge_5.png,static,208,0.6364837097296611,-0.0734288193832228,0.6783994090994939,0.35954267822639935,2.1201852090358773,-2.261096168694439,7.651230313101075
0,static_cam_edge_3.png,static,207,0.6817369084194514,0.5055400584585394,0.03726866415082807,-0.5275178515129489,1.1323029980157215,-0.03835526861979406,0.04105119729381831
0,static_cam_edge_1.png,static,206,0.5679968073631376,0.637294584427503,-0.38326203539561665,-0.35262650454704647,0.15045046902094913,-0.3504941892525652,1.277395266285094
0,static_cam_edge_0.png,static,205,0.9342206205278996,-0.13743180291523505,-0.3186729085206694,-0.08241303964125819,0.739473127075363,-0.4652461953328527,10.127373535456822
0,moving_frame_0198.png,moving,199,0.7835989436163832,-0.04209901181726799,0.4982961014079449,0.3686480219517542,0.08534966714043819,3.299364249864482,-5.384217929719977
0,moving_frame_0197.png,moving,198,0.7832913152820006,-0.042206188946300176,0.49879537820877334,0.36861432920600035,0.07530818372181512,3.1840560933089175,-5.207409687712853
0,moving_frame_0196.png,moving,197,0.7832648749196645,-0.042679453845835796,0.499037893832266,0.36828763277628485,0.0748414617218951,3.059322630231789,-5.016541856110607
0,moving_frame_0195.png,moving,196,0.783131075323623,-0.04290359450354232,0.4993390107268821,0.3681379535003696,0.07069164489009323,2.9385180241855293,-4.836555192880723
0,moving_frame_0194.png,moving,195,0.7830633611266248,-0.04328219776916201,0.4997915034356602,0.3676232812416361,0.06875103698211846,2.8125530857652854,-4.643438436877838
0,moving_frame_0192.png,moving,193,0.7830102882261376,-0.04393548960548533,0.4999982997616794,0.36737754629342434,0.06835402088504794,2.571789735611748,-4.261003933406479
0,moving_frame_0193.png,moving,194,0.7830657473156893,-0.043677962577355865,0.49985826621198576,0.3674805908691772,0.0696350224355657,2.6912570544578056,-4.457628239989906
0,moving_frame_0191.png,moving,192,0.7829551425068861,-0.044153938521917055,0.5002590518142095,0.3671138183356392,0.06718920696853525,2.4509697396422685,-4.072499226550931
0,moving_frame_0189.png,moving,190,0.7826344767021578,-0.044188601984014794,0.5005358620245554,0.36741596884073163,0.05970743623911517,2.2218376483491054,-3.6960886876778853
