approach,entity_type,entity_id,marker_id,reference_frame,translation_error_cm,rotation_error_deg,delta_x_cm,delta_y_cm,delta_z_cm,est_ref_aruco_x_m,est_ref_aruco_y_m,est_ref_aruco_z_m,est_ref_aruco_roll_deg,est_ref_aruco_pitch_deg,est_ref_aruco_yaw_deg,est_ref_aruco_rvec_x,est_ref_aruco_rvec_y,est_ref_aruco_rvec_z,gt_ref_aruco_x_m,gt_ref_aruco_y_m,gt_ref_aruco_z_m,gt_ref_aruco_roll_deg,gt_ref_aruco_pitch_deg,gt_ref_aruco_yaw_deg,gt_ref_aruco_rvec_x,gt_ref_aruco_rvec_y,gt_ref_aruco_rvec_z
AP02_ref_marker_graph_ba,static_camera,cam_edge_0,,aruco_marker_14,21.46474226336744,5.251360583892145,-19.35111675879306,5.112562236617801,-7.754427638263195,0.39429676241206935,-1.68342963806194,2.009784023261605,-112.17294878998199,-5.7839423292694265,-3.839963886627246,-1.9584212118089068,-0.0008626668905974961,-0.14290982551236858,0.58780793,-1.734555260428118,2.087328299644237,-112.76486178785166,-1.4967437175878098,-0.8270999106551793,-1.9681387135817818,-0.00288591653676317,-0.035150860818307594
AP02_ref_marker_graph_ba,static_camera,cam_edge_1,,aruco_marker_14,15.194312282582038,2.099374028509762,-10.581530097681613,0.03670690540531485,-10.903990055735413,-4.079982620976816,0.4754535686168664,2.022502779540088,-104.3514367647051,0.9177079490412271,-115.10886258932024,-1.0952029379847308,1.7466255256085,-1.3418109740773887,-3.97416732,0.47508649956281324,2.131542680097442,-106.3641137615459,0.7680855332147687,-114.5596564761897,-1.1237817095292493,1.7685660170970299,-1.3120742046484886
AP02_ref_marker_graph_ba,static_camera,cam_edge_3,,aruco_marker_14,11.35920175904883,2.2926764924344596,-6.207340234729397,-2.068106500325917,-9.285651690452145,-3.289429232347294,-1.5838953254245849,1.9613543827748583,-107.81011301158318,0.6459612209378496,-60.87095695262168,-1.6733228589991023,0.9923995407539558,-0.709054319271033,-3.22735583,-1.5632142604213257,2.0542108996793798,-109.39044885636157,1.9674295392793395,-59.899952456623105,-1.6921873383095052,1.0026170436150015,-0.6660823964587599
AP02_ref_marker_graph_ba,static_camera,cam_edge_5,,aruco_marker_14,42.68410661020393,4.270995026014813,20.854305968891484,-35.05992918574935,-12.563130388456312,6.067401929688915,-0.0021797522961608147,2.013130266186899,-107.90328583202341,6.320790892747315,110.63358136248124,-1.2917109560673328,-1.7151206297468062,1.3514371820125473,5.85885887,0.34841953956133265,2.138761570071462,-109.27065188628556,4.0731791005917914,113.8768191914187,-1.231302161093729,-1.791064682252736,1.3345656692738173
AP02_ref_marker_graph_ba,aruco_marker,marker_000,0,aruco_marker_14,9.523490924740582,2.4822326805967503,-3.237092512274753,-0.910093479913283,-8.910097716546705,-2.5823709251227474,-0.029100934959113544,0.6908990228304309,64.69016087508653,-0.2352341331153979,89.38295372185047,0.8846208613970781,0.8694889998955976,1.3793264593139254,-2.55,-0.020000000159980713,0.779999999995898,67.08168819476708,-1.1751560817591656e-08,90.0000001836389,0.9097065062730295,0.9097065089072717,1.3722901285632265
AP02_ref_marker_graph_ba,aruco_marker,marker_001,1,aruco_marker_14,7.503448474904571,2.2373334121588826,-4.341878339325156,-1.8005275648080632,-5.848754738438999,-2.2934187833932516,-1.0430052759003579,1.171512452405379,2.219307365774331,-0.25156748649929433,-90.13557262572033,0.02694173859901094,-0.033911814278220036,-1.5728602476058382,-2.25,-1.0250000002522772,1.229999999789769,-1.8363890089430702e-07,1.1751560817591656e-08,-90.0000001836389,-2.3561945080071345e-09,2.678370228341281e-09,-1.57079633
AP02_ref_marker_graph_ba,aruco_marker,marker_002,2,aruco_marker_14,4.19613217465863,2.654646182256151,-1.7172266019394478,-1.3014544602822475,-3.6006769242197034,-1.1171722660193946,-1.0380145447463949,0.6639932305475722,69.33696013081881,0.5602796698075643,-88.70547289403075,0.9548618054971215,-0.9204160887376752,-1.34514323313114,-1.1,-1.0250000001435724,0.6999999997897692,67.08168819476708,1.1751560817591656e-08,-90.0000001836389,0.9097065062730295,-0.9097065089072717,-1.3722901285632265
AP02_ref_marker_graph_ba,aruco_marker,marker_003,3,aruco_marker_14,10.654607742379495,1.9000631681321059,7.5474913376244155,5.967421931737182,-4.576670857848486,0.17547491337624416,0.7696742192353304,0.3542332915671386,90.16698892118201,-1.699386355194309,0.8308902540832472,1.5737700105892674,-0.011860006508527594,0.03471512473669778,0.1,0.7099999999179586,0.4000000001456235,90.00000001175157,-0.0,0.0,1.570796327,0.0,0.0
AP02_ref_marker_graph_ba,aruco_marker,marker_004,4,aruco_marker_14,6.053169040441378,13.968071169478446,-2.594850641320856,4.323646347802368,-3.3486844940259886,0.6740514935867914,0.7532364631498583,1.5665131552053637,102.7432863022182,-4.934905136636214,-3.51908964567632,1.7886913591553908,-0.11666413410671966,0.03320434948489147,0.7,0.7099999996718346,1.6000000001456236,90.00000001175157,-0.0,0.0,1.570796327,0.0,0.0
AP02_ref_marker_graph_ba,aruco_marker,marker_005,5,aruco_marker_14,10.976897431843312,2.880645202525293,10.131779513860817,-2.2012481207174917,3.604695246862888,2.001317795138608,-1.5020124813507472,0.7360469521650759,69.82128604323461,-0.45745591295854693,-90.77496009850475,0.9349942514492127,-0.9586336054265856,-1.3621624718952947,1.9,-1.4800000001435722,0.699999999696447,67.08168819476708,1.1751560817591656e-08,-90.0000001836389,0.9097065062730295,-0.9097065089072717,-1.3722901285632265
AP02_ref_marker_graph_ba,aruco_marker,marker_006,6,aruco_marker_14,5.642577007817062,6.052495723274557,2.082955937108677,1.5138719734040458,5.0207729983889005,1.9908295593710867,0.015138719535090156,1.0202077299838892,73.12973622203002,0.011877171844224687,-90.2311676786933,0.9882442451953288,-0.9919622409976202,-1.3376792963345008,1.97,-1.9895030067829111e-10,0.9700000000000002,67.08168819476708,1.1751560817591656e-08,-90.0000001836389,0.9097065062730295,-0.9097065089072717,-1.3722901285632265
AP02_ref_marker_graph_ba,aruco_marker,marker_007,7,aruco_marker_14,5.748941540199529,4.9322165409142755,1.8249736729899269,1.9248744629222492,5.1004566685263875,1.9882497367298992,0.45424874443027224,1.021004566774484,71.82730317111479,-0.22049630503015205,-91.3351831460867,0.960807917554691,-0.9887044261333608,-1.3597685796952974,1.97,0.43499999980104975,0.9700000000892202,67.08168819476708,1.1751560817591656e-08,-90.0000001836389,0.9097065062730295,-0.9097065089072717,-1.3722901285632265
AP02_ref_marker_graph_ba,aruco_marker,marker_008,8,aruco_marker_14,12.129647892208007,4.513042074726862,9.671496606231589,-0.40257870147775154,7.309476162743378,2.746714966062316,-1.0290257872219322,1.0830947614172028,70.74663175149672,-0.7918548133031752,-92.53766674121799,0.9310783957681643,-0.9924171596270224,-1.3784485995681415,2.65,-1.0250000002071546,1.009999999789769,67.08168819476708,1.1751560817591656e-08,-90.0000001836389,0.9097065062730295,-0.9097065089072717,-1.3722901285632265
AP02_ref_marker_graph_ba,aruco_marker,marker_009,9,aruco_marker_14,32.74669839447766,8.563103784895304,14.022145111057593,-27.41469890618174,-11.14270999832292,3.160221451110576,-0.2941469892710229,0.9085729000126688,72.77782043818908,0.9320107830962494,83.71794615942784,1.0130171043078142,0.9279759508162381,1.235542427245751,3.02,-0.020000000209205504,1.019999999995898,67.08168819476708,-1.1751560817591656e-08,90.0000001836389,0.9097065062730295,0.9097065089072717,1.3722901285632265
