camera,trans_err_cm,rot_err_deg,dx_cm,dy_cm,dz_cm,est_x_m,est_y_m,est_z_m,gt_x_m,gt_y_m,gt_z_m,est_roll_deg,est_pitch_deg,est_yaw_deg,gt_roll_deg,gt_pitch_deg,gt_yaw_deg
cam_edge_0,21.465,5.251,-19.351,5.113,-7.754,0.394297,-1.683430,2.009784,0.587808,-1.734555,2.087328,-112.173,-5.784,-3.840,-112.765,-1.497,-0.827
cam_edge_1,15.194,2.099,-10.582,0.037,-10.904,-4.079983,0.475454,2.022503,-3.974167,0.475086,2.131543,-104.351,0.918,-115.109,-106.364,0.768,-114.560
cam_edge_3,11.359,2.293,-6.207,-2.068,-9.286,-3.289429,-1.583895,1.961354,-3.227356,-1.563214,2.054211,-107.810,0.646,-60.871,-109.390,1.967,-59.900
cam_edge_5,42.684,4.271,20.854,-35.060,-12.563,6.067402,-0.002180,2.013130,5.858859,0.348420,2.138762,-107.903,6.321,110.634,-109.271,4.073,113.877
