method,status,pair,from_camera,to_camera,translation_error_cm,rotation_error_deg,baseline_error_cm,direction_error_deg,gt_baseline_m,est_baseline_m,gt_tx_m,gt_ty_m,gt_tz_m,gt_roll_deg,gt_pitch_deg,gt_yaw_deg,gt_rvec_x,gt_rvec_y,gt_rvec_z,est_tx_m,est_ty_m,est_tz_m,est_roll_deg,est_pitch_deg,est_yaw_deg,est_rvec_x,est_rvec_y,est_rvec_z,source,note,available_cameras,missing_cameras,failure_reason
AP01,OK,cam0-cam1,cam_edge_0,cam_edge_1,20.594316364342532,2.8431514336825416,8.461562542869672,2.104822413324733,5.069131069576643,5.153746695005339,-4.590674262084118,-0.9808404021811512,1.9130477582733787,115.90214977992046,57.450670973219815,138.4497834938831,0.05973524746496475,1.862313170365479,0.6890226811483593,-4.58972977867727,-1.1321803550796936,2.0527184898502693,120.56108407752139,57.341398844968204,143.7064773097913,0.02696228886627816,1.9042670146854992,0.6765309379827258,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,AP01 pairwise uses cam3-local camera map; no Ref14/world GT anchor and no map alignment.,,,
AP01,OK,cam0-cam3,cam_edge_0,cam_edge_3,23.37697990388841,4.691905322310258,2.5083723288712,3.475957274893014,3.8191529186563207,3.8442366419450327,-3.8168022097504695,-0.10639583116101115,0.0814237977288359,21.20580374270508,50.53923196926396,36.244334985740466,0.0578006837792782,0.9425257326838137,0.42222897273299825,-3.8267280945287254,-0.31185017681561134,0.19250173255699665,20.146977837690038,54.52399059212286,37.79596817451395,0.002166398684036393,1.0034223821257509,0.4368101238620972,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,AP01 pairwise uses cam3-local camera map; no Ref14/world GT anchor and no map alignment.,,,
AP01,OK,cam0-cam5,cam_edge_0,cam_edge_5,272.17234637279614,22.251836542108084,41.742127635066595,28.54204635241945,5.667927964501032,5.250506688150366,5.239989224744796,-0.7565583592593794,2.023744001687466,121.10918727720495,-59.18839253897587,-144.80607014753681,-0.005927455730751902,-1.890899029153531,-0.6597478523861177,3.5743419252367765,-2.82897806993479,2.6055293826081485,125.60823210970311,-53.66692431225576,-169.98234108138257,-0.33901985510829097,-2.0125355720480003,-0.9238445951397555,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,AP01 pairwise uses cam3-local camera map; no Ref14/world GT anchor and no map alignment.,,,
AP01,OK,cam1-cam3,cam_edge_1,cam_edge_3,6.693538956447548,1.8616307118908735,0.06579721552970597,1.7658104034511908,2.1721826797050396,2.1715247075497426,1.5443865298310695,-0.37572219903458537,1.4805676849234315,5.14537888201856,-52.158716168945,-19.440987313922378,-0.07152290562849599,-0.9138098031455153,-0.27444766234862317,1.4962875342372073,-0.3923789127319825,1.5240347631299622,4.103437657451068,-50.547020685123066,-19.294124993743416,-0.08210289213801972,-0.8837216404385971,-0.2828600748419092,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,AP01 pairwise uses cam3-local camera map; no Ref14/world GT anchor and no map alignment.,,,
AP01,OK,cam1-cam5,cam_edge_1,cam_edge_5,281.2040338522109,24.07695172792342,147.70037945368503,15.168257898556744,9.833844654272019,8.356840859735168,-3.9715362540357773,-2.4903976924727136,8.64461218335215,133.3021054862451,43.91477015093176,156.52751785874057,0.07074491249427345,2.1743406180104214,0.7301083985994897,-4.558292311826022,-3.4798225295214666,6.078617895370776,99.3112996203886,49.91881651571208,135.2640457329419,0.02476489537237837,1.780666208838328,1.0075069878614062,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,AP01 pairwise uses cam3-local camera map; no Ref14/world GT anchor and no map alignment.,,,
AP01,OK,cam3-cam5,cam_edge_3,cam_edge_5,305.64715920831514,25.54090078249612,110.41659969873425,18.819805243445384,9.285515073252315,8.181349076264972,2.8983748134908356,-3.1018777282117966,8.2582424386392,141.70501809791045,-7.866545909544565,176.3434827013253,-0.15963022206593686,-2.8589394874323952,-0.9996874983186078,0.533786991,-4.435500984,6.853894891,122.64715071799999,3.264618835,164.117016152,0.3198312739317689,2.586701100772282,1.4014643113573657,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,AP01 pairwise uses cam3-local camera map; no Ref14/world GT anchor and no map alignment.,,,
AP02,OK,cam0-cam1,cam_edge_0,cam_edge_1,16.222681117082335,0.8136471856081836,12.694524525764983,1.1276574901720329,5.069131069576643,5.1960763148342926,-4.590674262084118,-0.9808404021811512,1.9130477582733787,115.90214977992046,57.450670973219815,138.4497834938831,0.05973524746496475,1.862313170365479,0.6890226811483593,-4.737458211162239,-1.0330155566793993,1.867773440953628,115.00836889684595,56.831232337719975,137.90676173336033,0.06598287693667361,1.860587804286808,0.7043612740917102,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,
AP02,OK,cam0-cam3,cam_edge_0,cam_edge_3,9.317033084328989,1.1860675130845575,4.377704867267118,1.2268735239601443,3.8191529186563207,3.862929967328992,-3.8168022097504695,-0.10639583116101115,0.0814237977288359,21.20580374270508,50.53923196926396,36.244334985740466,0.0578006837792782,0.9425257326838137,0.42222897273299825,-3.862558126641791,-0.04649710354430048,0.026658397622731922,23.047287730947048,50.36059002714466,37.66457735873761,0.07650729793787468,0.9483929939550069,0.4309011378624081,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,
AP02,OK,cam0-cam5,cam_edge_0,cam_edge_5,26.215404578848258,2.5775755846770627,25.67876230430004,0.5217709928291699,5.667927964501032,5.924715587544032,5.239989224744796,-0.7565583592593794,2.023744001687466,121.10918727720495,-59.18839253897587,-144.80607014753681,-0.005927455730751902,-1.890899029153531,-0.6597478523861177,5.497563031235068,-0.779865604100241,2.0666071591925954,117.3855245146304,-57.61423804231572,-141.0318700520435,0.03247409333673291,-1.876253008739222,-0.6939399426476656,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,
AP02,OK,cam1-cam3,cam_edge_1,cam_edge_3,13.90960668040902,0.5437232193097932,9.240854589159841,2.6859600469545097,2.1721826797050396,2.264591225596638,1.5443865298310695,-0.37572219903458537,1.4805676849234315,5.14537888201856,-52.158716168945,-19.440987313922378,-0.07152290562849599,-0.9138098031455153,-0.27444766234862317,1.5477365769895977,-0.3462780633993019,1.6164703554678126,5.387536389268464,-51.92290504697038,-19.16518093608801,-0.06466808269995918,-0.9103738830225319,-0.2684453403563649,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,
