variant,method,status,camera_count,available_cameras,missing_cameras,pair_count_ok,pair_count_total,pair_coverage,mean_pair_t_cm,median_pair_t_cm,max_pair_t_cm,mean_pair_r_deg,median_pair_r_deg,max_pair_r_deg,mean_baseline_error_cm,mean_direction_error_deg,worst_pair,worst_pair_t_cm,worst_pair_r_deg,source,failure_reason,note
density_route2_125pct_recaptured,AP01,OK_FULL,4,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,6,6,1.0,38.39881333972843,40.87971380688148,54.158232266938725,3.1433643568536986,3.4359641815780955,4.826059939026522,14.017293003909145,3.8664766713637797,cam0-cam1,54.158232266938725,4.623122535118067,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,,
density_route2_125pct_recaptured,AP02,OK_FULL,4,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,6,6,1.0,4.950035312884416,5.1181201179895215,8.083907694889696,0.39260853512331767,0.3507936277087791,0.691911931907807,3.9584822582091395,0.24795510091947,cam1-cam5,8.083907694889696,0.3938902409795417,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,,
density_route2_125pct_recaptured,AP03,OK_FULL,4,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,6,6,1.0,2.710100424177748,2.427645547809463,4.259813811758045,0.06247046982202417,0.06275744933589568,0.08719597440633296,2.6668260041060825,0.0452704426013098,cam1-cam5,4.259813811758045,0.06545715824153964,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,,
density_stride_16_6p25pct,AP01,PARTIAL_2_OF_4,2,cam_edge_1;cam_edge_3,cam_edge_0;cam_edge_5,1,6,0.16666666666666666,9.9117812816249,9.9117812816249,9.9117812816249,0.3083434178214181,0.3083434178214181,0.3083434178214181,5.7945072626551575,2.0935118287336505,cam1-cam3,9.9117812816249,0.3083434178214181,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,cam_edge_0: RuntimeError: Missing CSV: results/bus_real_data/01_marker_direct_relay_multimarker_multichain/06_moving_relay_chain_eval/relay_chain_multichain_aggregate.csv; cam_edge_5: RuntimeError: Missing CSV: results/bus_real_data/01_marker_direct_relay_multimarker_multichain/06_moving_relay_chain_eval/relay_chain_multichain_aggregate.csv,Metrics are computed over available pairs only. Partial means are not directly comparable with full six-pair means.
density_stride_16_6p25pct,AP02,OK_FULL,4,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,6,6,1.0,11.170791578911606,11.340844619438254,17.891625722902816,0.8665027115969884,0.8542027144949176,1.6210256937359435,8.945852604033815,0.5024498928023525,cam3-cam5,17.891625722902816,0.22165999068065337,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,,
density_stride_16_6p25pct,AP03,FAILED_NO_PAIR,0,,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,0,6,0.0,,,,,,,,,,,,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,,
density_stride_1_100pct,AP01,OK_FULL,4,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,6,6,1.0,27.502056873359454,27.907335314737217,43.1518719200443,1.918409982275535,2.1417483209061405,2.8254398922128923,9.684752369332875,2.4561402537335733,cam0-cam5,43.1518719200443,2.649552885230264,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,,
density_stride_1_100pct,AP02,OK_FULL,4,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,6,6,1.0,5.4695312742205955,5.20417682093533,9.301430523974297,0.33320545691115533,0.318725866723728,0.6272630160965519,4.829586517992664,0.21162984413974958,cam1-cam5,9.301430523974297,0.16615991812500058,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,,
density_stride_1_100pct,AP03,OK_FULL,4,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,6,6,1.0,2.9243535262531846,2.694143753561672,4.754442504661829,0.07026461265792011,0.07799877766157368,0.08775058993744946,2.885215194630364,0.04243987566918029,cam1-cam5,4.754442504661829,0.0806000975270912,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,,
density_stride_2_50pct,AP01,OK_FULL,4,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,6,6,1.0,37.786405596641394,40.05040888437736,52.48188473863632,3.069948230237758,3.311133517608882,4.518462229218923,14.180964121829172,3.771166659350205,cam0-cam1,52.48188473863632,4.317984911332264,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,,
density_stride_2_50pct,AP02,OK_FULL,4,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,6,6,1.0,5.669798134240526,5.444886421209293,9.196156250497095,0.4683660914603349,0.4390360107895665,0.849975569327382,4.614513537676879,0.25751186411454546,cam1-cam5,9.196156250497095,0.11683598144036461,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,,
density_stride_2_50pct,AP03,OK_FULL,4,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,6,6,1.0,2.9419549975376094,2.700578023974595,4.776627787434744,0.11542836198198547,0.10578911307153535,0.18719660084135425,2.8581830088741267,0.06349061956310392,cam1-cam5,4.776627787434744,0.10244150950781107,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,,
density_stride_4_25pct,AP01,OK_FULL,4,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,6,6,1.0,43.69735749788375,45.92227069718891,64.07171814435425,3.264458669134978,3.5569289115996403,4.992090882681608,17.250457251866173,4.2142968734410795,cam0-cam5,64.07171814435425,4.504577276156222,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,,
density_stride_4_25pct,AP02,OK_FULL,4,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,6,6,1.0,8.30405219465694,8.734166814085032,13.017194820715103,0.651746176562466,0.6382203000111117,1.1543317321651396,6.333336766788068,0.4258084203266204,cam1-cam5,13.017194820715103,0.2882108169342158,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,,
density_stride_4_25pct,AP03,OK_FULL,4,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,6,6,1.0,4.520921775135541,4.168624539527534,7.120741637578623,0.0649850997124936,0.0664084831011833,0.10517039293064415,4.484216054933743,0.04624787204931319,cam1-cam5,7.120741637578623,0.05368523052335786,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,,
density_stride_8_12p5pct,AP01,OK_FULL,4,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,6,6,1.0,14.518234254832004,13.688572788887065,22.396901881651345,1.7456691155545727,1.55432722567413,3.061635808450329,4.601739759010681,1.4643642342505263,cam1-cam5,22.396901881651345,3.061635808450329,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,,
density_stride_8_12p5pct,AP02,OK_FULL,4,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,6,6,1.0,8.802064475750049,9.01052273154491,13.608799050332046,0.7429180564269245,0.7325276207803736,1.3790910791282032,7.0106880802047895,0.4465772560379724,cam1-cam5,13.608799050332046,0.12692878766426166,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,,
density_stride_8_12p5pct,AP03,OK_FULL,4,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,6,6,1.0,5.90521610343109,5.683220439736921,9.646749324729496,0.18986705213777832,0.20565708605184463,0.2875878818760442,5.4942894236216375,0.1736266610519668,cam3-cam5,9.646749324729496,0.2875878818760442,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,,
density_stride_8_offset4,AP01,OK_FULL,4,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,6,6,1.0,13.52600545594349,12.289565913622596,22.74257220266557,1.3772296743989365,1.217607209315821,2.3289038724663573,4.318440581201011,1.3444442783686685,cam1-cam5,22.74257220266557,2.3289038724663573,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,,
density_stride_8_offset4,AP02,OK_FULL,4,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,6,6,1.0,9.25438327979093,10.08589115219263,13.97182570310882,0.8233717687557934,0.8077542722862354,1.580353456585512,6.702094964072444,0.49196108244652104,cam1-cam5,13.97182570310882,0.3027253323467937,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,,
density_stride_8_offset4,AP03,PARTIAL_3_OF_4,3,cam_edge_0;cam_edge_1;cam_edge_3,cam_edge_5,3,6,0.5,4.780160751653265,4.862221919075262,5.995274207882688,0.2681195887259763,0.35695466687734373,0.3915316890951362,4.481365459271587,0.21436259487415468,cam0-cam1,5.995274207882688,0.35695466687734373,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,,Metrics are computed over available pairs only. Partial means are not directly comparable with full six-pair means.
