group,variant,parameter,method,status,pair,from_camera,to_camera,translation_error_cm,rotation_error_deg,baseline_error_cm,direction_error_deg,gt_baseline_m,est_baseline_m,available_cameras,missing_cameras,source,failure_reason,note,est_pitch_deg,est_roll_deg,est_rvec_x,est_rvec_y,est_rvec_z,est_tx_m,est_ty_m,est_tz_m,est_yaw_deg,gt_pitch_deg,gt_roll_deg,gt_rvec_x,gt_rvec_y,gt_rvec_z,gt_tx_m,gt_ty_m,gt_tz_m,gt_yaw_deg
moving_cam/fov,fov_40deg,40 deg,AP01,OK,cam0-cam1,cam_edge_0,cam_edge_1,14.845608942647859,1.877309392382426,13.397137952682847,0.7135688085798684,5.069131069576643,5.203102449103471,cam_edge_0;cam_edge_1;cam_edge_3,cam_edge_5,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,cam_edge_5: RuntimeError: No relay multichain aggregate row found for cam3_to_cam5 / COLMAP_motion,,57.945230782198635,116.78512540351346,0.07996899485280244,1.8608394165424496,0.656776710999306,-4.735163556292461,-0.9539686222159467,1.9340230243856145,137.44766322542563,57.450670973219815,115.90214977992046,0.05973524746496475,1.862313170365479,0.6890226811483593,-4.590674262084118,-0.9808404021811512,1.9130477582733787,138.4497834938831
moving_cam/fov,fov_40deg,40 deg,AP01,OK,cam0-cam3,cam_edge_0,cam_edge_3,7.288205483244867,2.1355094683663003,5.725433067076802,0.6715434761720939,3.8191529186563207,3.8764072493270887,cam_edge_0;cam_edge_1;cam_edge_3,cam_edge_5,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,cam_edge_5: RuntimeError: No relay multichain aggregate row found for cam3_to_cam5 / COLMAP_motion,,52.41682036782933,20.007349322843062,0.040639772771127874,0.9666472993285045,0.3970757733653553,-3.8721803348393777,-0.13936980393191234,0.11544988034116654,34.614987592835014,50.53923196926396,21.20580374270508,0.0578006837792782,0.9425257326838137,0.42222897273299825,-3.8168022097504695,-0.10639583116101115,0.0814237977288359,36.244334985740466
moving_cam/fov,fov_40deg,40 deg,AP01,MISSING_CAMERA,cam0-cam5,cam_edge_0,cam_edge_5,,,,,5.667927964501032,,cam_edge_0;cam_edge_1;cam_edge_3,cam_edge_5,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,cam_edge_5: RuntimeError: No relay multichain aggregate row found for cam3_to_cam5 / COLMAP_motion,missing cam_edge_5,,,,,,,,,,-59.18839253897587,121.10918727720495,-0.005927455730751902,-1.890899029153531,-0.6597478523861177,5.239989224744796,-0.7565583592593794,2.023744001687466,-144.80607014753681
moving_cam/fov,fov_40deg,40 deg,AP01,OK,cam1-cam3,cam_edge_1,cam_edge_3,6.693538956447548,1.8616307118908735,0.06579721552970597,1.7658104034511908,2.1721826797050396,2.1715247075497426,cam_edge_0;cam_edge_1;cam_edge_3,cam_edge_5,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,cam_edge_5: RuntimeError: No relay multichain aggregate row found for cam3_to_cam5 / COLMAP_motion,,-50.547020685123066,4.103437657451068,-0.08210289213801972,-0.8837216404385971,-0.2828600748419092,1.4962875342372073,-0.3923789127319825,1.5240347631299622,-19.294124993743416,-52.158716168945,5.14537888201856,-0.07152290562849599,-0.9138098031455153,-0.27444766234862317,1.5443865298310695,-0.37572219903458537,1.4805676849234315,-19.440987313922378
moving_cam/fov,fov_40deg,40 deg,AP01,MISSING_CAMERA,cam1-cam5,cam_edge_1,cam_edge_5,,,,,9.833844654272019,,cam_edge_0;cam_edge_1;cam_edge_3,cam_edge_5,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,cam_edge_5: RuntimeError: No relay multichain aggregate row found for cam3_to_cam5 / COLMAP_motion,missing cam_edge_5,,,,,,,,,,43.91477015093176,133.3021054862451,0.07074491249427345,2.1743406180104214,0.7301083985994897,-3.9715362540357773,-2.4903976924727136,8.64461218335215,156.52751785874057
moving_cam/fov,fov_40deg,40 deg,AP01,MISSING_CAMERA,cam3-cam5,cam_edge_3,cam_edge_5,,,,,9.285515073252315,,cam_edge_0;cam_edge_1;cam_edge_3,cam_edge_5,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,cam_edge_5: RuntimeError: No relay multichain aggregate row found for cam3_to_cam5 / COLMAP_motion,missing cam_edge_5,,,,,,,,,,-7.866545909544565,141.70501809791045,-0.15963022206593686,-2.8589394874323952,-0.9996874983186078,2.8983748134908356,-3.1018777282117966,8.2582424386392,176.3434827013253
moving_cam/fov,fov_40deg,40 deg,AP02,OK,cam0-cam1,cam_edge_0,cam_edge_1,24.178688364250007,2.6338289703990583,16.821219222119144,1.931419354342729,5.069131069576643,5.237343261797834,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,,,55.70124250164213,119.46520398867035,0.06888690097460116,1.9084078772096618,0.6885419525608696,-4.670800510917223,-1.0222415909522744,2.137383718203625,141.59101700504914,57.450670973219815,115.90214977992046,0.05973524746496475,1.862313170365479,0.6890226811483593,-4.590674262084118,-0.9808404021811512,1.9130477582733787,138.4497834938831
moving_cam/fov,fov_40deg,40 deg,AP02,OK,cam0-cam3,cam_edge_0,cam_edge_3,15.440202165830513,2.464251433898321,5.6165906176205205,2.1421130434163427,3.8191529186563207,3.875318824832526,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,,,52.45608581135542,23.660821646123075,0.0701404268447506,0.9841157637620996,0.4188131948148479,-3.8684649312079804,-0.06518147568083665,0.22096706845920533,37.91340118947009,50.53923196926396,21.20580374270508,0.0578006837792782,0.9425257326838137,0.42222897273299825,-3.8168022097504695,-0.10639583116101115,0.0814237977288359,36.244334985740466
moving_cam/fov,fov_40deg,40 deg,AP02,OK,cam0-cam5,cam_edge_0,cam_edge_5,1170.0037734241703,142.48607835403683,185.69844813445098,124.35827809014637,5.667927964501032,7.524912445845541,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,,,-53.036041138994015,-148.260648943363,-2.3777971455655114,-0.255941319072033,-1.2034862882574695,-6.294057007301242,-1.4765453709591991,3.850839840084527,-3.86011318959444,-59.18839253897587,121.10918727720495,-0.005927455730751902,-1.890899029153531,-0.6597478523861177,5.239989224744796,-0.7565583592593794,2.023744001687466,-144.80607014753681
moving_cam/fov,fov_40deg,40 deg,AP02,OK,cam1-cam3,cam_edge_1,cam_edge_3,15.473713439804651,0.6290109699747277,11.525239524864528,2.6541593954165434,2.1721826797050396,2.287435074953685,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,,,-52.54534402098056,5.557908542421414,-0.06530721280956553,-0.9214115997072183,-0.26882768457397976,1.563948626693445,-0.35068111901627774,1.6320069448251586,-19.340206168533744,-52.158716168945,5.14537888201856,-0.07152290562849599,-0.9138098031455153,-0.27444766234862317,1.5443865298310695,-0.37572219903458537,1.4805676849234315,-19.440987313922378
