group,variant,parameter,method,status,camera_count,available_cameras,missing_cameras,pair_count_ok,pair_count_total,pair_coverage,mean_pair_t_cm,median_pair_t_cm,max_pair_t_cm,mean_pair_r_deg,median_pair_r_deg,max_pair_r_deg,mean_baseline_error_cm,mean_direction_error_deg,worst_pair,worst_pair_t_cm,worst_pair_r_deg,source,failure_reason,note
moving_cam/fov,fov_140deg_extreme,140 deg,AP03,OK_FULL,4,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,6,6,1.0,14.031948256688196,12.71504407883943,23.36406561389861,0.024849028505087106,0.026876904224977703,0.03721025810661804,14.026364592303864,0.03468136771970027,cam1-cam5,23.36406561389861,0.03646072276520677,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,,
moving_cam/motion_blur,moving_blur_k00_baseline,kernel 0 baseline,AP01,OK_FULL,4,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,6,6,1.0,27.502056873359454,27.907335314737217,43.1518719200443,1.918409982275535,2.1417483209061405,2.8254398922128923,9.684752369332875,2.4561402537335733,cam0-cam5,43.1518719200443,2.649552885230264,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,,
moving_cam/motion_blur,moving_blur_k00_baseline,kernel 0 baseline,AP02,OK_FULL,4,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,6,6,1.0,5.4695312742205955,5.20417682093533,9.301430523974297,0.33320545691115533,0.318725866723728,0.6272630160965519,4.829586517992664,0.21162984413974958,cam1-cam5,9.301430523974297,0.16615991812500058,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,,
moving_cam/motion_blur,moving_blur_k00_baseline,kernel 0 baseline,AP03,OK_FULL,4,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,6,6,1.0,2.9243535262531846,2.694143753561672,4.754442504661829,0.07026461265792011,0.07799877766157368,0.08775058993744946,2.885215194630364,0.04243987566918029,cam1-cam5,4.754442504661829,0.0806000975270912,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,,
moving_cam/motion_blur,moving_blur_k09_mild,kernel 9,AP01,OK_FULL,4,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,6,6,1.0,37.90819894936042,40.29599182811613,55.67322917344784,3.774290199261024,3.6517142093346493,6.010483938911899,18.76617947257766,3.6001975316376726,cam0-cam1,55.67322917344784,5.870052318199559,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,,
moving_cam/motion_blur,moving_blur_k09_mild,kernel 9,AP02,OK_FULL,4,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,6,6,1.0,13.457274015532027,10.27657399606938,24.049093463273422,1.4887616982839822,1.5591276212104315,2.4514453068004576,4.137587428209873,1.3081360306438292,cam0-cam3,24.049093463273422,2.4514453068004576,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,,
moving_cam/motion_blur,moving_blur_k09_mild,kernel 9,AP03,OK_FULL,4,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,6,6,1.0,10.273954047196076,9.13189632705982,16.61421464642427,0.16000077197839016,0.15564518978614608,0.3069176324430441,10.235571454397574,0.08723812764495618,cam1-cam5,16.61421464642427,0.07576283382107973,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,,
moving_cam/motion_blur,moving_blur_k21_strong,kernel 21,AP01,PARTIAL_3_OF_4,3,cam_edge_1;cam_edge_3;cam_edge_5,cam_edge_0,3,6,0.5,515.9008219122659,767.3907541565999,770.3999302985728,40.11451395857548,59.985355749342745,60.04984270856228,160.90585769094324,35.644675247967285,cam3-cam5,770.3999302985728,59.985355749342745,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,cam_edge_0: RuntimeError: No relay multichain aggregate row found for cam3_to_cam0 / COLMAP_motion,Metrics are computed over available pairs only. Partial means are not directly comparable with full six-pair means.
moving_cam/motion_blur,moving_blur_k21_strong,kernel 21,AP02,PARTIAL_3_OF_4,3,cam_edge_0;cam_edge_1;cam_edge_3,cam_edge_5,3,6,0.5,17.196009894879907,23.108561342390022,27.069363132734743,2.0768885364933825,2.9197608872830676,3.0368304202790743,5.251434659490251,2.1492249737907314,cam0-cam3,27.069363132734743,2.9197608872830676,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,,Metrics are computed over available pairs only. Partial means are not directly comparable with full six-pair means.
moving_cam/motion_blur,moving_blur_k21_strong,kernel 21,AP03,FAILED_NO_PAIR,1,cam_edge_5,cam_edge_0;cam_edge_1;cam_edge_3,0,6,0.0,,,,,,,,,,,,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,,
moving_cam/motion_blur,moving_blur_k41_extreme,kernel 41,AP01,FAILED_NO_PAIR,0,,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,0,6,0.0,,,,,,,,,,,,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,,
moving_cam/motion_blur,moving_blur_k41_extreme,kernel 41,AP02,PARTIAL_3_OF_4,3,cam_edge_0;cam_edge_1;cam_edge_3,cam_edge_5,3,6,0.5,17.196164949285606,23.1087564030698,27.069585825721592,2.0768990152268016,2.9197822028558438,3.0368481868674206,5.251378315835709,2.149248386438957,cam0-cam3,27.069585825721592,2.9197822028558438,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,,Metrics are computed over available pairs only. Partial means are not directly comparable with full six-pair means.
moving_cam/motion_blur,moving_blur_k41_extreme,kernel 41,AP03,FAILED_NO_PAIR,0,,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,0,6,0.0,,,,,,,,,,,,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,RuntimeError: Too few marker-size scale observations: 0,RuntimeError: Too few marker-size scale observations: 0
moving_cam/res,moving_res_160x90_extreme_pixel,160x90,AP01,PARTIAL_2_OF_4,2,cam_edge_1;cam_edge_3,cam_edge_0;cam_edge_5,1,6,0.16666666666666666,9.9117812816249,9.9117812816249,9.9117812816249,0.3083434178214181,0.3083434178214181,0.3083434178214181,5.7945072626551575,2.0935118287336505,cam1-cam3,9.9117812816249,0.3083434178214181,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,cam_edge_0: RuntimeError: Missing CSV: results/bus_real_data/01_marker_direct_relay_multimarker_multichain/06_moving_relay_chain_eval/relay_chain_multichain_aggregate.csv; cam_edge_5: RuntimeError: Missing CSV: results/bus_real_data/01_marker_direct_relay_multimarker_multichain/06_moving_relay_chain_eval/relay_chain_multichain_aggregate.csv,Metrics are computed over available pairs only. Partial means are not directly comparable with full six-pair means.
moving_cam/res,moving_res_160x90_extreme_pixel,160x90,AP02,OK_FULL,4,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,6,6,1.0,271.98990294593693,275.6691845181572,526.6976517106103,18.919377464370292,19.273318616444794,36.06946268281964,27.79460484873665,21.7180407649362,cam0-cam5,526.6976517106103,36.06946268281964,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,,
moving_cam/res,moving_res_160x90_extreme_pixel,160x90,AP03,FAILED_NO_PAIR,1,cam_edge_5,cam_edge_0;cam_edge_1;cam_edge_3,0,6,0.0,,,,,,,,,,,,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,,
moving_cam/res,moving_res_320x180_low,320x180,AP01,PARTIAL_2_OF_4,2,cam_edge_1;cam_edge_3,cam_edge_0;cam_edge_5,1,6,0.16666666666666666,9.9117812816249,9.9117812816249,9.9117812816249,0.3083434178214181,0.3083434178214181,0.3083434178214181,5.7945072626551575,2.0935118287336505,cam1-cam3,9.9117812816249,0.3083434178214181,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,cam_edge_0: RuntimeError: Missing CSV: results/bus_real_data/01_marker_direct_relay_multimarker_multichain/06_moving_relay_chain_eval/relay_chain_multichain_aggregate.csv; cam_edge_5: RuntimeError: Missing CSV: results/bus_real_data/01_marker_direct_relay_multimarker_multichain/06_moving_relay_chain_eval/relay_chain_multichain_aggregate.csv,Metrics are computed over available pairs only. Partial means are not directly comparable with full six-pair means.
moving_cam/res,moving_res_320x180_low,320x180,AP02,OK_FULL,4,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,6,6,1.0,261.7526683011827,271.95792974239794,477.2722454690163,23.274246332565372,23.31744791924735,45.89480626152251,37.60179513130668,22.010017424040182,cam0-cam5,477.2722454690163,45.89480626152251,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,,
