variant,parameter,final_results_exists,AP01_STATUS,AP02_STATUS,AP03_STATUS,PAIRWISE_STATUS,SECONDARY_STATUS,AP01_mean_t_cm,AP01_mean_r_deg,AP01_worst_pair,AP01_worst_t_cm,AP01_worst_r_deg,AP02_mean_t_cm,AP02_mean_r_deg,AP02_worst_pair,AP02_worst_t_cm,AP02_worst_r_deg,AP03_mean_t_cm,AP03_mean_r_deg,AP03_worst_pair,AP03_worst_t_cm,AP03_worst_r_deg,AP01_delta_t_cm_vs_baseline,AP01_delta_r_deg_vs_baseline,AP02_delta_t_cm_vs_baseline,AP02_delta_r_deg_vs_baseline,AP03_delta_t_cm_vs_baseline,AP03_delta_r_deg_vs_baseline
01_shared_observations,fov,False,,,,,,,,,,,,,,,,,,,,,,,,,,
99_summary,fov,False,,,,,,,,,,,,,,,,,,,,,,,,,,
fov_100deg,fov,True,OK_FULL,OK_FULL,OK_FULL,OK,OK,,,,,,,,,,,,,,,,,,,,,
fov_140deg_extreme,fov,True,OK_FULL,OK_FULL,OK_FULL,OK,OK,,,,,,,,,,,,,,,,,,,,,
fov_40deg,fov,True,PARTIAL_3_OF_4,OK_FULL,PARTIAL_3_OF_4,OK,OK,,,,,,,,,,,,,,,,,,,,,
fov_69deg_baseline,fov,True,OK_FULL,OK_FULL,OK_FULL,OK,OK,,,,,,,,,,,,,,,,,,,,,
