variant,AP01_STATUS,AP02_STATUS,AP03_STATUS,PAIRWISE_STATUS,SECONDARY_STATUS
fov_100deg,OK_FULL,OK_FULL,OK_FULL,OK,OK
fov_140deg_extreme,OK_FULL,OK_FULL,OK_FULL,OK,OK
fov_40deg,OK_FULL,OK_FULL,SCALE_WEAK_CHECK_REQUIRED,OK,OK
fov_69deg_baseline,OK_FULL,OK_FULL,OK_FULL,OK,OK
