variant,AP01_STATUS,AP02_STATUS,AP03_STATUS,PAIRWISE_STATUS,SECONDARY_STATUS
fov_100deg,OK,OK,OK,OK,OK
fov_140deg_extreme,OK,OK,OK,OK,OK
fov_40deg,OK,OK,FAILED,OK,OK
fov_69deg_baseline,OK,OK,OK,OK,OK
