camera,status,detected_ids,num_detected,debug_image
front_static_camera,no_markers,,0,results/beintelli_bus_model/aruco_visibility/textured_markers_material_script/debug_images/front_static_camera_aruco_visibility.png
rear_static_camera,no_markers,,0,results/beintelli_bus_model/aruco_visibility/textured_markers_material_script/debug_images/rear_static_camera_aruco_visibility.png
