group,image_count,image_list_path,camera_info_path,camera_model,camera_params,width,height,camera_id,database_model_id,database_width,database_height
cam_edge_0,1,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/results/real_vehicle_data/real_05x_4k_3hz_v1/04_ap03_real/02_colmap_sparse/camera_groups/cam_edge_0.txt,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/results/real_vehicle_data/real_05x_4k_3hz_v1/00_shared_input/raw_images/camera_info/cam_edge_0.json,PINHOLE,"929.03515625,929.0380859375,636.66033935546875,365.68624877929688",1280,720,1,1,1280,720
cam_edge_1,1,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/results/real_vehicle_data/real_05x_4k_3hz_v1/04_ap03_real/02_colmap_sparse/camera_groups/cam_edge_1.txt,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/results/real_vehicle_data/real_05x_4k_3hz_v1/00_shared_input/raw_images/camera_info/cam_edge_1.json,PINHOLE,"929.59356689453125,930.330078125,655.25823974609375,353.51751708984375",1280,720,2,1,1280,720
cam_edge_3,1,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/results/real_vehicle_data/real_05x_4k_3hz_v1/04_ap03_real/02_colmap_sparse/camera_groups/cam_edge_3.txt,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/results/real_vehicle_data/real_05x_4k_3hz_v1/00_shared_input/raw_images/camera_info/cam_edge_3.json,PINHOLE,"919.951171875,920.00689697265625,661.20947265625,356.6334228515625",1280,720,3,1,1280,720
cam_edge_5,1,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/results/real_vehicle_data/real_05x_4k_3hz_v1/04_ap03_real/02_colmap_sparse/camera_groups/cam_edge_5.txt,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/results/real_vehicle_data/real_05x_4k_3hz_v1/00_shared_input/raw_images/camera_info/cam_edge_5.json,PINHOLE,"927.202392578125,927.36883544921875,651.477294921875,358.7645263671875",1280,720,4,1,1280,720
moving_calib_camera,232,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/results/real_vehicle_data/real_05x_4k_3hz_v1/04_ap03_real/02_colmap_sparse/camera_groups/moving_calib_camera.txt,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/results/real_vehicle_data/real_05x_4k_3hz_v1/00_shared_input/raw_images/camera_info/moving_calib_camera.json,FULL_OPENCV,"1713.9955955774601,1715.413329053988,1916.8763303257203,1087.5219440582887,0.0043144272039170369,-0.023151932458517994,-6.7987766234822768e-05,-4.7173090785107653e-05,0.014071281082948448,0,0,0",3840,2160,5,6,3840,2160
