ROUTE ABLATION — DETAILED REF14/WORLD MAP-TO-GT RESULTS
====================================================================================================

####################################################################################################
Route 1 — route1
####################################################################################################

{'method': 'AP03', 'camera': 'cam_edge_5', 'status': 'OK', 'alignment': 'SE3_available_static_cameras_no_scale', 'source_file': 'results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv', 'translation_error_cm': '2.9915770362247662', 'rotation_error_deg': '0.0701392537873903', 'aligned_est_x_m': '5.888215819231725', 'aligned_est_y_m': '0.35403609513917333', 'aligned_est_z_m': '2.1400173893913097', 'gt_x_m': '5.85885887', 'gt_y_m': '0.3484195331450478', 'gt_z_m': '2.1387615711167207'}

####################################################################################################
Route 2 — route2
####################################################################################################

{'method': 'AP01', 'camera': 'cam_edge_0', 'status': 'OK', 'alignment': 'SE3_available_static_cameras_no_scale', 'source_file': 'results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv', 'translation_error_cm': '13.146654128949853', 'rotation_error_deg': '2.837949766038562', 'aligned_est_x_m': '0.605118560567576', 'aligned_est_y_m': '-1.6043771022884386', 'aligned_est_z_m': '2.0812095477560364', 'gt_x_m': '0.58780793', 'gt_y_m': '-1.7345552666901032', 'gt_z_m': '2.087328294440571'}
{'method': 'AP01', 'camera': 'cam_edge_1', 'status': 'OK', 'alignment': 'SE3_available_static_cameras_no_scale', 'source_file': 'results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv', 'translation_error_cm': '31.31361147064232', 'rotation_error_deg': '3.4284726196002393', 'aligned_est_x_m': '-3.9820665478693806', 'aligned_est_y_m': '0.17873235541552002', 'aligned_est_z_m': '2.0307158320758587', 'gt_x_m': '-3.97416732', 'gt_y_m': '0.4750864931681852', 'gt_z_m': '2.131542681522701'}
{'method': 'AP01', 'camera': 'cam_edge_3', 'status': 'OK', 'alignment': 'SE3_available_static_cameras_no_scale', 'source_file': 'results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv', 'translation_error_cm': '16.293915214317796', 'rotation_error_deg': '2.083712408768474', 'aligned_est_x_m': '-3.189687646484236', 'aligned_est_y_m': '-1.40655509020139', 'aligned_est_z_m': '2.0784632702733177', 'gt_x_m': '-3.22735583', 'gt_y_m': '-1.5632142665839586', 'gt_z_m': '2.0542108949897364'}
{'method': 'AP01', 'camera': 'cam_edge_5', 'status': 'OK', 'alignment': 'SE3_available_static_cameras_no_scale', 'source_file': 'results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv', 'translation_error_cm': '9.563067309602213', 'rotation_error_deg': '2.1383329197208374', 'aligned_est_x_m': '5.811779283786041', 'aligned_est_y_m': '0.3579363301134797', 'aligned_est_z_m': '2.2214547919645167', 'gt_x_m': '5.85885887', 'gt_y_m': '0.3484195331450478', 'gt_z_m': '2.1387615711167207'}
{'method': 'AP02', 'camera': 'cam_edge_0', 'status': 'OK', 'alignment': 'SE3_available_static_cameras_no_scale', 'source_file': 'results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv', 'translation_error_cm': '5.934378458796434', 'rotation_error_deg': '0.7258212139892394', 'aligned_est_x_m': '0.5574583740420227', 'aligned_est_y_m': '-1.7411104584121218', 'aligned_est_z_m': '2.036755389799213', 'gt_x_m': '0.58780793', 'gt_y_m': '-1.7345552666901032', 'gt_z_m': '2.087328294440571'}
{'method': 'AP02', 'camera': 'cam_edge_1', 'status': 'OK', 'alignment': 'SE3_available_static_cameras_no_scale', 'source_file': 'results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv', 'translation_error_cm': '6.644303731400249', 'rotation_error_deg': '0.5528153333828796', 'aligned_est_x_m': '-4.023716070835601', 'aligned_est_y_m': '0.45384012041415217', 'aligned_est_z_m': '2.0927072577070898', 'gt_x_m': '-3.97416732', 'gt_y_m': '0.4750864931681852', 'gt_z_m': '2.131542681522701'}
{'method': 'AP02', 'camera': 'cam_edge_3', 'status': 'OK', 'alignment': 'SE3_available_static_cameras_no_scale', 'source_file': 'results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv', 'translation_error_cm': '7.252819127006234', 'rotation_error_deg': '0.45367509970538716', 'aligned_est_x_m': '-3.2667700103226607', 'aligned_est_y_m': '-1.582861118097255', 'aligned_est_z_m': '1.9965839729479162', 'gt_x_m': '-3.22735583', 'gt_y_m': '-1.5632142665839586', 'gt_z_m': '2.0542108949897364'}
{'method': 'AP02', 'camera': 'cam_edge_5', 'status': 'OK', 'alignment': 'SE3_available_static_cameras_no_scale', 'source_file': 'results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv', 'translation_error_cm': '19.520805990276823', 'rotation_error_deg': '1.2688296563732042', 'aligned_est_x_m': '5.9781713571162385', 'aligned_est_y_m': '0.3958679491343956', 'aligned_est_z_m': '2.2857968216155107', 'gt_x_m': '5.85885887', 'gt_y_m': '0.3484195331450478', 'gt_z_m': '2.1387615711167207'}
{'method': 'AP03', 'camera': 'cam_edge_0', 'status': 'OK', 'alignment': 'SE3_available_static_cameras_no_scale', 'source_file': 'results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv', 'translation_error_cm': '0.8320949393418156', 'rotation_error_deg': '0.11286716686429918', 'aligned_est_x_m': '0.5924821540150464', 'aligned_est_y_m': '-1.7404029508869248', 'aligned_est_z_m': '2.0836958822669276', 'gt_x_m': '0.58780793', 'gt_y_m': '-1.7345552666901032', 'gt_z_m': '2.087328294440571'}
{'method': 'AP03', 'camera': 'cam_edge_1', 'status': 'OK', 'alignment': 'SE3_available_static_cameras_no_scale', 'source_file': 'results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv', 'translation_error_cm': '1.9354642333079128', 'rotation_error_deg': '0.09232096833370361', 'aligned_est_x_m': '-3.99172971335608', 'aligned_est_y_m': '0.4832037047501546', 'aligned_est_z_m': '2.1310179000622083', 'gt_x_m': '-3.97416732', 'gt_y_m': '0.4750864931681852', 'gt_z_m': '2.131542681522701'}
{'method': 'AP03', 'camera': 'cam_edge_3', 'status': 'OK', 'alignment': 'SE3_available_static_cameras_no_scale', 'source_file': 'results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv', 'translation_error_cm': '1.8668595037019478', 'rotation_error_deg': '0.026584113176671476', 'aligned_est_x_m': '-3.2444414267038844', 'aligned_est_y_m': '-1.5704217788316472', 'aligned_est_z_m': '2.0520543716006068', 'gt_x_m': '-3.22735583', 'gt_y_m': '-1.5632142665839586', 'gt_z_m': '2.0542108949897364'}
{'method': 'AP03', 'camera': 'cam_edge_5', 'status': 'OK', 'alignment': 'SE3_available_static_cameras_no_scale', 'source_file': 'results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv', 'translation_error_cm': '3.102697806857755', 'rotation_error_deg': '0.04572227940933673', 'aligned_est_x_m': '5.888832636044917', 'aligned_est_y_m': '0.3533575180075884', 'aligned_est_z_m': '2.1450752881399864', 'gt_x_m': '5.85885887', 'gt_y_m': '0.3484195331450478', 'gt_z_m': '2.1387615711167207'}

