method,target_id,resolution,group,pose_class,count
charuco,target_charuco_current,res320x240,distance,failure,8
charuco,target_charuco_current,res320x240,distance,valid,1
charuco,target_charuco_current,res320x240,height,failure,5
charuco,target_charuco_current,res320x240,mixed,failure,5
charuco,target_charuco_current,res320x240,shift,failure,6
charuco,target_charuco_current,res320x240,yaw,failure,8
charuco,target_charuco_current,res640x480,distance,failure,2
charuco,target_charuco_current,res640x480,distance,pose_outlier,2
charuco,target_charuco_current,res640x480,distance,valid,5
charuco,target_charuco_current,res640x480,height,pose_outlier,1
charuco,target_charuco_current,res640x480,height,valid,4
charuco,target_charuco_current,res640x480,mixed,failure,1
charuco,target_charuco_current,res640x480,mixed,valid,4
charuco,target_charuco_current,res640x480,shift,failure,2
charuco,target_charuco_current,res640x480,shift,pose_outlier,1
charuco,target_charuco_current,res640x480,shift,valid,3
charuco,target_charuco_current,res640x480,yaw,failure,4
charuco,target_charuco_current,res640x480,yaw,pose_outlier,2
charuco,target_charuco_current,res640x480,yaw,valid,2
