method,target_id,target_pattern,square_size_m,resolution,group,scenario,detection_success,pose_class,camera_1_status,camera_2_status,camera_1_points,camera_2_points,estimated_baseline_m,baseline_error_cm,rotation_error_deg,failure_reason,camera_1_image,camera_2_image,source_csv
charuco,target_charuco_current,,,res320x240,distance,dist_1_2m,false,failure,not_enough_charuco_corners/gray,not_enough_charuco_corners/gray,8,6,,,,camera_1:not_enough_charuco_corners/gray;camera_2:not_enough_charuco_corners/gray,results/charuco/target_charuco_current/res320x240/distance/debug_images/dist_1_2m_camera_1_not_enough_charuco_corners_gray.png,results/charuco/target_charuco_current/res320x240/distance/debug_images/dist_1_2m_camera_2_not_enough_charuco_corners_gray.png,results/charuco/target_charuco_current/res320x240/distance/summary.csv
charuco,target_charuco_current,,,res320x240,distance,dist_1_4m,true,valid,charuco/gray,charuco/gray,17,18,0.665955,3.405,0.506,,results/charuco/target_charuco_current/res320x240/distance/debug_images/dist_1_4m_camera_1_charuco_gray.png,results/charuco/target_charuco_current/res320x240/distance/debug_images/dist_1_4m_camera_2_charuco_gray.png,results/charuco/target_charuco_current/res320x240/distance/summary.csv
charuco,target_charuco_current,,,res320x240,distance,dist_1_6m,false,failure,not_enough_charuco_corners/gray,not_enough_charuco_corners/gray,9,10,,,,camera_1:not_enough_charuco_corners/gray;camera_2:not_enough_charuco_corners/gray,results/charuco/target_charuco_current/res320x240/distance/debug_images/dist_1_6m_camera_1_not_enough_charuco_corners_gray.png,results/charuco/target_charuco_current/res320x240/distance/debug_images/dist_1_6m_camera_2_not_enough_charuco_corners_gray.png,results/charuco/target_charuco_current/res320x240/distance/summary.csv
charuco,target_charuco_current,,,res320x240,distance,dist_1_8m,false,failure,not_enough_charuco_corners/gray,not_enough_charuco_corners/gray,3,5,,,,camera_1:not_enough_charuco_corners/gray;camera_2:not_enough_charuco_corners/gray,results/charuco/target_charuco_current/res320x240/distance/debug_images/dist_1_8m_camera_1_not_enough_charuco_corners_gray.png,results/charuco/target_charuco_current/res320x240/distance/debug_images/dist_1_8m_camera_2_not_enough_charuco_corners_gray.png,results/charuco/target_charuco_current/res320x240/distance/summary.csv
charuco,target_charuco_current,,,res320x240,distance,dist_2_0m,false,failure,not_enough_charuco_corners/binary_60,not_enough_charuco_corners/gray,8,5,,,,camera_1:not_enough_charuco_corners/binary_60;camera_2:not_enough_charuco_corners/gray,results/charuco/target_charuco_current/res320x240/distance/debug_images/dist_2_0m_camera_1_not_enough_charuco_corners_binary_60.png,results/charuco/target_charuco_current/res320x240/distance/debug_images/dist_2_0m_camera_2_not_enough_charuco_corners_gray.png,results/charuco/target_charuco_current/res320x240/distance/summary.csv
charuco,target_charuco_current,,,res320x240,distance,dist_2_2m,false,failure,not_enough_charuco_corners/binary_60,not_enough_charuco_corners/gray,12,1,,,,camera_1:not_enough_charuco_corners/binary_60;camera_2:not_enough_charuco_corners/gray,results/charuco/target_charuco_current/res320x240/distance/debug_images/dist_2_2m_camera_1_not_enough_charuco_corners_binary_60.png,results/charuco/target_charuco_current/res320x240/distance/debug_images/dist_2_2m_camera_2_not_enough_charuco_corners_gray.png,results/charuco/target_charuco_current/res320x240/distance/summary.csv
charuco,target_charuco_current,,,res320x240,distance,dist_2_4m,false,failure,not_enough_charuco_corners/binary_60,not_enough_charuco_corners/binary_60,3,1,,,,camera_1:not_enough_charuco_corners/binary_60;camera_2:not_enough_charuco_corners/binary_60,results/charuco/target_charuco_current/res320x240/distance/debug_images/dist_2_4m_camera_1_not_enough_charuco_corners_binary_60.png,results/charuco/target_charuco_current/res320x240/distance/debug_images/dist_2_4m_camera_2_not_enough_charuco_corners_binary_60.png,results/charuco/target_charuco_current/res320x240/distance/summary.csv
charuco,target_charuco_current,,,res320x240,distance,dist_2_6m,false,failure,not_enough_charuco_corners/normalized,not_enough_charuco_corners/gray,1,2,,,,camera_1:not_enough_charuco_corners/normalized;camera_2:not_enough_charuco_corners/gray,results/charuco/target_charuco_current/res320x240/distance/debug_images/dist_2_6m_camera_1_not_enough_charuco_corners_normalized.png,results/charuco/target_charuco_current/res320x240/distance/debug_images/dist_2_6m_camera_2_not_enough_charuco_corners_gray.png,results/charuco/target_charuco_current/res320x240/distance/summary.csv
charuco,target_charuco_current,,,res320x240,distance,dist_2_8m,false,failure,not_enough_charuco_corners/binary_80,not_enough_charuco_corners/gray,5,1,,,,camera_1:not_enough_charuco_corners/binary_80;camera_2:not_enough_charuco_corners/gray,results/charuco/target_charuco_current/res320x240/distance/debug_images/dist_2_8m_camera_1_not_enough_charuco_corners_binary_80.png,results/charuco/target_charuco_current/res320x240/distance/debug_images/dist_2_8m_camera_2_not_enough_charuco_corners_gray.png,results/charuco/target_charuco_current/res320x240/distance/summary.csv
charuco,target_charuco_current,,,res320x240,yaw,yaw_0deg,false,failure,not_enough_charuco_corners/gray,not_enough_charuco_corners/gray,3,5,,,,camera_1:not_enough_charuco_corners/gray;camera_2:not_enough_charuco_corners/gray,results/charuco/target_charuco_current/res320x240/yaw/debug_images/yaw_0deg_camera_1_not_enough_charuco_corners_gray.png,results/charuco/target_charuco_current/res320x240/yaw/debug_images/yaw_0deg_camera_2_not_enough_charuco_corners_gray.png,results/charuco/target_charuco_current/res320x240/yaw/summary.csv
charuco,target_charuco_current,,,res320x240,yaw,yaw_10deg,false,failure,not_enough_charuco_corners/gray,not_enough_charuco_corners/gray,2,6,,,,camera_1:not_enough_charuco_corners/gray;camera_2:not_enough_charuco_corners/gray,results/charuco/target_charuco_current/res320x240/yaw/debug_images/yaw_10deg_camera_1_not_enough_charuco_corners_gray.png,results/charuco/target_charuco_current/res320x240/yaw/debug_images/yaw_10deg_camera_2_not_enough_charuco_corners_gray.png,results/charuco/target_charuco_current/res320x240/yaw/summary.csv
charuco,target_charuco_current,,,res320x240,yaw,yaw_20deg,false,failure,not_enough_charuco_corners/gray,not_enough_charuco_corners/normalized,2,3,,,,camera_1:not_enough_charuco_corners/gray;camera_2:not_enough_charuco_corners/normalized,results/charuco/target_charuco_current/res320x240/yaw/debug_images/yaw_20deg_camera_1_not_enough_charuco_corners_gray.png,results/charuco/target_charuco_current/res320x240/yaw/debug_images/yaw_20deg_camera_2_not_enough_charuco_corners_normalized.png,results/charuco/target_charuco_current/res320x240/yaw/summary.csv
charuco,target_charuco_current,,,res320x240,yaw,yaw_30deg,false,failure,not_enough_charuco_corners/normalized,not_enough_charuco_corners/normalized,2,2,,,,camera_1:not_enough_charuco_corners/normalized;camera_2:not_enough_charuco_corners/normalized,results/charuco/target_charuco_current/res320x240/yaw/debug_images/yaw_30deg_camera_1_not_enough_charuco_corners_normalized.png,results/charuco/target_charuco_current/res320x240/yaw/debug_images/yaw_30deg_camera_2_not_enough_charuco_corners_normalized.png,results/charuco/target_charuco_current/res320x240/yaw/summary.csv
charuco,target_charuco_current,,,res320x240,yaw,yaw_35deg,false,failure,not_enough_charuco_corners/gray,not_enough_charuco_corners/gray,11,0,,,,camera_1:not_enough_charuco_corners/gray;camera_2:not_enough_charuco_corners/gray,results/charuco/target_charuco_current/res320x240/yaw/debug_images/yaw_35deg_camera_1_not_enough_charuco_corners_gray.png,results/charuco/target_charuco_current/res320x240/yaw/debug_images/yaw_35deg_camera_2_not_enough_charuco_corners_gray.png,results/charuco/target_charuco_current/res320x240/yaw/summary.csv
