method,target_id,target_pattern,square_size_m,group,scenario,res320x240_pose_class,res320x240_detection_success,res320x240_cam1,res320x240_cam2,res320x240_baseline_error_cm,res320x240_rotation_error_deg,res640x480_pose_class,res640x480_detection_success,res640x480_cam1,res640x480_cam2,res640x480_baseline_error_cm,res640x480_rotation_error_deg,class_change,best_resolution_by_error,best_error_cm
charuco,target_charuco_current,,,distance,dist_1_2m,failure,false,not_enough_charuco_corners/gray,not_enough_charuco_corners/gray,,,pose_outlier,true,charuco/gray,charuco/gray,13.036,10.688,failure -> pose_outlier,,
charuco,target_charuco_current,,,distance,dist_1_4m,valid,true,charuco/gray,charuco/gray,3.405,0.506,valid,true,charuco/gray,charuco/gray,3.257,4.728,same,res640x480,3.257
charuco,target_charuco_current,,,distance,dist_1_6m,failure,false,not_enough_charuco_corners/gray,not_enough_charuco_corners/gray,,,pose_outlier,true,charuco/gray,charuco/gray,14.714,6.812,failure -> pose_outlier,,
charuco,target_charuco_current,,,distance,dist_1_8m,failure,false,not_enough_charuco_corners/gray,not_enough_charuco_corners/gray,,,valid,true,charuco/gray,charuco/gray,7.168,6.634,failure -> valid,res640x480,7.168
charuco,target_charuco_current,,,distance,dist_2_0m,failure,false,not_enough_charuco_corners/binary_60,not_enough_charuco_corners/gray,,,valid,true,charuco/gray,charuco/gray,8.607,2.190,failure -> valid,res640x480,8.607
charuco,target_charuco_current,,,distance,dist_2_2m,failure,false,not_enough_charuco_corners/binary_60,not_enough_charuco_corners/gray,,,valid,true,charuco/gray,charuco/gray,7.325,2.141,failure -> valid,res640x480,7.325
charuco,target_charuco_current,,,distance,dist_2_4m,failure,false,not_enough_charuco_corners/binary_60,not_enough_charuco_corners/binary_60,,,failure,false,not_enough_charuco_corners/gray,not_enough_charuco_corners/gray,,,same,,
charuco,target_charuco_current,,,distance,dist_2_6m,failure,false,not_enough_charuco_corners/normalized,not_enough_charuco_corners/gray,,,failure,false,charuco/gray,not_enough_charuco_corners/gray,,,same,,
charuco,target_charuco_current,,,distance,dist_2_8m,failure,false,not_enough_charuco_corners/binary_80,not_enough_charuco_corners/gray,,,valid,true,charuco/gray,charuco/gray,5.204,1.389,failure -> valid,res640x480,5.204
charuco,target_charuco_current,,,height,height_0_6m,failure,false,not_enough_charuco_corners/gray,not_enough_charuco_corners/gray,,,valid,true,charuco/gray,charuco/gray,5.005,4.131,failure -> valid,res640x480,5.005
