marker_id,segment,corner_a,corner_b,length_colmap_units,length_metric_m,scale_m_per_colmap_unit,used_for_scale,scale_abs_dev_from_median
0,side_01,0,1,0.25422328481872997,0.17,0.6687034986634521,yes,0.006130096989269251
0,side_12,1,2,0.2505906513839346,0.17,0.6783972149844483,yes,0.01582381331026539
0,side_23,2,3,0.25424027097069707,0.17,0.6686588216372444,yes,0.006085419963061556
0,side_30,3,0,0.2511752743616004,0.17,0.6768182116336111,yes,0.014244809959428228
0,diag_02,0,2,0.3563827089479763,0.2404163056034262,0.6746014875781233,yes,0.012028085903940444
0,diag_13,1,3,0.3579684816733871,0.2404163056034262,0.6716130550923299,yes,0.009039653418147053
2,side_01,0,1,0.25598951475365717,0.17,0.6640896997816248,yes,0.0015162981074419157
2,side_12,1,2,0.2553338068164143,0.17,0.665795110015457,yes,0.00322170834127411
2,side_23,2,3,0.256008515218029,0.17,0.6640404123090201,yes,0.0014670106348372292
2,side_30,3,0,0.25603183260242435,0.17,0.6639799366822573,yes,0.0014065350080744166
2,diag_02,0,2,0.3605128626783045,0.2404163056034262,0.6668730314289958,yes,0.004299629754812906
2,diag_13,1,3,0.3629382445195002,0.2404163056034262,0.6624165659965574,yes,0.00015683567762547757
3,side_01,0,1,0.25198363599740004,0.17,0.674646983829355,yes,0.012073582155172069
3,side_12,1,2,0.2507405537565598,0.17,0.677991642967537,yes,0.015418241293354118
3,side_23,2,3,0.25342071503340285,0.17,0.670821246706658,yes,0.00824784503247511
3,side_30,3,0,0.25188758016721957,0.17,0.6749042564430641,yes,0.012330854768881183
3,diag_02,0,2,0.35704760024854126,0.2404163056034262,0.6733452498660462,yes,0.010771848191863276
3,diag_13,1,3,0.3557378523223482,0.2404163056034262,0.6758243578352056,yes,0.013250956161022676
4,side_01,0,1,0.25699956219155884,0.17,0.6614797260755165,yes,0.0010936755986663549
4,side_12,1,2,0.25512142756320105,0.17,0.6663493600822143,yes,0.0037759584080314657
4,side_23,2,3,0.25696043194905116,0.17,0.6615804570008925,yes,0.0009929446732903635
4,side_30,3,0,0.253275777512143,0.17,0.6712051253770195,yes,0.008631723702836602
4,diag_02,0,2,0.36190800053137717,0.2404163056034262,0.6643022681190555,yes,0.0017288664448725788
4,diag_13,1,3,0.361015459621077,0.2404163056034262,0.6659446270133914,yes,0.003371225339208528
5,side_01,0,1,0.25303194741907664,0.17,0.6718519212059912,yes,0.00927851953180836
5,side_12,1,2,0.2488743463886115,0.17,0.6830756261818522,yes,0.020502224507669364
5,side_23,2,3,0.25270241124477766,0.17,0.6727280486268539,yes,0.010154646952670987
5,side_30,3,0,0.24809055528424692,0.17,0.685233663188929,yes,0.022660261514746094
5,diag_02,0,2,0.35107230003509504,0.2404163056034262,0.6848056812781667,yes,0.022232279603983773
5,diag_13,1,3,0.3579209848607961,0.2404163056034262,0.6717021794542999,yes,0.009128777780117003
6,side_01,0,1,0.25553771719278723,0.17,0.6652638282424103,yes,0.0026904265682273776
6,side_12,1,2,0.2600767004569998,0.17,0.6536533249663679,yes,0.008920076707815028
6,side_23,2,3,0.2570244479536571,0.17,0.6614156799226039,yes,0.0011577217515790217
6,side_30,3,0,0.25759254552026334,0.17,0.6599569861645204,yes,0.0026164155096625175
6,diag_02,0,2,0.36173465019991685,0.2404163056034262,0.6646206147809101,yes,0.002047213106727175
6,diag_13,1,3,0.36533601906938223,0.2404163056034262,0.6580689914337954,yes,0.004504410240387502
7,side_01,0,1,0.25571244921841835,0.17,0.6648092438189956,yes,0.0022358421448127608
7,side_12,1,2,0.25282356588069416,0.17,0.6724056731334211,yes,0.009832271459238262
