camera,status,detected_ids,num_detected,debug_image
front_static_camera,detected,0 1 2 3,4,results/beintelli_bus_model/aruco_visibility/fov100_manual/debug_images/front_static_camera_aruco_visibility.png
rear_static_camera,detected,2 9 0 6,4,results/beintelli_bus_model/aruco_visibility/fov100_manual/debug_images/rear_static_camera_aruco_visibility.png
