model,image_name,source_type,camera_id,qw,qx,qy,qz,tx,ty,tz
0,moving_frame_0174.png,moving,5,0.9768471083288847,0.0674333778817486,0.18217462062998588,0.08963745921920409,-2.08618491116857,2.190657824359139,-4.275200518047443
0,moving_frame_0173.png,moving,5,0.9853482629117479,0.06951525139649951,0.13927796145293939,0.06969992864842851,-1.6038537820004735,2.2375795754731405,-4.326701358641595
0,moving_frame_0172.png,moving,5,0.9911831510549848,0.07650436131207454,0.096603192198286,0.04869154980121113,-1.1331015664893809,2.3289644060977626,-4.309129418925191
0,moving_frame_0171.png,moving,5,0.995167343723752,0.07905310306052485,0.05092554043667333,0.028269315760137446,-0.635545878292097,2.338097629011285,-4.277892244876819
0,moving_frame_0170.png,moving,5,0.9969234882053921,0.07238374356612731,0.025463260824619114,0.015992957197592573,-0.3734789526021507,2.200849087045203,-4.151419610376685
0,moving_frame_0169.png,moving,5,0.9978823182220361,0.06484544685965885,0.00024947810771849214,0.005087706955011121,-0.14323937713185825,2.0493847529044413,-4.017416188908555
0,moving_frame_0168.png,moving,5,0.9979960209740193,0.05733491951414631,-0.026017600766591327,-0.0063034573593863915,0.07931634735933883,1.8989007059185532,-3.8645240277580224
0,moving_frame_0167.png,moving,5,0.9972981216191077,0.049863994006964216,-0.051173458177169735,-0.017067978640202954,0.2605521886263765,1.7506668584465501,-3.701934589005741
0,moving_frame_0166.png,moving,5,0.995766380781757,0.04238115388976981,-0.07690759121919061,-0.027173058580777405,0.4238894031023227,1.6046878598180614,-3.532560273715269
0,moving_frame_0165.png,moving,5,0.9933612000105174,0.03393643227183444,-0.10378415017520003,-0.03620352262882309,0.5751286472255909,1.449758461124017,-3.355226795387512
0,moving_frame_0163.png,moving,5,0.9938019241230888,0.03497702265021274,-0.0998218577724392,-0.034204388704259146,0.5052398334596638,1.290344037880329,-2.9780767574665985
0,moving_frame_0164.png,moving,5,0.9899996759032486,0.02710623768482023,-0.1303358058471683,-0.04667409671548307,0.7032226327597748,1.3174298298616374,-3.161582340888946
0,moving_frame_0162.png,moving,5,0.9964424378596203,0.04380841874466433,-0.0683468357681881,-0.02262742848724401,0.32598327753131867,1.264156319618241,-2.786208073791909
