frame,image,marker_id,center_u,center_v,corner0_u,corner0_v,corner1_u,corner1_v,corner2_u,corner2_v,corner3_u,corner3_v,pnp_success,tvec_x_m,tvec_y_m,tvec_z_m,distance_m,rvec_x,rvec_y,rvec_z,route_x,route_y,route_z,route_roll,route_pitch,route_yaw
0,results/bus_real_data/05_moving_camera_sequence_run3/images/frame_0000.png,11,271.25,480.25,152.0,452.0,331.0,378.0,399.0,499.0,203.0,592.0,True,-0.33015307238276814,0.1033580532799796,0.8364396925509143,0.9051603712361012,2.30799342459513,-0.6768466821937874,0.2818516884908067,-4.5,0.0,2.2,0.0,0.3,0.0
0,results/bus_real_data/05_moving_camera_sequence_run3/images/frame_0000.png,13,871.0,383.25,782.0,368.0,875.0,322.0,961.0,394.0,866.0,449.0,True,0.31468339532756534,0.02883078083897306,1.2692350346290124,1.3079810496900863,2.2882939152413595,-0.6740863729199094,0.24964791743727124,-4.5,0.0,2.2,0.0,0.3,0.0
1,results/bus_real_data/05_moving_camera_sequence_run3/images/frame_0001.png,11,271.25,480.25,152.0,452.0,331.0,378.0,399.0,499.0,203.0,592.0,True,-0.33015307238276814,0.1033580532799796,0.8364396925509143,0.9051603712361012,2.30799342459513,-0.6768466821937874,0.2818516884908067,-4.36,0.0,2.2,0.0,0.32,-0.04000000000000001
1,results/bus_real_data/05_moving_camera_sequence_run3/images/frame_0001.png,13,871.0,383.25,782.0,368.0,875.0,322.0,961.0,394.0,866.0,449.0,True,0.31468339532756534,0.02883078083897306,1.2692350346290124,1.3079810496900863,2.2882939152413595,-0.6740863729199094,0.24964791743727124,-4.36,0.0,2.2,0.0,0.32,-0.04000000000000001
2,results/bus_real_data/05_moving_camera_sequence_run3/images/frame_0002.png,5,781.0,238.0,769.0,226.0,793.0,226.0,793.0,250.0,769.0,250.0,True,0.9987499827584575,-0.8641666517160398,6.5837251472470015,6.7148881110924465,3.1415925634920385,-2.856221538152568e-11,1.6400168338966856e-07,-4.22,0.0,2.2,0.0,0.33999999999999997,-0.08000000000000002
2,results/bus_real_data/05_moving_camera_sequence_run3/images/frame_0002.png,7,504.25,197.5,493.0,186.0,516.0,186.0,516.0,209.0,492.0,209.0,True,-0.9783078151743427,-1.171181049310222,6.6982504383685155,6.869884290626633,3.0299436116978504,0.006399328235603899,-0.02983762072163061,-4.22,0.0,2.2,0.0,0.33999999999999997,-0.08000000000000002
2,results/bus_real_data/05_moving_camera_sequence_run3/images/frame_0002.png,6,567.0,197.5,555.0,186.0,579.0,186.0,579.0,209.0,555.0,209.0,True,-0.5182286193296853,-1.1538452800996468,6.598826456048172,6.718960517025075,2.9848313890489653,-0.014043649746258604,0.054692854472484696,-4.22,0.0,2.2,0.0,0.33999999999999997,-0.08000000000000002
3,results/bus_real_data/05_moving_camera_sequence_run3/images/frame_0003.png,5,746.75,222.0,735.0,210.0,758.0,210.0,759.0,234.0,735.0,234.0,True,0.7548225741692637,-0.9756334805441018,6.571044893883859,6.685824467054998,3.1193135536521597,-0.029327943793763495,0.1940113359333611,-4.08,0.0,2.2,0.0,0.36,-0.12
3,results/bus_real_data/05_moving_camera_sequence_run3/images/frame_0003.png,7,462.25,182.0,450.0,170.0,474.0,170.0,475.0,194.0,450.0,194.0,True,-1.2506937227317494,-1.252620373190209,6.540641368503761,6.775934038846197,3.100102858100282,-0.03850021913780184,0.17982463443466362,-4.08,0.0,2.2,0.0,0.36,-0.12
3,results/bus_real_data/05_moving_camera_sequence_run3/images/frame_0003.png,6,527.5,181.25,515.0,170.0,540.0,169.0,540.0,193.0,515.0,193.0,True,-0.7658177339016112,-1.2170304169312474,6.327218275362674,6.488553840523901,-3.3421837478771788,0.038660559526248285,-0.011094368945135599,-4.08,0.0,2.2,0.0,0.36,-0.12
