image_path,observer_type,camera_name,frame_id,detection_mode,pass,marker_id,area_px2,center_u,center_v,accepted,reason
C:\Users\maxim\Desktop\Application of Robotics and Autonomous Systems\camera-rig-calibration-main-route2-recovery\results\bus_real_data\ablation\world\route\route2\raw_images\static\cam_edge_3.png,static,cam_edge_3,static,baseline,original,6,794.0,862.5,226.0,True,original_pass
C:\Users\maxim\Desktop\Application of Robotics and Autonomous Systems\camera-rig-calibration-main-route2-recovery\results\bus_real_data\ablation\world\route\route2\raw_images\static\cam_edge_3.png,static,cam_edge_3,static,baseline,original,8,904.5,1070.75,209.75,True,original_pass
C:\Users\maxim\Desktop\Application of Robotics and Autonomous Systems\camera-rig-calibration-main-route2-recovery\results\bus_real_data\ablation\world\route\route2\raw_images\static\cam_edge_3.png,static,cam_edge_3,static,baseline,original,7,735.5,791.25,221.25,True,original_pass
C:\Users\maxim\Desktop\Application of Robotics and Autonomous Systems\camera-rig-calibration-main-route2-recovery\results\bus_real_data\ablation\world\route\route2\raw_images\static\cam_edge_3.png,static,cam_edge_3,static,baseline,original,20,472.5,1163.75,107.5,True,original_pass
C:\Users\maxim\Desktop\Application of Robotics and Autonomous Systems\camera-rig-calibration-main-route2-recovery\results\bus_real_data\ablation\world\route\route2\raw_images\static\cam_edge_3.png,static,cam_edge_3,static,baseline,original,4,552.0,644.0,135.5,True,original_pass
C:\Users\maxim\Desktop\Application of Robotics and Autonomous Systems\camera-rig-calibration-main-route2-recovery\results\bus_real_data\ablation\world\route\route2\raw_images\static\cam_edge_5.png,static,cam_edge_5,static,baseline,original,13,3914.5,969.0,631.75,True,original_pass
C:\Users\maxim\Desktop\Application of Robotics and Autonomous Systems\camera-rig-calibration-main-route2-recovery\results\bus_real_data\ablation\world\route\route2\raw_images\static\cam_edge_5.png,static,cam_edge_5,static,baseline,original,9,2965.0,920.0,388.75,True,original_pass
C:\Users\maxim\Desktop\Application of Robotics and Autonomous Systems\camera-rig-calibration-main-route2-recovery\results\bus_real_data\ablation\world\route\route2\raw_images\static\cam_edge_5.png,static,cam_edge_5,static,baseline,original,12,2755.0,342.0,472.0,True,original_pass
C:\Users\maxim\Desktop\Application of Robotics and Autonomous Systems\camera-rig-calibration-main-route2-recovery\results\bus_real_data\ablation\world\route\route2\raw_images\static\cam_edge_5.png,static,cam_edge_5,static,baseline,original,11,2192.5,659.25,472.25,True,original_pass
C:\Users\maxim\Desktop\Application of Robotics and Autonomous Systems\camera-rig-calibration-main-route2-recovery\results\bus_real_data\ablation\world\route\route2\raw_images\static\cam_edge_5.png,static,cam_edge_5,static,baseline,original,10,1667.0,523.0,356.25,True,original_pass
C:\Users\maxim\Desktop\Application of Robotics and Autonomous Systems\camera-rig-calibration-main-route2-recovery\results\bus_real_data\ablation\world\route\route2\raw_images\static\cam_edge_5.png,static,cam_edge_5,static,baseline,original,16,506.0,859.5,202.0,True,original_pass
C:\Users\maxim\Desktop\Application of Robotics and Autonomous Systems\camera-rig-calibration-main-route2-recovery\results\bus_real_data\ablation\world\route\route2\raw_images\static\cam_edge_5.png,static,cam_edge_5,static,baseline,original,0,420.0,1016.0,179.0,True,original_pass
C:\Users\maxim\Desktop\Application of Robotics and Autonomous Systems\camera-rig-calibration-main-route2-recovery\results\bus_real_data\ablation\world\route\route2\raw_images\static\cam_edge_5.png,static,cam_edge_5,static,baseline,original,17,394.5,627.5,168.25,True,original_pass
C:\Users\maxim\Desktop\Application of Robotics and Autonomous Systems\camera-rig-calibration-main-route2-recovery\results\bus_real_data\ablation\world\route\route2\raw_images\moving\frame_0000.png,moving,moving_calib_camera,0,baseline,original,13,7110.5,1144.25,595.75,True,original_pass
C:\Users\maxim\Desktop\Application of Robotics and Autonomous Systems\camera-rig-calibration-main-route2-recovery\results\bus_real_data\ablation\world\route\route2\raw_images\moving\frame_0000.png,moving,moving_calib_camera,0,baseline,original,9,4686.0,1029.75,295.5,True,original_pass
C:\Users\maxim\Desktop\Application of Robotics and Autonomous Systems\camera-rig-calibration-main-route2-recovery\results\bus_real_data\ablation\world\route\route2\raw_images\moving\frame_0000.png,moving,moving_calib_camera,0,baseline,original,11,3432.5,728.25,361.0,True,original_pass
