station_name,group,target_static_camera,candidate_name,board_pose,moving_pose,radius,angle_deg,reason
R3_rear_right_seat_angled,rear,rear_static_camera,R3_rear_right_seat_angled_orbit_000,4.27 0.93 1.55 0 0.3 1.57079633,3.518246 0.656384 1.550000 0.000000 0.000000 0.349066,0.8,-160,orbit_look_at_board
R3_rear_right_seat_angled,rear,rear_static_camera,R3_rear_right_seat_angled_orbit_001,4.27 0.93 1.55 0 0.3 1.57079633,3.518246 0.656384 1.700000 0.000000 0.185348 0.349066,0.8,-160,orbit_look_at_board
R3_rear_right_seat_angled,rear,rear_static_camera,R3_rear_right_seat_angled_orbit_002,4.27 0.93 1.55 0 0.3 1.57079633,3.518246 0.656384 1.850000 0.000000 0.358771 0.349066,0.8,-160,orbit_look_at_board
R3_rear_right_seat_angled,rear,rear_static_camera,R3_rear_right_seat_angled_orbit_003,4.27 0.93 1.55 0 0.3 1.57079633,3.755770 0.317164 1.550000 0.000000 0.000000 0.872665,0.8,-130,orbit_look_at_board
R3_rear_right_seat_angled,rear,rear_static_camera,R3_rear_right_seat_angled_orbit_004,4.27 0.93 1.55 0 0.3 1.57079633,3.755770 0.317164 1.700000 0.000000 0.185348 0.872665,0.8,-130,orbit_look_at_board
R3_rear_right_seat_angled,rear,rear_static_camera,R3_rear_right_seat_angled_orbit_005,4.27 0.93 1.55 0 0.3 1.57079633,3.755770 0.317164 1.850000 0.000000 0.358771 0.872665,0.8,-130,orbit_look_at_board
R3_rear_right_seat_angled,rear,rear_static_camera,R3_rear_right_seat_angled_orbit_006,4.27 0.93 1.55 0 0.3 1.57079633,4.131081 0.142154 1.550000 0.000000 0.000000 1.396263,0.8,-100,orbit_look_at_board
R3_rear_right_seat_angled,rear,rear_static_camera,R3_rear_right_seat_angled_orbit_007,4.27 0.93 1.55 0 0.3 1.57079633,4.131081 0.142154 1.700000 0.000000 0.185348 1.396263,0.8,-100,orbit_look_at_board
R3_rear_right_seat_angled,rear,rear_static_camera,R3_rear_right_seat_angled_orbit_008,4.27 0.93 1.55 0 0.3 1.57079633,4.131081 0.142154 1.850000 0.000000 0.358771 1.396263,0.8,-100,orbit_look_at_board
R3_rear_right_seat_angled,rear,rear_static_camera,R3_rear_right_seat_angled_orbit_009,4.27 0.93 1.55 0 0.3 1.57079633,4.543616 0.178246 1.550000 0.000000 0.000000 1.919862,0.8,-70,orbit_look_at_board
R3_rear_right_seat_angled,rear,rear_static_camera,R3_rear_right_seat_angled_orbit_010,4.27 0.93 1.55 0 0.3 1.57079633,4.543616 0.178246 1.700000 0.000000 0.185348 1.919862,0.8,-70,orbit_look_at_board
R3_rear_right_seat_angled,rear,rear_static_camera,R3_rear_right_seat_angled_orbit_011,4.27 0.93 1.55 0 0.3 1.57079633,4.543616 0.178246 1.850000 0.000000 0.358771 1.919862,0.8,-70,orbit_look_at_board
R3_rear_right_seat_angled,rear,rear_static_camera,R3_rear_right_seat_angled_orbit_012,4.27 0.93 1.55 0 0.3 1.57079633,4.882836 0.415770 1.550000 0.000000 0.000000 2.443461,0.8,-40,orbit_look_at_board
R3_rear_right_seat_angled,rear,rear_static_camera,R3_rear_right_seat_angled_orbit_013,4.27 0.93 1.55 0 0.3 1.57079633,4.882836 0.415770 1.700000 0.000000 0.185348 2.443461,0.8,-40,orbit_look_at_board
R3_rear_right_seat_angled,rear,rear_static_camera,R3_rear_right_seat_angled_orbit_014,4.27 0.93 1.55 0 0.3 1.57079633,4.882836 0.415770 1.850000 0.000000 0.358771 2.443461,0.8,-40,orbit_look_at_board
R3_rear_right_seat_angled,rear,rear_static_camera,R3_rear_right_seat_angled_orbit_015,4.27 0.93 1.55 0 0.3 1.57079633,5.057846 0.791081 1.550000 0.000000 0.000000 2.967060,0.8,-10,orbit_look_at_board
R3_rear_right_seat_angled,rear,rear_static_camera,R3_rear_right_seat_angled_orbit_016,4.27 0.93 1.55 0 0.3 1.57079633,5.057846 0.791081 1.700000 0.000000 0.185348 2.967060,0.8,-10,orbit_look_at_board
R3_rear_right_seat_angled,rear,rear_static_camera,R3_rear_right_seat_angled_orbit_017,4.27 0.93 1.55 0 0.3 1.57079633,5.057846 0.791081 1.850000 0.000000 0.358771 2.967060,0.8,-10,orbit_look_at_board
R3_rear_right_seat_angled,rear,rear_static_camera,R3_rear_right_seat_angled_orbit_018,4.27 0.93 1.55 0 0.3 1.57079633,5.021754 1.203616 1.550000 0.000000 0.000000 -2.792527,0.8,20,orbit_look_at_board
R3_rear_right_seat_angled,rear,rear_static_camera,R3_rear_right_seat_angled_orbit_019,4.27 0.93 1.55 0 0.3 1.57079633,5.021754 1.203616 1.700000 0.000000 0.185348 -2.792527,0.8,20,orbit_look_at_board
R3_rear_right_seat_angled,rear,rear_static_camera,R3_rear_right_seat_angled_orbit_020,4.27 0.93 1.55 0 0.3 1.57079633,5.021754 1.203616 1.850000 0.000000 0.358771 -2.792527,0.8,20,orbit_look_at_board
R3_rear_right_seat_angled,rear,rear_static_camera,R3_rear_right_seat_angled_orbit_021,4.27 0.93 1.55 0 0.3 1.57079633,4.784230 1.542836 1.550000 0.000000 0.000000 -2.268928,0.8,50,orbit_look_at_board
R3_rear_right_seat_angled,rear,rear_static_camera,R3_rear_right_seat_angled_orbit_022,4.27 0.93 1.55 0 0.3 1.57079633,4.784230 1.542836 1.700000 0.000000 0.185348 -2.268928,0.8,50,orbit_look_at_board
R3_rear_right_seat_angled,rear,rear_static_camera,R3_rear_right_seat_angled_orbit_023,4.27 0.93 1.55 0 0.3 1.57079633,4.784230 1.542836 1.850000 0.000000 0.358771 -2.268928,0.8,50,orbit_look_at_board
R3_rear_right_seat_angled,rear,rear_static_camera,R3_rear_right_seat_angled_orbit_024,4.27 0.93 1.55 0 0.3 1.57079633,4.408919 1.717846 1.550000 0.000000 0.000000 -1.745329,0.8,80,orbit_look_at_board
R3_rear_right_seat_angled,rear,rear_static_camera,R3_rear_right_seat_angled_orbit_025,4.27 0.93 1.55 0 0.3 1.57079633,4.408919 1.717846 1.700000 0.000000 0.185348 -1.745329,0.8,80,orbit_look_at_board
R3_rear_right_seat_angled,rear,rear_static_camera,R3_rear_right_seat_angled_orbit_026,4.27 0.93 1.55 0 0.3 1.57079633,4.408919 1.717846 1.850000 0.000000 0.358771 -1.745329,0.8,80,orbit_look_at_board
R3_rear_right_seat_angled,rear,rear_static_camera,R3_rear_right_seat_angled_orbit_027,4.27 0.93 1.55 0 0.3 1.57079633,3.330307 0.587980 1.550000 0.000000 0.000000 0.349066,1.0,-160,orbit_look_at_board
R3_rear_right_seat_angled,rear,rear_static_camera,R3_rear_right_seat_angled_orbit_028,4.27 0.93 1.55 0 0.3 1.57079633,3.330307 0.587980 1.700000 0.000000 0.148890 0.349066,1.0,-160,orbit_look_at_board
R3_rear_right_seat_angled,rear,rear_static_camera,R3_rear_right_seat_angled_orbit_029,4.27 0.93 1.55 0 0.3 1.57079633,3.330307 0.587980 1.850000 0.000000 0.291457 0.349066,1.0,-160,orbit_look_at_board
R3_rear_right_seat_angled,rear,rear_static_camera,R3_rear_right_seat_angled_orbit_030,4.27 0.93 1.55 0 0.3 1.57079633,3.627212 0.163956 1.550000 0.000000 0.000000 0.872665,1.0,-130,orbit_look_at_board
R3_rear_right_seat_angled,rear,rear_static_camera,R3_rear_right_seat_angled_orbit_031,4.27 0.93 1.55 0 0.3 1.57079633,3.627212 0.163956 1.700000 0.000000 0.148890 0.872665,1.0,-130,orbit_look_at_board
R3_rear_right_seat_angled,rear,rear_static_camera,R3_rear_right_seat_angled_orbit_032,4.27 0.93 1.55 0 0.3 1.57079633,3.627212 0.163956 1.850000 0.000000 0.291457 0.872665,1.0,-130,orbit_look_at_board
R3_rear_right_seat_angled,rear,rear_static_camera,R3_rear_right_seat_angled_orbit_033,4.27 0.93 1.55 0 0.3 1.57079633,4.096352 -0.054808 1.550000 0.000000 0.000000 1.396263,1.0,-100,orbit_look_at_board
R3_rear_right_seat_angled,rear,rear_static_camera,R3_rear_right_seat_angled_orbit_034,4.27 0.93 1.55 0 0.3 1.57079633,4.096352 -0.054808 1.700000 0.000000 0.148890 1.396263,1.0,-100,orbit_look_at_board
R3_rear_right_seat_angled,rear,rear_static_camera,R3_rear_right_seat_angled_orbit_035,4.27 0.93 1.55 0 0.3 1.57079633,4.096352 -0.054808 1.850000 0.000000 0.291457 1.396263,1.0,-100,orbit_look_at_board
R3_rear_right_seat_angled,rear,rear_static_camera,R3_rear_right_seat_angled_orbit_036,4.27 0.93 1.55 0 0.3 1.57079633,4.612020 -0.009693 1.550000 0.000000 0.000000 1.919862,1.0,-70,orbit_look_at_board
R3_rear_right_seat_angled,rear,rear_static_camera,R3_rear_right_seat_angled_orbit_037,4.27 0.93 1.55 0 0.3 1.57079633,4.612020 -0.009693 1.700000 0.000000 0.148890 1.919862,1.0,-70,orbit_look_at_board
