camera,status,intrinsics_source,detected_ids,used_ids,num_detected,num_used_markers,num_points,reprojection_rmse_px,tvec_x_m,tvec_y_m,tvec_z_m,rvec_x,rvec_y,rvec_z,debug_image
front_static_camera,failed_not_enough_markers,manual_hfov_fallback,[],[],0,0,0,,,,,,,,results/beintelli_bus_model/station_anchor_search/live_results/R1_rear_left_seat_leaned_occluded/R1_rear_left_seat_leaned_occluded_cand_02/debug_images/front_static_camera_aruco_board_pose.png
rear_static_camera,pose_valid,manual_hfov_fallback,"[1, 2, 3, 4, 5]","[1, 2, 3, 4, 5]",5,5,20,0.789970,-0.77064995,-0.74353155,2.94434942,1.50306784,1.45458960,-0.99228790,results/beintelli_bus_model/station_anchor_search/live_results/R1_rear_left_seat_leaned_occluded/R1_rear_left_seat_leaned_occluded_cand_02/debug_images/rear_static_camera_aruco_board_pose.png
moving_calib_camera,pose_valid,manual_hfov_fallback,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",6,6,24,0.912242,-0.00324624,-0.00300910,1.02625996,0.96502028,1.24275273,-1.38174626,results/beintelli_bus_model/station_anchor_search/live_results/R1_rear_left_seat_leaned_occluded/R1_rear_left_seat_leaned_occluded_cand_02/debug_images/moving_calib_camera_aruco_board_pose.png
