mode,root_camera,target_camera,root_marker,target_marker,root_frame,target_frame,quality,translation_deviation_m,rotation_deviation_deg,inlier,pose_support,x_m,y_m,z_m
direct,cam_edge_3,cam_edge_0,7,7,,,0.5216666257997682,0.0,0.0,True,True,2.029227677132929,-1.3536322932955887,2.996231843340272
relay,cam_edge_3,cam_edge_0,1,3,86,45,0.6789452447717337,0.09984793879638436,2.3502146712212926,True,True,2.1212174574328078,-1.268675894299496,3.0605931802208977
relay,cam_edge_3,cam_edge_0,1,3,86,46,0.6867572080116068,0.05964666268823491,2.8525058656727786,True,True,2.095925760438414,-1.2494132560822089,3.0241807297347263
relay,cam_edge_3,cam_edge_0,1,3,86,47,0.6793351013952511,0.06975758777437606,2.8729653335439855,True,True,2.101821145370669,-1.247305983446225,3.0510604502117715
relay,cam_edge_3,cam_edge_0,1,3,86,48,0.6798548554735223,0.07767039493637944,3.1366481289572903,True,True,2.099987088024954,-1.258556660382463,3.054281655339259
relay,cam_edge_3,cam_edge_0,1,3,86,51,0.6713486314383421,0.10332813125765172,2.9258159359861695,True,True,2.1267586323357497,-1.2541724742817482,3.07704554143269
relay,cam_edge_3,cam_edge_0,1,3,86,52,0.6744702749464425,0.0680717922154491,3.0147645964853584,True,True,2.102046096770028,-1.2512960889886784,3.039437209314822
relay,cam_edge_3,cam_edge_0,1,3,86,120,0.6803740774647316,0.03121078723595523,1.9006451262514175,True,True,2.0826491740562467,-1.221939592523757,3.024405521334562
relay,cam_edge_3,cam_edge_0,1,3,86,121,0.6708496249737413,0.04327465842619071,2.45802104916784,True,True,2.085578429617576,-1.2239002977688163,3.0452634754652257
relay,cam_edge_3,cam_edge_0,1,3,90,45,0.6840578884853333,0.10587032707353579,2.7855654648188906,True,True,2.1079609582971486,-1.2456025837493117,3.102160005942922
relay,cam_edge_3,cam_edge_0,1,3,90,46,0.6919286779487595,0.05763796685488548,2.9868033650235013,True,True,2.083072938707118,-1.2267232751923565,3.0652717434783954
relay,cam_edge_3,cam_edge_0,1,3,90,47,0.6844506808360405,0.08221841048208828,3.1745249244370815,True,True,2.0886404476256253,-1.2243592631990554,3.092199978216747
relay,cam_edge_3,cam_edge_0,1,3,90,48,0.6849743488049257,0.08793835200487328,3.427765318080142,True,True,2.0867890071729973,-1.2355837480027265,3.0955016095539563
relay,cam_edge_3,cam_edge_0,1,3,90,51,0.6764040705721871,0.11729617196711206,3.392607129332511,True,True,2.113276355710153,-1.2309387342938578,3.118544512967824
relay,cam_edge_3,cam_edge_0,1,3,90,52,0.6795492209111854,0.07349463084897423,3.242146490114723,True,True,2.0890127858288454,-1.228454710242892,3.080617234496278
relay,cam_edge_3,cam_edge_0,1,3,90,120,0.6854974806799875,0.04801380156113576,2.490860270526411,True,True,2.069742756533074,-1.1992752850816655,3.065085870834455
relay,cam_edge_3,cam_edge_0,1,3,90,121,0.6759013064521878,0.06882615848827466,2.9725671809986194,True,True,2.072424500785577,-1.2010398982188224,3.0859945662016663
relay,cam_edge_3,cam_edge_0,1,3,93,45,0.6699875455353558,0.10557767147933751,2.3373353802365044,True,True,2.123683080115137,-1.2452821172200452,3.0901645838562546
relay,cam_edge_3,cam_edge_0,1,3,93,46,0.6776964412337927,0.05800361143987392,2.6101762582388726,True,True,2.09848977671323,-1.2264199386894883,3.053475329255826
relay,cam_edge_3,cam_edge_0,1,3,93,47,0.6703722585653278,0.07971390292493442,2.749156241440256,True,True,2.1042865755757734,-1.2240386836858588,3.080353615695641
relay,cam_edge_3,cam_edge_0,1,3,93,48,0.6708851552412592,0.08478945029612871,3.014640795787204,True,True,2.102459075325985,-1.235260096617341,3.083678941995795
