camera,single_ref14_t_cm,multi_aruco_t_cm,translation_improvement_cm,translation_improvement_percent,single_ref14_r_deg,multi_aruco_r_deg,rotation_improvement_deg,rotation_improvement_percent,multi_est_ref14_xyz_m,gt_ref14_xyz_m
cam_edge_0,3.981,1.0193671735093046,2.9616328264906953,74.39419307939451,0.458,0.21450595610226075,0.24349404389773927,53.164638405619925,"(0.582, -1.737, 2.095)","(0.588, -1.735, 2.087)"
cam_edge_1,7.537,3.167868605847039,4.36913139415296,57.96910434062572,0.409,0.177649101768335,0.23135089823166496,56.56501179258312,"(-3.996, 0.494, 2.143)","(-3.974, 0.475, 2.132)"
cam_edge_3,4.464,0.5066078456201782,3.9573921543798223,88.65125793861608,0.436,0.12908068253765032,0.3069193174623497,70.3943388675114,"(-3.223, -1.566, 2.056)","(-3.227, -1.563, 2.054)"
cam_edge_5,7.041,0.4557596807152922,6.585240319284708,93.52706035058524,0.443,0.12796003414417492,0.31503996585582505,71.11511644601018,"(5.855, 0.347, 2.139)","(5.859, 0.348, 2.139)"
